city_1,city_2,context_1,context_2,story_1,story_2,gap_1,gap_2,corr_1,corr_2,signature_distance,similarity_score
Miami,Los Angeles,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Moderate apparent-heat shift,49.6,8.148148148148145,0.2137873660556167,0.3502317109155967,5.840119614628313,0.14619627379927613
Miami,Houston,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Mixed / transitional,49.6,0.3642987249544624,0.2137873660556167,0.3412754779438834,5.903518408618918,0.14485367327354673
San Francisco,Chicago,Coastal / water-influenced,Great Lakes,Strong apparent-heat shift,Moderate apparent-heat shift,53.191489361702125,11.009174311926609,0.2762610770023599,0.631142924321808,6.027633901470691,0.14229540326378234
Miami,Las Vegas,Coastal / water-influenced,Inland desert,Strong apparent-heat shift,Coupled / aligned,49.6,0.0,0.2137873660556167,0.7502048289967429,6.130327773423023,0.14024600716496022
Miami,New York,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Mixed / transitional,49.6,0.3352490421455911,0.2137873660556167,0.0533020407087778,6.14005459685877,0.14005495146212815
San Francisco,Seattle,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Moderate apparent-heat shift,53.191489361702125,11.170212765957444,0.2762610770023599,-0.0637213215272988,6.529657857305245,0.1328081592750996
San Francisco,Los Angeles,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Moderate apparent-heat shift,53.191489361702125,8.148148148148145,0.2762610770023599,0.3502317109155967,6.665886592915089,0.13044805553531313
Miami,Phoenix,Coastal / water-influenced,Inland desert,Strong apparent-heat shift,Mixed / transitional,49.6,4.216867469879515,0.2137873660556167,0.2912812422021387,6.679386745309133,0.13021873141248405
San Francisco,New York,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Mixed / transitional,53.191489361702125,0.3352490421455911,0.2762610770023599,0.0533020407087778,6.749855707758188,0.12903466047747505
San Francisco,Atlanta,Coastal / water-influenced,Inland Sun Belt,Strong apparent-heat shift,Moderate apparent-heat shift,53.191489361702125,13.90134529147982,0.2762610770023599,-0.268547625635977,6.878958932427081,0.12692032139986723
San Francisco,Dallas,Coastal / water-influenced,Inland Sun Belt,Strong apparent-heat shift,Mixed / transitional,53.191489361702125,6.013363028953231,0.2762610770023599,0.1087414753143568,7.092487268339491,0.12357140231932566
San Francisco,Las Vegas,Coastal / water-influenced,Inland desert,Strong apparent-heat shift,Coupled / aligned,53.191489361702125,0.0,0.2762610770023599,0.7502048289967429,7.58598980451675,0.11646880822918512
San Francisco,Houston,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Mixed / transitional,53.191489361702125,0.3642987249544624,0.2762610770023599,0.3412754779438834,7.8252351564314715,0.11331142822537038
San Francisco,Phoenix,Coastal / water-influenced,Inland desert,Strong apparent-heat shift,Mixed / transitional,53.191489361702125,4.216867469879515,0.2762610770023599,0.2912812422021387,8.082641990391245,0.11010012296619476
