priority_patch_id,patch_n,patch_area_km2,mean_hi_minus_lst_z,mean_lst_c,mean_hi_c,patch_rank,city
4,21,197.68207905522863,-0.39193587311631195,41.753600594515596,33.94229497052832,1,houston
6,25,167.73252807779437,1.8222925829663494,44.05207932771971,34.1816254658272,2,houston
5,30,102.23257967644759,0.09001454845137878,45.26324954564354,34.08286379567515,3,houston
8,22,98.80277651218641,2.2013034743033506,47.00650897163566,34.297885821351215,4,houston
1,27,46.85881601149731,0.9699372626024333,46.861183431913055,34.19809785111112,5,houston
9,10,45.541815557790876,1.16395097965203,45.965570900108204,34.18681598071709,6,houston
12,9,28.45738568753039,-0.2287917679208501,45.64749326287332,34.06943130034954,7,houston
2,16,26.42236486182849,0.45465726122760025,48.25397750082225,34.19907681151132,8,houston
11,3,25.835816729546025,1.1369648468366467,45.84014251992516,34.181035076622436,9,houston
3,5,18.510856516195968,1.2174129471922082,45.66633864230852,34.18216544393366,10,houston
15,4,11.516598609304594,1.063566058391462,45.89679489803851,34.17700722970529,11,houston
17,7,11.071973881376726,0.5229527480581642,49.00713497868029,34.2265174252579,12,houston
10,4,7.136554390878869,0.6305819702151054,47.561936257790364,34.19237685141783,13,houston
18,1,5.527055882458768,0.9412046404834681,46.57554296586493,34.18747119679914,14,houston
14,1,4.999175155948462,1.8811182654488883,39.86626811621751,34.06312454115072,15,houston
20,1,3.9482229728955485,1.6737458476161287,44.374820230696784,34.179591570025146,16,houston
27,1,3.0611604513935973,1.14432024247031,45.68493956040879,34.177042616568784,17,houston
28,1,2.9748436245596133,1.0649588469630435,45.84076271128348,34.175467905341435,18,houston
26,1,2.2405908043171543,0.8128450469579378,46.52209336171729,34.175943089573586,19,houston
19,1,2.1553714169990537,0.6205310937846837,46.89348954294477,34.171944709656074,20,houston
21,2,2.0756647456361463,0.1996209521058972,49.00311094218554,34.20131872067585,21,houston
16,1,1.837252998592871,-0.7520669091580354,46.81357004972759,34.06312454115072,22,houston
7,1,1.8317081194253773,2.362079671195209,47.57711618140138,34.32713300899536,23,houston
13,1,1.7696940013668607,-0.21671869592239223,45.81161016895616,34.075192871938214,24,houston
22,1,1.4663204717199345,1.04891966135736,45.76324441150029,34.171944709656074,25,houston
23,1,1.3162749842325443,-0.3404817729122269,45.77056123259076,34.06438589299049,26,houston
25,1,1.095109073686657,0.4211409917878828,48.41866036315491,34.20131872067585,27,houston
24,1,0.46319963428224437,1.0226195762138983,46.17888402013739,34.182124562548104,28,houston
1,114,442.75511315577694,1.1533927313881833,55.863512895419206,33.55400634356158,1,phoenix
10,2,8.113170653152109,0.291736881457174,54.73642242856093,32.705018891501915,2,phoenix
11,1,5.571724940659333,-0.32983947048606455,54.59527230479189,32.30897859005257,3,phoenix
8,1,5.3757167301412006,0.11181639067165317,54.689065988455994,32.58828848276658,4,phoenix
6,3,3.9292463039871395,1.185023542878424,55.80760971553519,33.55384219869438,5,phoenix
4,2,2.612477768069535,1.3779819833808926,55.46969088656525,33.55384219869438,6,phoenix
2,1,2.5815651382310194,-0.08291380373014445,55.15493354412218,32.62849711203191,7,phoenix
9,1,2.2989852600760385,-1.39498579254799,53.34793208113624,31.306490363261293,8,phoenix
5,2,1.2949605514295124,0.2517599571136474,54.80643209191023,32.705018891501915,9,phoenix
7,1,1.093220726355584,0.12059133363348562,58.106883474033296,33.694000437113615,10,phoenix
3,1,0.7025560376661408,0.6996315130896542,55.89283062229859,33.30751880031277,11,phoenix
7,3,2629.850565327137,0.577301778715484,40.90743066731011,26.480921415141875,1,las_vegas
2,6,2556.041231872087,0.842113336389046,47.21321007959748,32.24417072627556,2,las_vegas
6,74,203.634032424958,0.8122022245855793,46.6653821639065,31.735559197730396,3,las_vegas
3,23,63.38165072592545,0.8519198162236684,45.58904019346555,30.849186855432652,4,las_vegas
1,8,14.46635241844867,1.0876248319818962,45.0885718503465,30.68612509371,5,las_vegas
5,3,8.785836557868818,1.4391227861155178,47.99020554641742,33.601411652801225,6,las_vegas
11,2,7.283405152740791,0.7273869121741674,45.53201094744726,30.657025551711687,7,las_vegas
8,2,3.8782697072207406,0.6834018529526106,46.711459315809854,31.627775852444717,8,las_vegas
10,2,3.3063725889332227,0.8900494768492054,47.226683336586035,32.310797782416884,9,las_vegas
4,1,3.034598243082956,1.2973200297909042,48.59659665300549,33.963847449303145,10,las_vegas
12,1,2.9754337646388715,0.7391551667604046,48.33075937950941,33.093711702871204,11,las_vegas
13,2,1.2104744061773773,0.8512254383741324,46.48921728971964,31.627775852444717,12,las_vegas
9,1,1.0215353917420886,0.9033221047049698,48.113359704641375,33.093711702871204,13,las_vegas
