city,zone,median_hi_minus_lst_z,mean_hi_minus_lst_z,priority_pct,n
houston,Core,-0.1783672948416341,-0.14154414983315938,28.985507246376812,138
houston,Inner ring,-0.32605296897512337,-0.3232962336639304,23.357664233576642,137
houston,Outer ring,-0.009389301803243266,-0.04318725291862409,32.846715328467155,137
houston,Edge,0.38967595273860445,0.5090608053924812,59.854014598540154,137
las_vegas,Core,-0.4310392072235809,-0.42918544193052793,8.695652173913043,115
las_vegas,Inner ring,0.014580935701710707,0.04430148972723046,23.684210526315788,114
las_vegas,Outer ring,0.6223844255817577,0.5035629910540393,58.77192982456141,114
las_vegas,Edge,-0.20577738983451166,-0.11391499988742934,20.869565217391305,115
phoenix,Core,-0.6891412150049111,-0.48337775306906,19.27710843373494,83
phoenix,Inner ring,0.07771340365151802,0.06739436621919855,38.55421686746988,83
phoenix,Outer ring,0.04713555410176756,0.018661978393785843,34.93975903614458,83
phoenix,Edge,0.48142306718857275,0.39732140845607344,62.65060240963856,83
