GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
48201421101,Houston,1.239310916337853,2646,57959.0,0.28798185941043086,Low income + High poverty
48201423301,Houston,1.6780739256949924,4897,61979.0,0.1018991219113743,High income + Low poverty
48201453401,Houston,0.9641231439176076,2953,72572.0,0.24285714285714285,High income + High poverty
48201331100,Houston,3.23292758453961,3979,53974.0,0.26032225579053375,Low income + High poverty
48201331200,Houston,3.547892747988621,5051,29650.0,0.4004367679174112,Low income + High poverty
48201331300,Houston,4.565564519123447,4823,49222.0,0.2844702467343977,Low income + High poverty
48201331400,Houston,1.5716870085504633,3281,21580.0,0.7750685766534593,Low income + High poverty
48201321700,Houston,1.9366352882054383,3243,73970.0,0.10970333745364648,High income + Low poverty
48201521402,Houston,0.9311810027518986,3413,51042.0,0.382654556108995,Low income + High poverty
48201250901,Houston,4.587978185680629,4022,97010.0,0.09099950273495773,High income + Low poverty
48201520501,Houston,4.6238278706518985,4040,43578.0,0.2722747635639622,Low income + High poverty
48201521701,Houston,4.087149644853333,4673,33479.0,0.4397302001740644,Low income + High poverty
48201550201,Houston,0.7883596710778226,1587,29000.0,0.2608695652173913,Low income + High poverty
48201521702,Houston,1.4085752258643247,2925,35281.0,0.4502564102564103,Low income + High poverty
48201520603,Houston,0.3537148006834823,2141,41534.0,0.14584323040380048,Low income + Low poverty
48201521201,Houston,0.48136651529272967,1842,58606.0,0.30510314875135724,Low income + High poverty
48201532004,Houston,1.601924105189231,5055,35485.0,0.31473788328387736,Low income + High poverty
48201532003,Houston,1.023627995649628,3909,34683.0,0.5886415963161934,Low income + High poverty
48201232701,Houston,4.670432578463886,7379,38835.0,0.33205321629406115,Low income + High poverty
48201420600,Houston,1.2059527453052585,2311,92279.0,0.08567719601903938,High income + Low poverty
48201420700,Houston,2.297033247095139,2549,205833.0,0.004707728520988623,High income + Low poverty
48201314001,Houston,1.4116779850838517,2936,67969.0,0.12864823348694315,High income + Low poverty
48201320602,Houston,1.5204948287928566,4704,47667.0,0.30017006802721086,Low income + High poverty
48201450100,Houston,0.8279582020647208,1957,148922.0,0.021461420541645376,High income + Low poverty
48201433400,Houston,1.6809036623989866,4413,46483.0,0.20371629277135736,Low income + High poverty
48201450200,Houston,2.708093929645072,5955,162115.0,0.023341729638958857,High income + Low poverty
48201450500,Houston,2.940962970809302,3228,143371.0,0.032527881040892194,High income + Low poverty
48201453800,Houston,1.8317081194253773,3561,60947.0,0.1487626546681665,High income + Low poverty
48201340600,Houston,1.6258001441547345,2443,111058.0,0.02169463774048301,High income + Low poverty
48201340800,Houston,2.8863493144219183,5707,142524.0,0.04257928859295602,High income + Low poverty
48201433300,Houston,2.4241261421021782,4576,87917.0,0.1090472027972028,High income + Low poverty
48201520502,Houston,2.8866853206110705,4848,50121.0,0.18744821872410936,Low income + High poverty
48201520604,Houston,0.9943775590915827,3217,78283.0,0.20547093565433633,High income + High poverty
48201521501,Houston,0.4962410593610115,2810,60493.0,0.32922854038391886,High income + High poverty
48201250602,Houston,9.881669986601063,4615,42738.0,0.37746478873239436,Low income + High poverty
48201433100,Houston,0.8550986204450777,3158,45122.0,0.3205619412515964,Low income + High poverty
48201520200,Houston,1.8835101921997275,3030,109363.0,0.1099009900990099,High income + Low poverty
48201520700,Houston,1.968265873117654,4670,135250.0,0.03228621291448516,High income + Low poverty
48157670603,Houston,2.547752578152116,5861,76134.0,0.018938747653983963,High income + Low poverty
48157673007,Houston,6.535681354610233,2808,109241.0,0.048928571428571425,High income + Low poverty
48157673006,Houston,8.21987968453005,5688,123977.0,0.03762306610407876,High income + Low poverty
48201431902,Houston,0.9263086592102502,2834,114429.0,0.059097421203438395,High income + Low poverty
48201423100,Houston,1.6582949260969413,2913,34753.0,0.38757294884998283,Low income + High poverty
48201410401,Houston,0.8795296284609841,3568,135917.0,0.04568385650224215,High income + Low poverty
48201431801,Houston,1.2321118770277173,3577,81667.0,0.11350293542074363,High income + Low poverty
48201422702,Houston,1.2869461796818482,3150,77222.0,0.18507936507936507,High income + Low poverty
48201422701,Houston,1.838812905855165,4698,60909.0,0.1362281822051937,High income + Low poverty
48201410801,Houston,0.5272924086170898,2536,95298.0,0.21451104100946372,High income + High poverty
48201432705,Houston,0.47282045381110827,5388,35152.0,0.5011261261261262,Low income + High poverty
48201313901,Houston,2.1228760912675533,3125,63950.0,0.13248,High income + Low poverty
48201314003,Houston,0.8778064991791125,2638,53149.0,0.3718192176224839,Low income + High poverty
48201314402,Houston,1.906499283130353,2248,77813.0,0.09697508896797152,High income + Low poverty
48201412201,Houston,0.9669416177078124,2264,155855.0,0.15642951833848873,High income + Low poverty
48201411902,Houston,0.8410106747650835,2221,113289.0,0.08854718981972429,High income + Low poverty
48201313801,Houston,0.8984580630293646,1686,19821.0,0.3879003558718861,Low income + High poverty
48201222504,Houston,0.29459492505535256,3292,38977.0,0.264277035236938,Low income + High poverty
48201333501,Houston,0.9855612031461968,3064,38661.0,0.31298955613577023,Low income + High poverty
48201333302,Houston,5.449734638295207,3248,53830.0,0.23203732503888025,Low income + High poverty
48201431505,Houston,0.31565956420964103,1311,113627.0,0.10178710178710179,High income + Low poverty
48201520302,Houston,0.8073976477424843,2513,83234.0,0.2809391165937127,High income + High poverty
48201520301,Houston,0.6736672663162332,2438,62917.0,0.28178835110746514,High income + High poverty
48201410704,Houston,0.5045844387134373,1935,71190.0,0.14780361757105942,High income + Low poverty
48201511003,Houston,1.0665806111891247,2086,76078.0,0.05752636625119847,High income + Low poverty
48201511202,Houston,0.9904281394814463,3527,163828.0,0.024383328607882053,High income + Low poverty
48201432706,Houston,0.6726133450355439,1856,31531.0,0.5700431034482759,Low income + High poverty
48201511501,Houston,1.2450952283788335,3377,126071.0,0.0781758957654723,High income + Low poverty
48201350803,Houston,4.102617990320027,3096,56845.0,0.0463984425697599,Low income + Low poverty
48201432003,Houston,0.3588750122222106,1663,56011.0,0.1280817799158148,Low income + Low poverty
48201431303,Houston,0.2775360948721078,1309,50571.0,0.15049656226126815,Low income + Low poverty
48201432102,Houston,1.0306582608058334,4568,58101.0,0.15168290522586358,Low income + Low poverty
48201554809,Houston,7.557665682244022,11274,118456.0,0.13073944311266827,High income + Low poverty
48201532102,Houston,0.729567509015754,3081,37383.0,0.3034728984096073,Low income + High poverty
48201532302,Houston,3.863828490100628,4132,62978.0,0.39424007744433687,High income + High poverty
48201350104,Houston,5.691309517056421,5346,94000.0,0.17070877984583568,High income + Low poverty
48201411504,Houston,0.9327821735600901,2910,117228.0,0.13711340206185568,High income + Low poverty
48201411506,Houston,0.37482637455084833,2846,127710.0,0.050597329585382995,High income + Low poverty
48201411505,Houston,0.8536859767654918,2991,99617.0,0.11033099297893681,High income + Low poverty
48201220702,Houston,2.087580527093867,3560,31083.0,0.30168539325842697,Low income + High poverty
48201341001,Houston,1.2409947969428143,4337,59684.0,0.1235877334563062,Low income + Low poverty
48201431803,Houston,0.34017824873611197,2481,89167.0,0.046352277307537285,High income + Low poverty
48201211600,Houston,1.1789627140130303,2991,47143.0,0.2728184553660983,Low income + High poverty
48201211700,Houston,4.448123259694221,3530,32240.0,0.23460410557184752,Low income + High poverty
48201531200,Houston,1.9488737617343894,3599,94375.0,0.1320067264573991,High income + Low poverty
48201312300,Houston,1.4121539350823216,2575,77194.0,0.3495679497250589,High income + High poverty
48201332000,Houston,2.211921101474371,6092,28750.0,0.5119811002362471,Low income + High poverty
48201531600,Houston,2.37842502656019,2699,147340.0,0.016302334197851057,High income + Low poverty
48201530800,Houston,4.602551795031548,4077,36767.0,0.21368368864650472,Low income + High poverty
48201531500,Houston,1.9088959640702552,2542,57500.0,0.12086614173228347,Low income + Low poverty
48201531700,Houston,1.8637320569840348,3968,195208.0,0.02715046942400406,High income + Low poverty
48201531800,Houston,3.258648895300736,2913,25000.0,0.39375214555441124,Low income + High poverty
48201531900,Houston,4.3600599408201965,6106,40659.0,0.2821024617431803,Low income + High poverty
48201510100,Houston,1.4534703411853165,2857,145909.0,0.0758959943780745,High income + Low poverty
48201510400,Houston,1.4868506239995012,3580,161810.0,0.013415315818893237,High income + Low poverty
48201510500,Houston,1.761111417137443,5021,137431.0,0.02788289185421231,High income + Low poverty
48201250701,Houston,19.79158183672389,7287,112664.0,0.14008798460269453,High income + Low poverty
48201251503,Houston,0.9257705885432364,2758,137031.0,0.017712177121771217,High income + Low poverty
48201251402,Houston,2.6708146843358564,6652,58902.0,0.20690695219423919,Low income + High poverty
48201511001,Houston,2.2825616674592943,3012,81806.0,0.0951568894952251,High income + Low poverty
48201522302,Houston,1.2961608649695455,3436,59387.0,0.24010477299185098,Low income + High poverty
48201522202,Houston,1.7696940013668607,4483,66201.0,0.3270131608298015,High income + High poverty
48201522301,Houston,1.3867981458389678,3816,59215.0,0.1884730947828462,Low income + High poverty
48201522201,Houston,1.629723715766063,5317,72365.0,0.21816126601356442,High income + High poverty
48201333903,Houston,2.0440524970867746,4058,96379.0,0.18999507146377526,High income + High poverty
48201221701,Houston,2.8987274017129945,5238,42078.0,0.2999236349751814,Low income + High poverty
48201330801,Houston,14.921399010183336,5741,71756.0,0.21519650655021835,High income + High poverty
48201333502,Houston,0.907844738796953,2539,86250.0,0.259157148483655,High income + High poverty
48201321301,Houston,0.5624944173256501,4000,31681.0,0.4085181451612903,Low income + High poverty
48201321102,Houston,2.566074402842638,3770,71534.0,0.07453580901856764,High income + Low poverty
48201321002,Houston,2.6671138513659445,5077,59496.0,0.07898365176285208,Low income + Low poverty
48201221301,Houston,1.8687723285372748,4057,66289.0,0.3068770027113631,High income + High poverty
48201552603,Houston,1.4477360651338205,5671,44497.0,0.36236253990776873,Low income + High poverty
48201532101,Houston,1.1665432203230581,4116,66760.0,0.041595302177636406,High income + Low poverty
48201540101,Houston,12.145154562539107,6680,245513.0,0.043712574850299404,High income + Low poverty
48201522002,Houston,0.9077043645327398,3303,86923.0,0.23654211526282456,High income + High poverty
48201311600,Houston,0.49139087122421937,3859,43958.0,0.3596786732314071,Low income + High poverty
48201330302,Houston,6.051986488703651,5073,58808.0,0.19479745830023829,Low income + High poverty
48201333201,Houston,1.1448327101549878,4533,43493.0,0.2100154423119347,Low income + High poverty
48201340301,Houston,3.6053182214242443,3420,204773.0,0.004678362573099415,High income + Low poverty
48201310700,Houston,1.9755399969136838,3664,57935.0,0.2125137816979052,Low income + High poverty
48201532600,Houston,2.6794433383444574,6984,52657.0,0.211340206185567,Low income + High poverty
48201311800,Houston,2.5021940326583527,3972,45316.0,0.2809667673716012,Low income + High poverty
48201311900,Houston,2.1192700202647283,1497,54375.0,0.12625250501002003,Low income + Low poverty
48201312000,Houston,1.867645876807933,3412,62235.0,0.1203377902885292,High income + Low poverty
48201222300,Houston,4.999175155948462,4987,38770.0,0.2894155452902189,Low income + High poverty
48201211900,Houston,1.248045465815593,4601,49050.0,0.21734405564007825,Low income + High poverty
48201422000,Houston,1.4633043961628482,2184,125281.0,0.03673094582185491,High income + Low poverty
48201454600,Houston,3.44785740586387,5830,45802.0,0.2418822712276437,Low income + High poverty
48201532502,Houston,2.703419413843052,5786,56857.0,0.26806083650190116,Low income + High poverty
48201332600,Houston,3.2802591264021252,6605,45724.0,0.1877047901388672,Low income + High poverty
48201220300,Houston,1.9913129725955638,3840,53792.0,0.28880208333333335,Low income + High poverty
48201220400,Houston,1.9233386161595962,4544,50086.0,0.4189098998887653,Low income + High poverty
48201220500,Houston,2.4049776084311296,3671,19877.0,0.27097661623108665,Low income + High poverty
48201220600,Houston,1.661717892329161,3252,36905.0,0.3413284132841328,Low income + High poverty
48201230100,Houston,1.365296674919878,1661,50357.0,0.1559301625526791,Low income + Low poverty
48201230200,Houston,7.786829665514821,4857,36609.0,0.34869240348692404,Low income + High poverty
48201230500,Houston,3.4619408003013556,3487,37386.0,0.2890240370692152,Low income + High poverty
48201230600,Houston,2.16743909785113,2708,34145.0,0.25036927621861155,Low income + High poverty
48201230700,Houston,2.6995381740040156,2934,36445.0,0.38104976141785957,Low income + High poverty
48201230800,Houston,1.8526469826335392,2373,45260.0,0.22587442056468604,Low income + High poverty
48201210400,Houston,1.81283661248917,3908,44821.0,0.23618219037871033,Low income + High poverty
48201220800,Houston,1.735456217286349,3782,34512.0,0.4550502379693284,Low income + High poverty
48201433007,Houston,0.3610049527755106,1611,40120.0,0.24394785847299813,Low income + High poverty
48201453201,Houston,0.44561991374123877,3728,32667.0,0.3892167381974249,Low income + High poverty
48201432501,Houston,0.9164970283246938,3332,38631.0,0.4187102633969119,Low income + High poverty
48201451502,Houston,1.2702829465107879,2564,54324.0,0.06591263650546021,Low income + Low poverty
48201451603,Houston,1.318329778268947,3721,109728.0,0.07994579945799458,High income + Low poverty
48201452402,Houston,1.367551804572755,4005,64816.0,0.16803995006242198,High income + Low poverty
48201433005,Houston,0.7699712512919616,2135,46855.0,0.33161592505854803,Low income + High poverty
48201452501,Houston,2.037891498918745,2611,40883.0,0.19761171032357472,Low income + High poverty
48201310200,Houston,1.867639914447284,2054,132488.0,0.0813047711781889,High income + Low poverty
48201310300,Houston,2.250148820865253,4071,37468.0,0.2375337754851388,Low income + High poverty
48201533100,Houston,3.5103886461150284,6397,68068.0,0.09613881506956386,High income + Low poverty
48201533200,Houston,2.6803313396705257,4363,38772.0,0.3121815655396017,Low income + High poverty
48201533500,Houston,2.674051433165155,3917,53452.0,0.14347715088077612,Low income + Low poverty
48201431102,Houston,0.9309375966766735,4087,60174.0,0.16880236569738788,High income + Low poverty
48201431101,Houston,0.838380415691057,4838,60174.0,0.10830921868540719,High income + Low poverty
48201433003,Houston,0.9257209962059065,5315,45483.0,0.2637051039697543,Low income + High poverty
48201432901,Houston,1.4646360641678584,3543,42958.0,0.3465989274626023,Low income + High poverty
48201433202,Houston,1.1508820378320517,3524,56701.0,0.24318955732122588,Low income + High poverty
48201433201,Houston,1.0970772442522465,3911,42609.0,0.20432375428420776,Low income + High poverty
48201320500,Houston,5.813414194807404,4073,68433.0,0.15099435305671496,High income + Low poverty
48201521502,Houston,1.5388993773599529,2869,89096.0,0.09027535726734054,High income + Low poverty
48201333905,Houston,2.8600103309405562,3356,64645.0,0.0700238379022646,High income + Low poverty
48201311702,Houston,1.1093838304375487,2189,29265.0,0.5153037916857013,Low income + High poverty
48201221502,Houston,0.521865019241984,2920,32625.0,0.3517123287671233,Low income + High poverty
48201313201,Houston,1.4318373402169002,1588,70526.0,0.19540229885057472,High income + High poverty
48201411302,Houston,0.5440806525717498,2333,90183.0,0.058722674667809685,High income + Low poverty
48201510803,Houston,0.8459513585756268,2392,110542.0,0.06688963210702341,High income + Low poverty
48201231400,Houston,3.364372495708287,3123,45479.0,0.235016835016835,Low income + High poverty
48201530200,Houston,3.5533030608593323,3820,140917.0,0.09842931937172775,High income + Low poverty
48201220100,Houston,1.7617950586632372,1400,43583.0,0.1392857142857143,Low income + Low poverty
48201220200,Houston,1.4902354971651666,2345,45833.0,0.2345415778251599,Low income + High poverty
48201521800,Houston,7.184432385169083,4734,69402.0,0.07035388853570672,High income + Low poverty
48201521900,Houston,3.8241789606382928,6394,83783.0,0.12108262108262108,High income + Low poverty
48201530300,Houston,1.837252998592871,2237,95114.0,0.09700491729995529,High income + Low poverty
48157670202,Houston,2.3424850268528083,5107,57017.0,0.21911102408458977,Low income + High poverty
48157672902,Houston,5.541530938344653,9174,108626.0,0.02605188576411598,High income + Low poverty
48157670201,Houston,1.2934729240800191,1687,105456.0,0.026081802015411975,High income + Low poverty
48201532800,Houston,1.3482865739330698,1946,88750.0,0.08633093525179857,High income + Low poverty
48201533000,Houston,1.7726307024608328,2472,31892.0,0.35881877022653724,Low income + High poverty
48201542500,Houston,4.397651470761235,4178,66988.0,0.06965055050263284,High income + Low poverty
48201453202,Houston,1.3181824121461008,4863,42319.0,0.28196653583970255,Low income + High poverty
48201980400,Houston,1.3382777526431449,3760,,,Missing
48201980200,Houston,0.6992948898424293,9338,,0.0,Missing
48201432804,Houston,1.9428226465584633,2164,60167.0,0.20933456561922367,Low income + High poverty
48201331602,Houston,6.049926029137278,3199,61250.0,0.2438261956861519,High income + High poverty
48201320601,Houston,1.4149419436451298,2135,47632.0,0.21498829039812647,Low income + High poverty
48201350601,Houston,13.35495239945948,4120,90972.0,0.0808252427184466,High income + Low poverty
48201431401,Houston,0.364989115995072,2534,81404.0,0.08445146014206788,High income + Low poverty
48201511301,Houston,1.8087566405778162,4839,158375.0,0.09051456912585244,High income + Low poverty
48201330303,Houston,5.324083906546543,4858,57679.0,0.08748456154796212,Low income + Low poverty
48201334003,Houston,2.7733841449513323,5045,69449.0,0.15401387512388504,High income + Low poverty
48201410900,Houston,0.738680775081803,3514,105463.0,0.10187820147979511,High income + Low poverty
48201340302,Houston,3.448330180979327,6673,144127.0,0.049453019631350216,High income + Low poverty
48201330301,Houston,3.190182320411381,8266,69421.0,0.2166706992499395,High income + High poverty
48201334001,Houston,1.3475159948804583,3286,44479.0,0.22976262933657943,Low income + High poverty
48201222501,Houston,0.909948609676711,3188,38333.0,0.28387703889585947,Low income + High poverty
48201341302,Houston,2.0389211925389645,3751,74803.0,0.03689839572192513,High income + Low poverty
48201310500,Houston,3.160419071827078,3544,40360.0,0.2505643340857788,Low income + High poverty
48201453300,Houston,2.050860688225763,4589,37017.0,0.2935280017432992,Low income + High poverty
48201420300,Houston,2.4075272921255326,3666,100013.0,0.05646481178396072,High income + Low poverty
48201420500,Houston,2.339406309298838,3577,49547.0,0.18457142857142858,Low income + Low poverty
48201980000,Houston,5.555250793385161,14,,0.0,Missing
48201333600,Houston,3.7469288657752062,3669,81758.0,0.05577029265599116,High income + Low poverty
48201333700,Houston,8.960351724938779,3709,67862.0,0.11084076777507434,High income + Low poverty
48201410300,Houston,1.027335785714282,3917,102889.0,0.09958398335933437,High income + Low poverty
48201455300,Houston,5.3608601873638895,14134,70573.0,0.09237809237809237,High income + Low poverty
48201320700,Houston,3.4529376552338085,3850,50321.0,0.18894970028668231,Low income + High poverty
