city,path,status,reason,n_total,n_ready,score,lst_col,hi_col,geoid_col,selected
miami,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_tracts_boundary_acs.gpkg,missing_columns,"missing LST, HI",129,0,-999999,,,,False
miami,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_tracts_boundary_acs.gpkg,missing_columns,"missing LST, HI",129,0,-999999,,,,False
miami,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,missing_columns,"missing LST, HI",129,0,-999999,,,,False
miami,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,wrong_city,city column exists but no rows for miami,6,0,-999999,,,,False
miami,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_displacement_GIS_READY.gpkg,wrong_city,city column exists but no rows for miami,6,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,ok,ok,207,191,241207,lst_c,hi_c,GEOID,True
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_heat_master_template.gpkg,ok,ok,207,191,221207,lst_c,hi_c,GEOID,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step3_new_city_lst_hi_combined_FIXED.gpkg,ok,ok,207,191,191207,lst_c,hi_c,GEOID,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,wrong_city,city column exists but no rows for boston,549,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.gpkg,wrong_city,city column exists but no rows for boston,1339,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_tracts_boundary_acs.gpkg,missing_columns,"missing LST, HI",207,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.gpkg,missing_columns,"missing LST, HI",207,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,missing_columns,"missing LST, HI",207,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,wrong_city,city column exists but no rows for boston,6,0,-999999,,,,False
boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_displacement_GIS_READY.gpkg,wrong_city,city column exists but no rows for boston,6,0,-999999,,,,False
