city,city_label,n_total,n_ready,ready_pct,mean_lst_c,mean_hi_c,mean_hi_minus_lst,q75_lst_c,q75_hi_c,lst_hi_corr,mean_hi_minus_lst_pct,priority_n,priority_pct
houston,Houston,549,549,100.0,47.943522184178214,34.1546822133318,-13.78883997084641,49.66202367059505,34.19809785111112,0.3412754779438762,-1.6178113291441261e-18,154,28.051001821493628
phoenix,Phoenix,332,332,100.0,57.05731291430733,33.287953710745924,-23.769359203561407,58.368203839935525,33.68585166804336,0.2912812422021385,0.0,106,31.92771084337349
las_vegas,Las Vegas,458,458,100.0,47.00292475936593,31.09656820069598,-15.906356558669952,48.00162733296009,31.98997567412149,0.7502048289967426,-5.8177625744549685e-18,120,26.200873362445414
los_angeles,Los Angeles,1108,1080,97.47292418772562,39.58015821490969,22.316720235533815,-17.263437979375883,41.44040093202014,22.772576144121732,0.35023171091559496,3.2895497025930565e-18,350,31.5884476534296
miami,Miami,129,125,96.89922480620154,35.48986387590662,32.54031085100369,-2.9495530249029165,36.39554484236305,32.61858411931805,0.21378736605561796,3.996802888650563e-18,65,50.3875968992248
boston,Boston,207,191,92.27053140096618,31.839816995257323,20.89003071732949,-10.949786277927839,32.73725490196082,20.903050732267108,0.00015096358971969213,-2.3250743971207467e-17,91,43.96135265700483
