city,tract_count,unique_geoids,duplicated_geoids,unique_counties,min_area_km2,median_area_km2,max_area_km2,mean_area_km2
Houston,654,654,0,2,0.12963256115845825,1.4885430605823338,35.47845087230986,2.3697050611726906
Phoenix,373,373,0,1,0.32087363074686365,2.408480411938309,227.2043715019183,3.994042512834901
