NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 6731.05; Fort Bend County; Texas,4590,182321,48,157,673105,48157673105,Houston
Census Tract 6731.06; Fort Bend County; Texas,5514,151801,48,157,673106,48157673106,Houston
Census Tract 6731.07; Fort Bend County; Texas,6213,161295,48,157,673107,48157673107,Houston
Census Tract 6731.08; Fort Bend County; Texas,18306,181512,48,157,673108,48157673108,Houston
Census Tract 6731.09; Fort Bend County; Texas,10899,140585,48,157,673109,48157673109,Houston
Census Tract 6731.10; Fort Bend County; Texas,8607,232697,48,157,673110,48157673110,Houston
Census Tract 6731.11; Fort Bend County; Texas,10739,175877,48,157,673111,48157673111,Houston
Census Tract 6731.12; Fort Bend County; Texas,9051,170000,48,157,673112,48157673112,Houston
Census Tract 6731.13; Fort Bend County; Texas,8271,119150,48,157,673113,48157673113,Houston
Census Tract 6732.01; Fort Bend County; Texas,13486,168297,48,157,673201,48157673201,Houston
Census Tract 6732.02; Fort Bend County; Texas,34854,159774,48,157,673202,48157673202,Houston
Census Tract 6733; Fort Bend County; Texas,9328,204214,48,157,673300,48157673300,Houston
Census Tract 6734.01; Fort Bend County; Texas,8957,131437,48,157,673401,48157673401,Houston
Census Tract 6734.02; Fort Bend County; Texas,8983,113018,48,157,673402,48157673402,Houston
Census Tract 6734.03; Fort Bend County; Texas,10450,154350,48,157,673403,48157673403,Houston
Census Tract 6734.04; Fort Bend County; Texas,10960,154655,48,157,673404,48157673404,Houston
Census Tract 6735.01; Fort Bend County; Texas,10955,126586,48,157,673501,48157673501,Houston
Census Tract 6735.02; Fort Bend County; Texas,4940,146667,48,157,673502,48157673502,Houston
Census Tract 6736; Fort Bend County; Texas,7013,123007,48,157,673600,48157673600,Houston
Census Tract 6737; Fort Bend County; Texas,2893,-666666666,48,157,673700,48157673700,Houston
Census Tract 6738.01; Fort Bend County; Texas,3112,107240,48,157,673801,48157673801,Houston
Census Tract 6738.02; Fort Bend County; Texas,5879,110925,48,157,673802,48157673802,Houston
Census Tract 6739.02; Fort Bend County; Texas,11929,207014,48,157,673902,48157673902,Houston
Census Tract 6739.03; Fort Bend County; Texas,3240,189395,48,157,673903,48157673903,Houston
Census Tract 6739.04; Fort Bend County; Texas,5482,157831,48,157,673904,48157673904,Houston
Census Tract 6740.01; Fort Bend County; Texas,2422,173125,48,157,674001,48157674001,Houston
Census Tract 6740.02; Fort Bend County; Texas,4709,85880,48,157,674002,48157674002,Houston
Census Tract 6741; Fort Bend County; Texas,6161,86593,48,157,674100,48157674100,Houston
Census Tract 6742; Fort Bend County; Texas,4944,231324,48,157,674200,48157674200,Houston
Census Tract 6743.01; Fort Bend County; Texas,3103,114045,48,157,674301,48157674301,Houston
Census Tract 6743.02; Fort Bend County; Texas,5440,153866,48,157,674302,48157674302,Houston
Census Tract 6744.01; Fort Bend County; Texas,8303,225062,48,157,674401,48157674401,Houston
Census Tract 6744.02; Fort Bend County; Texas,5090,242692,48,157,674402,48157674402,Houston
Census Tract 6744.03; Fort Bend County; Texas,4497,170223,48,157,674403,48157674403,Houston
Census Tract 6744.04; Fort Bend County; Texas,6815,198588,48,157,674404,48157674404,Houston
Census Tract 6745.03; Fort Bend County; Texas,4368,231944,48,157,674503,48157674503,Houston
Census Tract 6745.04; Fort Bend County; Texas,10136,199070,48,157,674504,48157674504,Houston
Census Tract 6745.05; Fort Bend County; Texas,9989,162523,48,157,674505,48157674505,Houston
Census Tract 6745.06; Fort Bend County; Texas,5425,81721,48,157,674506,48157674506,Houston
Census Tract 6745.07; Fort Bend County; Texas,11888,110949,48,157,674507,48157674507,Houston
Census Tract 6745.08; Fort Bend County; Texas,4555,91156,48,157,674508,48157674508,Houston
Census Tract 6746.01; Fort Bend County; Texas,3226,142344,48,157,674601,48157674601,Houston
Census Tract 6746.02; Fort Bend County; Texas,7994,177724,48,157,674602,48157674602,Houston
Census Tract 6746.03; Fort Bend County; Texas,6275,120577,48,157,674603,48157674603,Houston
Census Tract 6746.04; Fort Bend County; Texas,5025,125223,48,157,674604,48157674604,Houston
Census Tract 6747.01; Fort Bend County; Texas,3563,191322,48,157,674701,48157674701,Houston
Census Tract 6747.02; Fort Bend County; Texas,14174,100218,48,157,674702,48157674702,Houston
Census Tract 6748; Fort Bend County; Texas,6003,51442,48,157,674800,48157674800,Houston
Census Tract 6749; Fort Bend County; Texas,5648,68578,48,157,674900,48157674900,Houston
Census Tract 6750; Fort Bend County; Texas,3411,57724,48,157,675000,48157675000,Houston
Census Tract 6751.01; Fort Bend County; Texas,7004,76695,48,157,675101,48157675101,Houston
Census Tract 6751.02; Fort Bend County; Texas,4915,71636,48,157,675102,48157675102,Houston
Census Tract 6752; Fort Bend County; Texas,5419,49828,48,157,675200,48157675200,Houston
Census Tract 6753; Fort Bend County; Texas,5413,53218,48,157,675300,48157675300,Houston
Census Tract 6754.01; Fort Bend County; Texas,8544,91173,48,157,675401,48157675401,Houston
Census Tract 6754.02; Fort Bend County; Texas,2901,73967,48,157,675402,48157675402,Houston
Census Tract 6755.01; Fort Bend County; Texas,7803,78640,48,157,675501,48157675501,Houston
Census Tract 6755.02; Fort Bend County; Texas,19038,111967,48,157,675502,48157675502,Houston
Census Tract 6755.03; Fort Bend County; Texas,7995,122578,48,157,675503,48157675503,Houston
Census Tract 6756; Fort Bend County; Texas,8608,96433,48,157,675600,48157675600,Houston
Census Tract 6757.01; Fort Bend County; Texas,3085,61949,48,157,675701,48157675701,Houston
Census Tract 6757.02; Fort Bend County; Texas,3555,72231,48,157,675702,48157675702,Houston
Census Tract 6758; Fort Bend County; Texas,3575,57689,48,157,675800,48157675800,Houston
Census Tract 1000.01; Harris County; Texas,5442,98668,48,201,100001,48201100001,Houston
Census Tract 2104; Harris County; Texas,3908,44821,48,201,210400,48201210400,Houston
Census Tract 2105; Harris County; Texas,4624,48837,48,201,210500,48201210500,Houston
Census Tract 2106; Harris County; Texas,5355,82321,48,201,210600,48201210600,Houston
Census Tract 2107; Harris County; Texas,2215,51966,48,201,210700,48201210700,Houston
Census Tract 2108; Harris County; Texas,2087,39153,48,201,210800,48201210800,Houston
Census Tract 2109; Harris County; Texas,1857,47117,48,201,210900,48201210900,Houston
Census Tract 2110; Harris County; Texas,1853,31667,48,201,211000,48201211000,Houston
Census Tract 2111.01; Harris County; Texas,2426,39120,48,201,211101,48201211101,Houston
Census Tract 2111.02; Harris County; Texas,2297,27844,48,201,211102,48201211102,Houston
Census Tract 2112; Harris County; Texas,2393,22982,48,201,211200,48201211200,Houston
Census Tract 2113.01; Harris County; Texas,2733,40991,48,201,211301,48201211301,Houston
Census Tract 2113.02; Harris County; Texas,2807,39871,48,201,211302,48201211302,Houston
Census Tract 2114; Harris County; Texas,4226,74318,48,201,211400,48201211400,Houston
Census Tract 2115.01; Harris County; Texas,3400,51979,48,201,211501,48201211501,Houston
Census Tract 2115.02; Harris County; Texas,2613,54900,48,201,211502,48201211502,Houston
Census Tract 2116; Harris County; Texas,2991,47143,48,201,211600,48201211600,Houston
Census Tract 2117; Harris County; Texas,3530,32240,48,201,211700,48201211700,Houston
Census Tract 2119; Harris County; Texas,4601,49050,48,201,211900,48201211900,Houston
Census Tract 2123; Harris County; Texas,5128,62813,48,201,212300,48201212300,Houston
Census Tract 2124; Harris County; Texas,3077,40516,48,201,212400,48201212400,Houston
Census Tract 2125; Harris County; Texas,3495,54966,48,201,212500,48201212500,Houston
Census Tract 2201; Harris County; Texas,1400,43583,48,201,220100,48201220100,Houston
Census Tract 2202; Harris County; Texas,2345,45833,48,201,220200,48201220200,Houston
Census Tract 2203; Harris County; Texas,3840,53792,48,201,220300,48201220300,Houston
Census Tract 2204; Harris County; Texas,4544,50086,48,201,220400,48201220400,Houston
Census Tract 2205; Harris County; Texas,3671,19877,48,201,220500,48201220500,Houston
Census Tract 2206; Harris County; Texas,3252,36905,48,201,220600,48201220600,Houston
Census Tract 2207.01; Harris County; Texas,3088,43889,48,201,220701,48201220701,Houston
Census Tract 2207.02; Harris County; Texas,3560,31083,48,201,220702,48201220702,Houston
Census Tract 2208; Harris County; Texas,3782,34512,48,201,220800,48201220800,Houston
Census Tract 2209; Harris County; Texas,1836,22412,48,201,220900,48201220900,Houston
Census Tract 2210; Harris County; Texas,3469,41985,48,201,221000,48201221000,Houston
Census Tract 2211; Harris County; Texas,3464,56993,48,201,221100,48201221100,Houston
Census Tract 2212; Harris County; Texas,5655,46832,48,201,221200,48201221200,Houston
Census Tract 2213.01; Harris County; Texas,4057,66289,48,201,221301,48201221301,Houston
Census Tract 2213.02; Harris County; Texas,3307,51221,48,201,221302,48201221302,Houston
Census Tract 2214; Harris County; Texas,5588,33441,48,201,221400,48201221400,Houston
Census Tract 2215.01; Harris County; Texas,5513,54070,48,201,221501,48201221501,Houston
Census Tract 2215.02; Harris County; Texas,2920,32625,48,201,221502,48201221502,Houston
Census Tract 2216.01; Harris County; Texas,3346,60380,48,201,221601,48201221601,Houston
Census Tract 2216.02; Harris County; Texas,5349,63893,48,201,221602,48201221602,Houston
Census Tract 2217.01; Harris County; Texas,5238,42078,48,201,221701,48201221701,Houston
Census Tract 2217.02; Harris County; Texas,3031,36054,48,201,221702,48201221702,Houston
Census Tract 2218; Harris County; Texas,3925,50945,48,201,221800,48201221800,Houston
Census Tract 2219; Harris County; Texas,5267,59122,48,201,221900,48201221900,Houston
Census Tract 2220; Harris County; Texas,2158,38281,48,201,222000,48201222000,Houston
Census Tract 2221; Harris County; Texas,4865,41759,48,201,222100,48201222100,Houston
Census Tract 2222; Harris County; Texas,3196,58024,48,201,222200,48201222200,Houston
Census Tract 2223; Harris County; Texas,4987,38770,48,201,222300,48201222300,Houston
Census Tract 2224.01; Harris County; Texas,3052,41125,48,201,222401,48201222401,Houston
Census Tract 2224.02; Harris County; Texas,6837,41671,48,201,222402,48201222402,Houston
Census Tract 2225.01; Harris County; Texas,3188,38333,48,201,222501,48201222501,Houston
Census Tract 2225.02; Harris County; Texas,3825,52987,48,201,222502,48201222502,Houston
Census Tract 2225.04; Harris County; Texas,3292,38977,48,201,222504,48201222504,Houston
Census Tract 2225.05; Harris County; Texas,3239,70060,48,201,222505,48201222505,Houston
