city,tract_count,hot_count,cold_count,not_significant_count,hot_share_pct,cold_share_pct,median_lst_c,mean_lst_c,max_gi_z,min_gi_z
Houston,654,123,54,477,18.807339449541285,8.256880733944953,48.531293320761506,48.27753651262264,1.4519459375845911,-5.074024004178877
Phoenix,373,85,71,217,22.788203753351205,19.03485254691689,57.21703991853516,57.089466263187276,1.4646342205299148,-2.191605494222341
