city,lst_source_col,hi_source_col,population_source_col,tract_rows,valid_both_n,missing_lst_n,missing_hi_n,lst_threshold_top20_c,hi_threshold_top20_c,lst_hotspot_n,hi_hotspot_n,overlap_n,lst_only_n,hi_only_n,neither_n,missing_group_n,union_n,jaccard_index,overlap_share_pct,lst_only_share_pct,hi_only_share_pct,neither_share_pct,median_lst_c,median_hi_c,overlap_pop_share_pct,lst_hotspot_pop_share_pct,hi_hotspot_pop_share_pct
Houston,lst_c,hi_c,total_population,654,549,0,105,50.31463115561765,34.19809785111112,83,146,38,45,108,358,105,191,0.19895287958115182,6.9216757741347905,8.19672131147541,19.672131147540984,65.20947176684882,48.531293320761506,34.182124562548104,6.1880472727236855,13.088874574980494,24.956819892343187
Phoenix,lst_c,hi_c,total_population,373,332,0,41,58.60717741783293,33.694000437113615,66,73,29,37,44,222,41,110,0.2636363636363636,8.734939759036145,11.144578313253012,13.25301204819277,66.86746987951807,57.21703991853516,33.3082424010499,9.343613696325392,18.589800007777818,23.217669015703684
