NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 610.29; Maricopa County; Arizona,4808,72047,04,013,061029,04013061029,Phoenix
Census Tract 610.31; Maricopa County; Arizona,8177,111925,04,013,061031,04013061031,Phoenix
Census Tract 610.32; Maricopa County; Arizona,6238,101000,04,013,061032,04013061032,Phoenix
Census Tract 610.33; Maricopa County; Arizona,5707,91288,04,013,061033,04013061033,Phoenix
Census Tract 610.34; Maricopa County; Arizona,8391,94458,04,013,061034,04013061034,Phoenix
Census Tract 610.35; Maricopa County; Arizona,6997,85267,04,013,061035,04013061035,Phoenix
Census Tract 610.36; Maricopa County; Arizona,4830,150046,04,013,061036,04013061036,Phoenix
Census Tract 610.37; Maricopa County; Arizona,6398,115391,04,013,061037,04013061037,Phoenix
Census Tract 610.38; Maricopa County; Arizona,5162,101940,04,013,061038,04013061038,Phoenix
Census Tract 610.39; Maricopa County; Arizona,6012,135721,04,013,061039,04013061039,Phoenix
Census Tract 610.40; Maricopa County; Arizona,4992,86909,04,013,061040,04013061040,Phoenix
Census Tract 610.41; Maricopa County; Arizona,4658,78326,04,013,061041,04013061041,Phoenix
Census Tract 610.42; Maricopa County; Arizona,2424,63646,04,013,061042,04013061042,Phoenix
Census Tract 610.43; Maricopa County; Arizona,2445,82355,04,013,061043,04013061043,Phoenix
Census Tract 610.44; Maricopa County; Arizona,9468,110948,04,013,061044,04013061044,Phoenix
Census Tract 610.45; Maricopa County; Arizona,8706,124668,04,013,061045,04013061045,Phoenix
Census Tract 610.46; Maricopa County; Arizona,6216,60750,04,013,061046,04013061046,Phoenix
Census Tract 610.47; Maricopa County; Arizona,4079,136370,04,013,061047,04013061047,Phoenix
Census Tract 610.48; Maricopa County; Arizona,4133,100000,04,013,061048,04013061048,Phoenix
Census Tract 610.49; Maricopa County; Arizona,5258,110299,04,013,061049,04013061049,Phoenix
Census Tract 610.50; Maricopa County; Arizona,6811,105809,04,013,061050,04013061050,Phoenix
Census Tract 610.51; Maricopa County; Arizona,4774,118929,04,013,061051,04013061051,Phoenix
Census Tract 610.52; Maricopa County; Arizona,9156,86741,04,013,061052,04013061052,Phoenix
Census Tract 610.53; Maricopa County; Arizona,8308,55958,04,013,061053,04013061053,Phoenix
Census Tract 610.54; Maricopa County; Arizona,7649,103046,04,013,061054,04013061054,Phoenix
Census Tract 610.55; Maricopa County; Arizona,5797,142217,04,013,061055,04013061055,Phoenix
Census Tract 610.56; Maricopa County; Arizona,3939,142955,04,013,061056,04013061056,Phoenix
Census Tract 610.57; Maricopa County; Arizona,3591,79688,04,013,061057,04013061057,Phoenix
Census Tract 610.58; Maricopa County; Arizona,3602,96021,04,013,061058,04013061058,Phoenix
Census Tract 610.59; Maricopa County; Arizona,5397,135635,04,013,061059,04013061059,Phoenix
Census Tract 610.60; Maricopa County; Arizona,2864,93542,04,013,061060,04013061060,Phoenix
Census Tract 610.61; Maricopa County; Arizona,5088,107882,04,013,061061,04013061061,Phoenix
Census Tract 610.62; Maricopa County; Arizona,7662,107182,04,013,061062,04013061062,Phoenix
Census Tract 610.63; Maricopa County; Arizona,1503,55179,04,013,061063,04013061063,Phoenix
Census Tract 610.64; Maricopa County; Arizona,3169,110962,04,013,061064,04013061064,Phoenix
Census Tract 611; Maricopa County; Arizona,2802,61847,04,013,061100,04013061100,Phoenix
Census Tract 612; Maricopa County; Arizona,6228,49326,04,013,061200,04013061200,Phoenix
Census Tract 613; Maricopa County; Arizona,2390,68897,04,013,061300,04013061300,Phoenix
Census Tract 614.01; Maricopa County; Arizona,2053,50321,04,013,061401,04013061401,Phoenix
Census Tract 614.02; Maricopa County; Arizona,5969,73358,04,013,061402,04013061402,Phoenix
Census Tract 715.03; Maricopa County; Arizona,4521,52337,04,013,071503,04013071503,Phoenix
Census Tract 715.04; Maricopa County; Arizona,3287,54740,04,013,071504,04013071504,Phoenix
Census Tract 715.05; Maricopa County; Arizona,6520,51591,04,013,071505,04013071505,Phoenix
Census Tract 715.06; Maricopa County; Arizona,4250,55777,04,013,071506,04013071506,Phoenix
Census Tract 715.09; Maricopa County; Arizona,5613,111172,04,013,071509,04013071509,Phoenix
Census Tract 715.10; Maricopa County; Arizona,4338,140099,04,013,071510,04013071510,Phoenix
Census Tract 715.11; Maricopa County; Arizona,4111,91774,04,013,071511,04013071511,Phoenix
Census Tract 715.12; Maricopa County; Arizona,6241,94871,04,013,071512,04013071512,Phoenix
Census Tract 715.13; Maricopa County; Arizona,1634,95395,04,013,071513,04013071513,Phoenix
Census Tract 715.14; Maricopa County; Arizona,4382,89011,04,013,071514,04013071514,Phoenix
Census Tract 715.15; Maricopa County; Arizona,3840,82611,04,013,071515,04013071515,Phoenix
Census Tract 715.16; Maricopa County; Arizona,4251,59000,04,013,071516,04013071516,Phoenix
Census Tract 715.17; Maricopa County; Arizona,3810,107321,04,013,071517,04013071517,Phoenix
Census Tract 716; Maricopa County; Arizona,3834,47628,04,013,071600,04013071600,Phoenix
Census Tract 717.01; Maricopa County; Arizona,3356,82039,04,013,071701,04013071701,Phoenix
Census Tract 717.02; Maricopa County; Arizona,3081,44814,04,013,071702,04013071702,Phoenix
Census Tract 718.01; Maricopa County; Arizona,4820,40694,04,013,071801,04013071801,Phoenix
Census Tract 718.02; Maricopa County; Arizona,3222,41200,04,013,071802,04013071802,Phoenix
Census Tract 719.03; Maricopa County; Arizona,6537,74542,04,013,071903,04013071903,Phoenix
Census Tract 719.06; Maricopa County; Arizona,5674,70412,04,013,071906,04013071906,Phoenix
Census Tract 719.09; Maricopa County; Arizona,3799,56128,04,013,071909,04013071909,Phoenix
Census Tract 719.10; Maricopa County; Arizona,7073,56899,04,013,071910,04013071910,Phoenix
Census Tract 719.11; Maricopa County; Arizona,3637,85602,04,013,071911,04013071911,Phoenix
Census Tract 719.12; Maricopa County; Arizona,3270,47027,04,013,071912,04013071912,Phoenix
Census Tract 719.13; Maricopa County; Arizona,6348,52095,04,013,071913,04013071913,Phoenix
Census Tract 719.14; Maricopa County; Arizona,3198,79425,04,013,071914,04013071914,Phoenix
Census Tract 719.15; Maricopa County; Arizona,3540,67757,04,013,071915,04013071915,Phoenix
Census Tract 820.02; Maricopa County; Arizona,6737,80189,04,013,082002,04013082002,Phoenix
Census Tract 820.07; Maricopa County; Arizona,4042,83189,04,013,082007,04013082007,Phoenix
Census Tract 820.08; Maricopa County; Arizona,5249,80250,04,013,082008,04013082008,Phoenix
Census Tract 820.09; Maricopa County; Arizona,4927,67154,04,013,082009,04013082009,Phoenix
Census Tract 820.10; Maricopa County; Arizona,5702,87200,04,013,082010,04013082010,Phoenix
Census Tract 820.12; Maricopa County; Arizona,6824,84773,04,013,082012,04013082012,Phoenix
Census Tract 820.16; Maricopa County; Arizona,4197,90156,04,013,082016,04013082016,Phoenix
Census Tract 820.17; Maricopa County; Arizona,5875,102500,04,013,082017,04013082017,Phoenix
Census Tract 820.18; Maricopa County; Arizona,5203,82106,04,013,082018,04013082018,Phoenix
Census Tract 820.19; Maricopa County; Arizona,2355,118173,04,013,082019,04013082019,Phoenix
Census Tract 820.20; Maricopa County; Arizona,4659,111094,04,013,082020,04013082020,Phoenix
Census Tract 820.21; Maricopa County; Arizona,2441,113517,04,013,082021,04013082021,Phoenix
Census Tract 820.22; Maricopa County; Arizona,5493,62326,04,013,082022,04013082022,Phoenix
Census Tract 820.23; Maricopa County; Arizona,5889,96789,04,013,082023,04013082023,Phoenix
Census Tract 820.24; Maricopa County; Arizona,4545,68889,04,013,082024,04013082024,Phoenix
Census Tract 820.25; Maricopa County; Arizona,3415,104441,04,013,082025,04013082025,Phoenix
Census Tract 820.26; Maricopa County; Arizona,7417,104152,04,013,082026,04013082026,Phoenix
Census Tract 820.27; Maricopa County; Arizona,6225,97104,04,013,082027,04013082027,Phoenix
Census Tract 820.28; Maricopa County; Arizona,4316,66151,04,013,082028,04013082028,Phoenix
Census Tract 822.04; Maricopa County; Arizona,7727,97719,04,013,082204,04013082204,Phoenix
Census Tract 822.05; Maricopa County; Arizona,6702,88809,04,013,082205,04013082205,Phoenix
Census Tract 822.06; Maricopa County; Arizona,4373,106375,04,013,082206,04013082206,Phoenix
Census Tract 822.07; Maricopa County; Arizona,3673,118255,04,013,082207,04013082207,Phoenix
Census Tract 822.08; Maricopa County; Arizona,3626,74847,04,013,082208,04013082208,Phoenix
Census Tract 822.09; Maricopa County; Arizona,2870,44595,04,013,082209,04013082209,Phoenix
Census Tract 822.10; Maricopa County; Arizona,5124,82355,04,013,082210,04013082210,Phoenix
Census Tract 822.11; Maricopa County; Arizona,8054,107083,04,013,082211,04013082211,Phoenix
Census Tract 822.12; Maricopa County; Arizona,6824,105372,04,013,082212,04013082212,Phoenix
Census Tract 822.13; Maricopa County; Arizona,6818,108438,04,013,082213,04013082213,Phoenix
Census Tract 830; Maricopa County; Arizona,7233,55015,04,013,083000,04013083000,Phoenix
Census Tract 923.05; Maricopa County; Arizona,5158,66849,04,013,092305,04013092305,Phoenix
Census Tract 923.06; Maricopa County; Arizona,5611,80208,04,013,092306,04013092306,Phoenix
Census Tract 923.07; Maricopa County; Arizona,6245,74053,04,013,092307,04013092307,Phoenix
Census Tract 923.08; Maricopa County; Arizona,6980,63762,04,013,092308,04013092308,Phoenix
Census Tract 923.09; Maricopa County; Arizona,5891,96825,04,013,092309,04013092309,Phoenix
Census Tract 923.11; Maricopa County; Arizona,2679,31223,04,013,092311,04013092311,Phoenix
Census Tract 923.12; Maricopa County; Arizona,6651,52315,04,013,092312,04013092312,Phoenix
Census Tract 924.01; Maricopa County; Arizona,3937,47020,04,013,092401,04013092401,Phoenix
Census Tract 924.02; Maricopa County; Arizona,3505,44663,04,013,092402,04013092402,Phoenix
Census Tract 925; Maricopa County; Arizona,4656,47514,04,013,092500,04013092500,Phoenix
Census Tract 926; Maricopa County; Arizona,3307,44733,04,013,092600,04013092600,Phoenix
Census Tract 927.05; Maricopa County; Arizona,4684,64316,04,013,092705,04013092705,Phoenix
Census Tract 927.08; Maricopa County; Arizona,1898,71432,04,013,092708,04013092708,Phoenix
Census Tract 927.09; Maricopa County; Arizona,4566,84734,04,013,092709,04013092709,Phoenix
Census Tract 927.10; Maricopa County; Arizona,5638,102434,04,013,092710,04013092710,Phoenix
Census Tract 927.11; Maricopa County; Arizona,3720,77757,04,013,092711,04013092711,Phoenix
Census Tract 927.12; Maricopa County; Arizona,4933,78856,04,013,092712,04013092712,Phoenix
Census Tract 927.13; Maricopa County; Arizona,5123,83068,04,013,092713,04013092713,Phoenix
Census Tract 927.15; Maricopa County; Arizona,4882,75000,04,013,092715,04013092715,Phoenix
Census Tract 927.16; Maricopa County; Arizona,3957,70804,04,013,092716,04013092716,Phoenix
Census Tract 927.17; Maricopa County; Arizona,6379,47260,04,013,092717,04013092717,Phoenix
Census Tract 927.18; Maricopa County; Arizona,4555,65208,04,013,092718,04013092718,Phoenix
Census Tract 927.19; Maricopa County; Arizona,5391,75721,04,013,092719,04013092719,Phoenix
Census Tract 927.20; Maricopa County; Arizona,8242,82159,04,013,092720,04013092720,Phoenix
Census Tract 927.21; Maricopa County; Arizona,4018,142083,04,013,092721,04013092721,Phoenix
Census Tract 927.23; Maricopa County; Arizona,4349,78864,04,013,092723,04013092723,Phoenix
Census Tract 927.24; Maricopa County; Arizona,4883,53892,04,013,092724,04013092724,Phoenix
Census Tract 928.01; Maricopa County; Arizona,5949,55840,04,013,092801,04013092801,Phoenix
Census Tract 928.02; Maricopa County; Arizona,5711,47128,04,013,092802,04013092802,Phoenix
Census Tract 929; Maricopa County; Arizona,3517,41250,04,013,092900,04013092900,Phoenix
Census Tract 930.01; Maricopa County; Arizona,6140,43053,04,013,093001,04013093001,Phoenix
Census Tract 930.02; Maricopa County; Arizona,4199,74297,04,013,093002,04013093002,Phoenix
Census Tract 931.01; Maricopa County; Arizona,5750,49931,04,013,093101,04013093101,Phoenix
Census Tract 931.04; Maricopa County; Arizona,5301,55817,04,013,093104,04013093104,Phoenix
Census Tract 931.05; Maricopa County; Arizona,5340,43048,04,013,093105,04013093105,Phoenix
Census Tract 931.06; Maricopa County; Arizona,4169,54923,04,013,093106,04013093106,Phoenix
Census Tract 932; Maricopa County; Arizona,4743,56961,04,013,093200,04013093200,Phoenix
Census Tract 1032.05; Maricopa County; Arizona,2447,118472,04,013,103205,04013103205,Phoenix
