city,low_income_flag,tract_count,median_lst_c,mean_lst_c,hotspot_top20_share,median_income,median_poverty_rate
Houston,False,331,48.27734300666845,47.76261413853765,11.48036253776435,86250.0,0.09248727350917132
Houston,True,323,48.967746189687524,48.805212382041006,28.792569659442723,43578.0,0.2768897317800054
Phoenix,False,189,56.657985221670394,56.525487329637244,13.756613756613756,98611.0,0.06880687219430064
Phoenix,True,184,57.9230134793441,57.66877071123595,26.6304347826087,56949.0,0.2067316153362665
