city,tract_rows,missing_lst,missing_hi,lst_min_c,lst_median_c,lst_max_c,hi_min_c,hi_median_c,hi_max_c
Houston,654,0,105,33.932658672712236,48.531293320761506,53.48108138000002,33.80516410259068,34.182124562548104,34.55651363478912
Phoenix,373,0,41,51.440967267605885,57.21703991853516,60.4662311385487,31.306490363261293,33.3082424010499,34.18679044946821
