city,n_valid,median_lst_c,median_hi_c,mean_gap_z,sd_gap_z,min_gap_z,max_gap_z
Houston,549,48.352,34.182,-0.0,1.157,-4.743,5.815
Phoenix,332,57.179,33.308,-0.0,1.191,-4.283,3.587
