city,n_total,n_valid,strong_hi_gt_lst_n,mild_hi_gt_lst_n,equal_n,mild_lst_gt_hi_n,strong_lst_gt_hi_n,missing_n,strong_hi_gt_lst_pct_valid,mild_hi_gt_lst_pct_valid,equal_pct_valid,mild_lst_gt_hi_pct_valid,strong_lst_gt_hi_pct_valid
Houston,654,549,74,111,146,135,83,105,13.48,20.22,26.59,24.59,15.12
Phoenix,373,332,67,57,71,76,61,41,20.18,17.17,21.39,22.89,18.37
