city,tract_rows,unique_geoids,missing_pop_after_merge,missing_income_after_merge,invalid_income_after_clean,median_income_clean_median,population_clean_sum
Houston,654,654,0,0,9,60167.0,2314658
Phoenix,373,373,0,0,5,75744.0,1613480
