city,tract_count,median_lst_c,mean_lst_c,hotspot_top20_count,hotspot_top20_share,median_income,median_poverty_rate
Houston,654,48.531293320761506,48.27753651262264,131,20.03058103975535,59713.0,0.18744821872410936
Phoenix,373,57.21703991853516,57.089466263187276,75,20.10723860589812,75573.0,0.1294453154196024
