NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 405.31; Maricopa County; Arizona,3617,345,04,013,040531,04013040531,Phoenix
Census Tract 405.32; Maricopa County; Arizona,7099,504,04,013,040532,04013040532,Phoenix
Census Tract 405.33; Maricopa County; Arizona,2862,214,04,013,040533,04013040533,Phoenix
Census Tract 405.34; Maricopa County; Arizona,3516,194,04,013,040534,04013040534,Phoenix
Census Tract 405.35; Maricopa County; Arizona,6271,394,04,013,040535,04013040535,Phoenix
Census Tract 405.36; Maricopa County; Arizona,6550,336,04,013,040536,04013040536,Phoenix
Census Tract 405.37; Maricopa County; Arizona,2974,93,04,013,040537,04013040537,Phoenix
Census Tract 405.38; Maricopa County; Arizona,5838,187,04,013,040538,04013040538,Phoenix
Census Tract 405.39; Maricopa County; Arizona,7293,295,04,013,040539,04013040539,Phoenix
Census Tract 405.40; Maricopa County; Arizona,6427,479,04,013,040540,04013040540,Phoenix
Census Tract 405.41; Maricopa County; Arizona,5195,410,04,013,040541,04013040541,Phoenix
Census Tract 506.03; Maricopa County; Arizona,5707,407,04,013,050603,04013050603,Phoenix
Census Tract 506.04; Maricopa County; Arizona,3582,368,04,013,050604,04013050604,Phoenix
Census Tract 506.09; Maricopa County; Arizona,5201,202,04,013,050609,04013050609,Phoenix
Census Tract 506.11; Maricopa County; Arizona,6731,501,04,013,050611,04013050611,Phoenix
Census Tract 506.12; Maricopa County; Arizona,11850,629,04,013,050612,04013050612,Phoenix
Census Tract 506.13; Maricopa County; Arizona,5676,29,04,013,050613,04013050613,Phoenix
Census Tract 506.14; Maricopa County; Arizona,4280,497,04,013,050614,04013050614,Phoenix
Census Tract 506.15; Maricopa County; Arizona,5418,213,04,013,050615,04013050615,Phoenix
Census Tract 506.16; Maricopa County; Arizona,2911,176,04,013,050616,04013050616,Phoenix
Census Tract 506.17; Maricopa County; Arizona,5269,654,04,013,050617,04013050617,Phoenix
Census Tract 506.18; Maricopa County; Arizona,8264,239,04,013,050618,04013050618,Phoenix
Census Tract 506.19; Maricopa County; Arizona,9269,102,04,013,050619,04013050619,Phoenix
Census Tract 506.20; Maricopa County; Arizona,8737,347,04,013,050620,04013050620,Phoenix
Census Tract 506.21; Maricopa County; Arizona,9256,1215,04,013,050621,04013050621,Phoenix
Census Tract 507.01; Maricopa County; Arizona,7553,848,04,013,050701,04013050701,Phoenix
Census Tract 507.02; Maricopa County; Arizona,6544,672,04,013,050702,04013050702,Phoenix
Census Tract 608.01; Maricopa County; Arizona,5190,1255,04,013,060801,04013060801,Phoenix
Census Tract 608.02; Maricopa County; Arizona,3188,338,04,013,060802,04013060802,Phoenix
Census Tract 609.01; Maricopa County; Arizona,4549,477,04,013,060901,04013060901,Phoenix
Census Tract 609.02; Maricopa County; Arizona,4011,1036,04,013,060902,04013060902,Phoenix
Census Tract 609.03; Maricopa County; Arizona,5507,601,04,013,060903,04013060903,Phoenix
Census Tract 609.04; Maricopa County; Arizona,3902,514,04,013,060904,04013060904,Phoenix
Census Tract 610.10; Maricopa County; Arizona,6263,273,04,013,061010,04013061010,Phoenix
Census Tract 610.11; Maricopa County; Arizona,8736,339,04,013,061011,04013061011,Phoenix
Census Tract 610.13; Maricopa County; Arizona,7288,1019,04,013,061013,04013061013,Phoenix
Census Tract 610.14; Maricopa County; Arizona,6114,200,04,013,061014,04013061014,Phoenix
Census Tract 610.15; Maricopa County; Arizona,5563,401,04,013,061015,04013061015,Phoenix
Census Tract 610.17; Maricopa County; Arizona,0,0,04,013,061017,04013061017,Phoenix
Census Tract 610.18; Maricopa County; Arizona,5540,244,04,013,061018,04013061018,Phoenix
Census Tract 610.20; Maricopa County; Arizona,3538,197,04,013,061020,04013061020,Phoenix
Census Tract 610.21; Maricopa County; Arizona,2090,131,04,013,061021,04013061021,Phoenix
Census Tract 610.24; Maricopa County; Arizona,2476,354,04,013,061024,04013061024,Phoenix
Census Tract 610.26; Maricopa County; Arizona,6630,539,04,013,061026,04013061026,Phoenix
Census Tract 610.27; Maricopa County; Arizona,5913,639,04,013,061027,04013061027,Phoenix
Census Tract 610.28; Maricopa County; Arizona,2990,388,04,013,061028,04013061028,Phoenix
Census Tract 610.29; Maricopa County; Arizona,4787,569,04,013,061029,04013061029,Phoenix
Census Tract 610.31; Maricopa County; Arizona,8160,97,04,013,061031,04013061031,Phoenix
Census Tract 610.32; Maricopa County; Arizona,6238,517,04,013,061032,04013061032,Phoenix
Census Tract 610.33; Maricopa County; Arizona,5690,572,04,013,061033,04013061033,Phoenix
Census Tract 610.34; Maricopa County; Arizona,8318,591,04,013,061034,04013061034,Phoenix
Census Tract 610.35; Maricopa County; Arizona,6991,320,04,013,061035,04013061035,Phoenix
Census Tract 610.36; Maricopa County; Arizona,4773,163,04,013,061036,04013061036,Phoenix
Census Tract 610.37; Maricopa County; Arizona,6390,383,04,013,061037,04013061037,Phoenix
Census Tract 610.38; Maricopa County; Arizona,5147,990,04,013,061038,04013061038,Phoenix
Census Tract 610.39; Maricopa County; Arizona,5997,315,04,013,061039,04013061039,Phoenix
Census Tract 610.40; Maricopa County; Arizona,4992,317,04,013,061040,04013061040,Phoenix
Census Tract 610.41; Maricopa County; Arizona,4658,811,04,013,061041,04013061041,Phoenix
Census Tract 610.42; Maricopa County; Arizona,2406,535,04,013,061042,04013061042,Phoenix
Census Tract 610.43; Maricopa County; Arizona,2445,198,04,013,061043,04013061043,Phoenix
Census Tract 610.44; Maricopa County; Arizona,9448,751,04,013,061044,04013061044,Phoenix
Census Tract 610.45; Maricopa County; Arizona,8633,661,04,013,061045,04013061045,Phoenix
Census Tract 610.46; Maricopa County; Arizona,6163,1634,04,013,061046,04013061046,Phoenix
Census Tract 610.47; Maricopa County; Arizona,4013,56,04,013,061047,04013061047,Phoenix
Census Tract 610.48; Maricopa County; Arizona,4058,219,04,013,061048,04013061048,Phoenix
Census Tract 610.49; Maricopa County; Arizona,5244,249,04,013,061049,04013061049,Phoenix
Census Tract 610.50; Maricopa County; Arizona,6811,626,04,013,061050,04013061050,Phoenix
Census Tract 610.51; Maricopa County; Arizona,4739,19,04,013,061051,04013061051,Phoenix
Census Tract 610.52; Maricopa County; Arizona,9121,632,04,013,061052,04013061052,Phoenix
Census Tract 610.53; Maricopa County; Arizona,8281,795,04,013,061053,04013061053,Phoenix
Census Tract 610.54; Maricopa County; Arizona,7582,437,04,013,061054,04013061054,Phoenix
Census Tract 610.55; Maricopa County; Arizona,5739,333,04,013,061055,04013061055,Phoenix
Census Tract 610.56; Maricopa County; Arizona,3939,170,04,013,061056,04013061056,Phoenix
Census Tract 610.57; Maricopa County; Arizona,3591,222,04,013,061057,04013061057,Phoenix
Census Tract 610.58; Maricopa County; Arizona,3602,177,04,013,061058,04013061058,Phoenix
Census Tract 610.59; Maricopa County; Arizona,5344,453,04,013,061059,04013061059,Phoenix
Census Tract 610.60; Maricopa County; Arizona,2864,240,04,013,061060,04013061060,Phoenix
Census Tract 610.61; Maricopa County; Arizona,5047,220,04,013,061061,04013061061,Phoenix
Census Tract 610.62; Maricopa County; Arizona,7608,66,04,013,061062,04013061062,Phoenix
Census Tract 610.63; Maricopa County; Arizona,1503,70,04,013,061063,04013061063,Phoenix
Census Tract 610.64; Maricopa County; Arizona,3169,329,04,013,061064,04013061064,Phoenix
Census Tract 611; Maricopa County; Arizona,1837,29,04,013,061100,04013061100,Phoenix
Census Tract 612; Maricopa County; Arizona,5990,1170,04,013,061200,04013061200,Phoenix
Census Tract 613; Maricopa County; Arizona,2390,291,04,013,061300,04013061300,Phoenix
Census Tract 614.01; Maricopa County; Arizona,2025,667,04,013,061401,04013061401,Phoenix
Census Tract 614.02; Maricopa County; Arizona,5927,900,04,013,061402,04013061402,Phoenix
Census Tract 715.03; Maricopa County; Arizona,4372,224,04,013,071503,04013071503,Phoenix
Census Tract 715.04; Maricopa County; Arizona,3287,322,04,013,071504,04013071504,Phoenix
Census Tract 715.05; Maricopa County; Arizona,6503,1308,04,013,071505,04013071505,Phoenix
Census Tract 715.06; Maricopa County; Arizona,4250,319,04,013,071506,04013071506,Phoenix
Census Tract 715.09; Maricopa County; Arizona,5603,365,04,013,071509,04013071509,Phoenix
Census Tract 715.10; Maricopa County; Arizona,4324,62,04,013,071510,04013071510,Phoenix
Census Tract 715.11; Maricopa County; Arizona,3983,379,04,013,071511,04013071511,Phoenix
Census Tract 715.12; Maricopa County; Arizona,6241,362,04,013,071512,04013071512,Phoenix
Census Tract 715.13; Maricopa County; Arizona,1609,114,04,013,071513,04013071513,Phoenix
Census Tract 715.14; Maricopa County; Arizona,4356,551,04,013,071514,04013071514,Phoenix
Census Tract 715.15; Maricopa County; Arizona,3738,299,04,013,071515,04013071515,Phoenix
Census Tract 715.16; Maricopa County; Arizona,4021,347,04,013,071516,04013071516,Phoenix
Census Tract 715.17; Maricopa County; Arizona,3768,141,04,013,071517,04013071517,Phoenix
Census Tract 716; Maricopa County; Arizona,3670,468,04,013,071600,04013071600,Phoenix
Census Tract 717.01; Maricopa County; Arizona,3198,303,04,013,071701,04013071701,Phoenix
Census Tract 717.02; Maricopa County; Arizona,3081,564,04,013,071702,04013071702,Phoenix
Census Tract 718.01; Maricopa County; Arizona,4637,1054,04,013,071801,04013071801,Phoenix
Census Tract 718.02; Maricopa County; Arizona,3222,387,04,013,071802,04013071802,Phoenix
Census Tract 719.03; Maricopa County; Arizona,6537,787,04,013,071903,04013071903,Phoenix
Census Tract 719.06; Maricopa County; Arizona,5504,376,04,013,071906,04013071906,Phoenix
Census Tract 719.09; Maricopa County; Arizona,3779,419,04,013,071909,04013071909,Phoenix
Census Tract 719.10; Maricopa County; Arizona,7051,1166,04,013,071910,04013071910,Phoenix
Census Tract 719.11; Maricopa County; Arizona,3633,457,04,013,071911,04013071911,Phoenix
Census Tract 719.12; Maricopa County; Arizona,3270,507,04,013,071912,04013071912,Phoenix
Census Tract 719.13; Maricopa County; Arizona,6348,1609,04,013,071913,04013071913,Phoenix
Census Tract 719.14; Maricopa County; Arizona,3173,455,04,013,071914,04013071914,Phoenix
Census Tract 719.15; Maricopa County; Arizona,3430,188,04,013,071915,04013071915,Phoenix
Census Tract 820.02; Maricopa County; Arizona,6688,1158,04,013,082002,04013082002,Phoenix
Census Tract 820.07; Maricopa County; Arizona,4042,481,04,013,082007,04013082007,Phoenix
Census Tract 820.08; Maricopa County; Arizona,5249,378,04,013,082008,04013082008,Phoenix
Census Tract 820.09; Maricopa County; Arizona,4835,575,04,013,082009,04013082009,Phoenix
Census Tract 820.10; Maricopa County; Arizona,5507,746,04,013,082010,04013082010,Phoenix
Census Tract 820.12; Maricopa County; Arizona,6821,867,04,013,082012,04013082012,Phoenix
Census Tract 820.16; Maricopa County; Arizona,4149,530,04,013,082016,04013082016,Phoenix
Census Tract 820.17; Maricopa County; Arizona,5875,627,04,013,082017,04013082017,Phoenix
Census Tract 820.18; Maricopa County; Arizona,5203,419,04,013,082018,04013082018,Phoenix
Census Tract 820.19; Maricopa County; Arizona,2309,113,04,013,082019,04013082019,Phoenix
Census Tract 820.20; Maricopa County; Arizona,4659,165,04,013,082020,04013082020,Phoenix
Census Tract 820.21; Maricopa County; Arizona,2439,341,04,013,082021,04013082021,Phoenix
Census Tract 820.22; Maricopa County; Arizona,5421,757,04,013,082022,04013082022,Phoenix
Census Tract 820.23; Maricopa County; Arizona,5837,487,04,013,082023,04013082023,Phoenix
Census Tract 820.24; Maricopa County; Arizona,4510,580,04,013,082024,04013082024,Phoenix
Census Tract 820.25; Maricopa County; Arizona,3415,255,04,013,082025,04013082025,Phoenix
