city,tract_rows,missing_poverty_universe,missing_below_poverty,missing_poverty_rate,median_poverty_rate,mean_poverty_rate
Houston,654,0,0,3,0.18744821872410936,0.19841531652058828
Phoenix,373,0,0,3,0.1294453154196024,0.1520830453202156
