city,n_valid,median_lst_c,median_hi_c,mean_gap_z,sd_gap_z,min_gap_z,max_gap_z,hex_gridsize,figure_out
Houston,549,48.352,34.182,-0.0,1.157,-4.743,5.815,24,/Users/yufeizhou/Desktop/heat-exposure-compare/figures/pilot/rq1_gap_hexbin_houston.png
Phoenix,332,57.179,33.308,-0.0,1.191,-4.283,3.587,16,/Users/yufeizhou/Desktop/heat-exposure-compare/figures/pilot/rq1_gap_hexbin_phoenix.png
