city,valid_tracts_used,lst_hotspot_cut,hi_hotspot_cut,lst_hotspot_count,hi_hotspot_count,intersection_count,union_count,jaccard_index,missing_rows
Houston,549,49.97007904117155,34.19809785111112,110,146,46,210,0.21904761904761905,105
Phoenix,0,,,0,0,0,0,,373
