city,climate_type,tract_boundary,lst_source,hi_source,demographic_source,city_boundary_source,status,raw_folder,processed_folder,figure_folder,notes
Phoenix,arid,US Census tract boundary,planned LST source,planned HI / moist heat source,ACS demographic variables,planned city/metro boundary,source plan drafted,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/figures/pilot,pilot city: arid contrast city
Houston,humid subtropical,US Census tract boundary,planned LST source,planned HI / moist heat source,ACS demographic variables,planned city/metro boundary,source plan drafted,/Users/yufeizhou/Desktop/heat-exposure-compare/data_raw/houston,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston,/Users/yufeizhou/Desktop/heat-exposure-compare/figures/pilot,pilot city: humid contrast city
