NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 6731.07; Fort Bend County; Texas,6213,308,48,157,673107,48157673107,Houston
Census Tract 6731.08; Fort Bend County; Texas,18168,308,48,157,673108,48157673108,Houston
Census Tract 6731.09; Fort Bend County; Texas,10899,678,48,157,673109,48157673109,Houston
Census Tract 6731.10; Fort Bend County; Texas,8607,120,48,157,673110,48157673110,Houston
Census Tract 6731.11; Fort Bend County; Texas,10739,141,48,157,673111,48157673111,Houston
Census Tract 6731.12; Fort Bend County; Texas,9051,1048,48,157,673112,48157673112,Houston
Census Tract 6731.13; Fort Bend County; Texas,8271,1368,48,157,673113,48157673113,Houston
Census Tract 6732.01; Fort Bend County; Texas,13486,804,48,157,673201,48157673201,Houston
Census Tract 6732.02; Fort Bend County; Texas,34767,1989,48,157,673202,48157673202,Houston
Census Tract 6733; Fort Bend County; Texas,9328,245,48,157,673300,48157673300,Houston
Census Tract 6734.01; Fort Bend County; Texas,8950,680,48,157,673401,48157673401,Houston
Census Tract 6734.02; Fort Bend County; Texas,8983,53,48,157,673402,48157673402,Houston
Census Tract 6734.03; Fort Bend County; Texas,10439,455,48,157,673403,48157673403,Houston
Census Tract 6734.04; Fort Bend County; Texas,10942,172,48,157,673404,48157673404,Houston
Census Tract 6735.01; Fort Bend County; Texas,10955,1140,48,157,673501,48157673501,Houston
Census Tract 6735.02; Fort Bend County; Texas,4940,160,48,157,673502,48157673502,Houston
Census Tract 6736; Fort Bend County; Texas,7013,700,48,157,673600,48157673600,Houston
Census Tract 6737; Fort Bend County; Texas,19,0,48,157,673700,48157673700,Houston
Census Tract 6738.01; Fort Bend County; Texas,3112,131,48,157,673801,48157673801,Houston
Census Tract 6738.02; Fort Bend County; Texas,5879,471,48,157,673802,48157673802,Houston
Census Tract 6739.02; Fort Bend County; Texas,11929,595,48,157,673902,48157673902,Houston
Census Tract 6739.03; Fort Bend County; Texas,3240,101,48,157,673903,48157673903,Houston
Census Tract 6739.04; Fort Bend County; Texas,5482,164,48,157,673904,48157673904,Houston
Census Tract 6740.01; Fort Bend County; Texas,2422,18,48,157,674001,48157674001,Houston
Census Tract 6740.02; Fort Bend County; Texas,4709,482,48,157,674002,48157674002,Houston
Census Tract 6741; Fort Bend County; Texas,6161,474,48,157,674100,48157674100,Houston
Census Tract 6742; Fort Bend County; Texas,4944,96,48,157,674200,48157674200,Houston
Census Tract 6743.01; Fort Bend County; Texas,3097,0,48,157,674301,48157674301,Houston
Census Tract 6743.02; Fort Bend County; Texas,5413,24,48,157,674302,48157674302,Houston
Census Tract 6744.01; Fort Bend County; Texas,8303,20,48,157,674401,48157674401,Houston
Census Tract 6744.02; Fort Bend County; Texas,5090,0,48,157,674402,48157674402,Houston
Census Tract 6744.03; Fort Bend County; Texas,4497,52,48,157,674403,48157674403,Houston
Census Tract 6744.04; Fort Bend County; Texas,6765,177,48,157,674404,48157674404,Houston
Census Tract 6745.03; Fort Bend County; Texas,4368,11,48,157,674503,48157674503,Houston
Census Tract 6745.04; Fort Bend County; Texas,10017,294,48,157,674504,48157674504,Houston
Census Tract 6745.05; Fort Bend County; Texas,9989,92,48,157,674505,48157674505,Houston
Census Tract 6745.06; Fort Bend County; Texas,5425,383,48,157,674506,48157674506,Houston
Census Tract 6745.07; Fort Bend County; Texas,11888,990,48,157,674507,48157674507,Houston
Census Tract 6745.08; Fort Bend County; Texas,4555,36,48,157,674508,48157674508,Houston
Census Tract 6746.01; Fort Bend County; Texas,3226,123,48,157,674601,48157674601,Houston
Census Tract 6746.02; Fort Bend County; Texas,7994,378,48,157,674602,48157674602,Houston
Census Tract 6746.03; Fort Bend County; Texas,6275,268,48,157,674603,48157674603,Houston
Census Tract 6746.04; Fort Bend County; Texas,5025,47,48,157,674604,48157674604,Houston
Census Tract 6747.01; Fort Bend County; Texas,3563,100,48,157,674701,48157674701,Houston
Census Tract 6747.02; Fort Bend County; Texas,13166,749,48,157,674702,48157674702,Houston
Census Tract 6748; Fort Bend County; Texas,5997,672,48,157,674800,48157674800,Houston
Census Tract 6749; Fort Bend County; Texas,5540,1000,48,157,674900,48157674900,Houston
Census Tract 6750; Fort Bend County; Texas,3403,1005,48,157,675000,48157675000,Houston
Census Tract 6751.01; Fort Bend County; Texas,7004,1007,48,157,675101,48157675101,Houston
Census Tract 6751.02; Fort Bend County; Texas,4820,984,48,157,675102,48157675102,Houston
Census Tract 6752; Fort Bend County; Texas,5419,1787,48,157,675200,48157675200,Houston
Census Tract 6753; Fort Bend County; Texas,5366,1082,48,157,675300,48157675300,Houston
Census Tract 6754.01; Fort Bend County; Texas,8544,289,48,157,675401,48157675401,Houston
Census Tract 6754.02; Fort Bend County; Texas,2901,240,48,157,675402,48157675402,Houston
Census Tract 6755.01; Fort Bend County; Texas,7658,176,48,157,675501,48157675501,Houston
Census Tract 6755.02; Fort Bend County; Texas,19016,1040,48,157,675502,48157675502,Houston
Census Tract 6755.03; Fort Bend County; Texas,7995,588,48,157,675503,48157675503,Houston
Census Tract 6756; Fort Bend County; Texas,8525,1586,48,157,675600,48157675600,Houston
Census Tract 6757.01; Fort Bend County; Texas,3085,351,48,157,675701,48157675701,Houston
Census Tract 6757.02; Fort Bend County; Texas,3503,417,48,157,675702,48157675702,Houston
Census Tract 6758; Fort Bend County; Texas,3572,699,48,157,675800,48157675800,Houston
Census Tract 1000.01; Harris County; Texas,4549,695,48,201,100001,48201100001,Houston
Census Tract 2104; Harris County; Texas,3908,923,48,201,210400,48201210400,Houston
Census Tract 2105; Harris County; Texas,4624,1155,48,201,210500,48201210500,Houston
Census Tract 2106; Harris County; Texas,5355,287,48,201,210600,48201210600,Houston
Census Tract 2107; Harris County; Texas,2206,426,48,201,210700,48201210700,Houston
Census Tract 2108; Harris County; Texas,2067,706,48,201,210800,48201210800,Houston
Census Tract 2109; Harris County; Texas,1852,389,48,201,210900,48201210900,Houston
Census Tract 2110; Harris County; Texas,1853,558,48,201,211000,48201211000,Houston
Census Tract 2111.01; Harris County; Texas,2426,953,48,201,211101,48201211101,Houston
Census Tract 2111.02; Harris County; Texas,2297,1325,48,201,211102,48201211102,Houston
Census Tract 2112; Harris County; Texas,2392,942,48,201,211200,48201211200,Houston
Census Tract 2113.01; Harris County; Texas,2733,1296,48,201,211301,48201211301,Houston
Census Tract 2113.02; Harris County; Texas,2751,570,48,201,211302,48201211302,Houston
Census Tract 2114; Harris County; Texas,4226,845,48,201,211400,48201211400,Houston
Census Tract 2115.01; Harris County; Texas,3400,1163,48,201,211501,48201211501,Houston
Census Tract 2115.02; Harris County; Texas,2613,698,48,201,211502,48201211502,Houston
Census Tract 2116; Harris County; Texas,2991,816,48,201,211600,48201211600,Houston
Census Tract 2117; Harris County; Texas,3410,800,48,201,211700,48201211700,Houston
Census Tract 2119; Harris County; Texas,4601,1000,48,201,211900,48201211900,Houston
Census Tract 2123; Harris County; Texas,5117,1167,48,201,212300,48201212300,Houston
Census Tract 2124; Harris County; Texas,3077,1091,48,201,212400,48201212400,Houston
Census Tract 2125; Harris County; Texas,3495,827,48,201,212500,48201212500,Houston
Census Tract 2201; Harris County; Texas,1400,195,48,201,220100,48201220100,Houston
Census Tract 2202; Harris County; Texas,2345,550,48,201,220200,48201220200,Houston
Census Tract 2203; Harris County; Texas,3840,1109,48,201,220300,48201220300,Houston
Census Tract 2204; Harris County; Texas,4495,1883,48,201,220400,48201220400,Houston
Census Tract 2205; Harris County; Texas,3635,985,48,201,220500,48201220500,Houston
Census Tract 2206; Harris County; Texas,3252,1110,48,201,220600,48201220600,Houston
Census Tract 2207.01; Harris County; Texas,3084,1359,48,201,220701,48201220701,Houston
Census Tract 2207.02; Harris County; Texas,3560,1074,48,201,220702,48201220702,Houston
Census Tract 2208; Harris County; Texas,3782,1721,48,201,220800,48201220800,Houston
Census Tract 2209; Harris County; Texas,1836,731,48,201,220900,48201220900,Houston
Census Tract 2210; Harris County; Texas,3469,947,48,201,221000,48201221000,Houston
Census Tract 2211; Harris County; Texas,3464,709,48,201,221100,48201221100,Houston
Census Tract 2212; Harris County; Texas,5655,1192,48,201,221200,48201221200,Houston
Census Tract 2213.01; Harris County; Texas,4057,1245,48,201,221301,48201221301,Houston
Census Tract 2213.02; Harris County; Texas,3307,312,48,201,221302,48201221302,Houston
Census Tract 2214; Harris County; Texas,5588,2042,48,201,221400,48201221400,Houston
Census Tract 2215.01; Harris County; Texas,5402,1242,48,201,221501,48201221501,Houston
Census Tract 2215.02; Harris County; Texas,2920,1027,48,201,221502,48201221502,Houston
Census Tract 2216.01; Harris County; Texas,3346,1417,48,201,221601,48201221601,Houston
Census Tract 2216.02; Harris County; Texas,5349,1056,48,201,221602,48201221602,Houston
Census Tract 2217.01; Harris County; Texas,5238,1571,48,201,221701,48201221701,Houston
Census Tract 2217.02; Harris County; Texas,3031,1011,48,201,221702,48201221702,Houston
Census Tract 2218; Harris County; Texas,3853,1253,48,201,221800,48201221800,Houston
Census Tract 2219; Harris County; Texas,5267,1981,48,201,221900,48201221900,Houston
Census Tract 2220; Harris County; Texas,2158,691,48,201,222000,48201222000,Houston
Census Tract 2221; Harris County; Texas,4851,1134,48,201,222100,48201222100,Houston
Census Tract 2222; Harris County; Texas,3196,749,48,201,222200,48201222200,Houston
Census Tract 2223; Harris County; Texas,4979,1441,48,201,222300,48201222300,Houston
Census Tract 2224.01; Harris County; Texas,3042,738,48,201,222401,48201222401,Houston
Census Tract 2224.02; Harris County; Texas,6806,2797,48,201,222402,48201222402,Houston
Census Tract 2225.01; Harris County; Texas,3188,905,48,201,222501,48201222501,Houston
Census Tract 2225.02; Harris County; Texas,3815,791,48,201,222502,48201222502,Houston
Census Tract 2225.04; Harris County; Texas,3292,870,48,201,222504,48201222504,Houston
Census Tract 2225.05; Harris County; Texas,3239,292,48,201,222505,48201222505,Houston
Census Tract 2226.01; Harris County; Texas,2146,1123,48,201,222601,48201222601,Houston
Census Tract 2226.02; Harris County; Texas,2329,959,48,201,222602,48201222602,Houston
Census Tract 2227.01; Harris County; Texas,2779,1869,48,201,222701,48201222701,Houston
Census Tract 2227.02; Harris County; Texas,3828,1606,48,201,222702,48201222702,Houston
Census Tract 2228; Harris County; Texas,4160,1082,48,201,222800,48201222800,Houston
Census Tract 2229; Harris County; Texas,8286,2569,48,201,222900,48201222900,Houston
Census Tract 2230.01; Harris County; Texas,3845,947,48,201,223001,48201223001,Houston
Census Tract 2230.02; Harris County; Texas,3073,367,48,201,223002,48201223002,Houston
Census Tract 2231; Harris County; Texas,2272,392,48,201,223100,48201223100,Houston
Census Tract 2301; Harris County; Texas,1661,259,48,201,230100,48201230100,Houston
Census Tract 2302; Harris County; Texas,4818,1680,48,201,230200,48201230200,Houston
Census Tract 2303; Harris County; Texas,2079,530,48,201,230300,48201230300,Houston
Census Tract 2304; Harris County; Texas,4015,941,48,201,230400,48201230400,Houston
Census Tract 2305; Harris County; Texas,3453,998,48,201,230500,48201230500,Houston
Census Tract 2306; Harris County; Texas,2708,678,48,201,230600,48201230600,Houston
Census Tract 2307; Harris County; Texas,2934,1118,48,201,230700,48201230700,Houston
Census Tract 2308; Harris County; Texas,2373,536,48,201,230800,48201230800,Houston
Census Tract 2309; Harris County; Texas,4409,1718,48,201,230900,48201230900,Houston
Census Tract 2310; Harris County; Texas,5426,1485,48,201,231000,48201231000,Houston
Census Tract 2311; Harris County; Texas,5521,2257,48,201,231100,48201231100,Houston
Census Tract 2312; Harris County; Texas,5883,2351,48,201,231200,48201231200,Houston
Census Tract 2313; Harris County; Texas,5171,1161,48,201,231300,48201231300,Houston
Census Tract 2314; Harris County; Texas,2970,698,48,201,231400,48201231400,Houston
Census Tract 2315; Harris County; Texas,3047,516,48,201,231500,48201231500,Houston
Census Tract 2316; Harris County; Texas,3171,847,48,201,231600,48201231600,Houston
Census Tract 2317; Harris County; Texas,4517,1482,48,201,231700,48201231700,Houston
Census Tract 2318; Harris County; Texas,3146,750,48,201,231800,48201231800,Houston
Census Tract 2319; Harris County; Texas,6618,1643,48,201,231900,48201231900,Houston
Census Tract 2320; Harris County; Texas,4410,1678,48,201,232000,48201232000,Houston
Census Tract 2321; Harris County; Texas,3563,914,48,201,232100,48201232100,Houston
Census Tract 2322.01; Harris County; Texas,6454,2623,48,201,232201,48201232201,Houston
Census Tract 2322.02; Harris County; Texas,5283,87,48,201,232202,48201232202,Houston
