GEOID,total_population,lst_c,hi_c,quadrant,city,lst_median_city,hi_median_city
48201421101,2646,49.220826022619015,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201423301,4897,47.77960110565219,34.19907681151132,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453401,2953,50.53202799120119,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201331100,3979,50.09267137512967,34.18305435169938,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201331200,5051,47.16234470140147,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201331300,4823,47.943030546115374,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201331400,3281,47.59185069075341,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201321700,3243,47.71792009238797,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201250901,4022,39.686325209489105,33.932678593872126,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201520501,4040,50.40352031805953,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201521701,4673,50.06290857109907,34.075192871938214,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201521702,2925,48.90025097600002,34.075192871938214,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201520603,2141,49.65907510524754,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201521201,1842,50.86241493826781,34.075192871938214,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532004,5055,47.96579667504606,34.06943130034954,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532003,3909,50.08264673572487,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201232701,7379,43.06580477000002,34.179591570025146,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201420600,2311,46.656149945000024,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201420700,2549,47.7223339770087,34.189995108284705,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201314001,2936,49.402484246687,34.17749953067773,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201320602,4704,48.275726989188115,34.175943089573586,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201450100,1957,47.02914118344136,34.182124562548104,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201433400,4413,48.44210136110306,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
