city,n_total,n_valid,n_missing_or_invalid,lst_q33,lst_q67,hi_q33,hi_q67,lst_min_valid,lst_max_valid,hi_min_valid,hi_max_valid
Houston,654,549,105,47.591,49.289,34.172,34.19,33.933,53.481,33.805,34.557
Phoenix,373,332,41,56.349,58.103,33.308,33.66,51.441,60.466,31.306,34.187
