city,equal_pct_valid,hi_gt_lst_pct_valid,lst_gt_hi_pct_valid,strong_hi_gt_lst_pct_valid,strong_lst_gt_hi_pct_valid
Houston,42.08,25.14,32.79,7.29,10.02
Phoenix,37.35,29.82,32.83,6.33,10.24
