city,tract_rows,unique_geoids,missing_lst_mean_after_merge,missing_lst_median_after_merge,median_lst_c,mean_lst_c
Houston,654,654,0,0,48.531293320761506,48.245527949315424
Phoenix,373,373,0,0,57.21703991853516,56.8081095270118
