city,slug,is_active,merged_candidate_gpkg,boundary_file,tract_geometry_file,lst_table_file,hi_table_file,population_file,geoid_col,lst_col_source,hi_col_source,pop_col_source,target_output_gpkg,target_boundary_file,notes
Miami,miami,False,,,,,,,GEOID,,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/miami/miami_master_with_lst_hi_fixed.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/miami/miami_boundary_heat_ready.geojson,Fill paths first. Preferred: provide merged_candidate_gpkg. Otherwise provide boundary + tract geometry + LST table + HI table (+ population if needed).
Las Vegas,las_vegas,False,,,,,,,GEOID,,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/las_vegas/las_vegas_master_with_lst_hi_fixed.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/las_vegas/las_vegas_boundary_heat_ready.geojson,Fill paths first. Preferred: provide merged_candidate_gpkg. Otherwise provide boundary + tract geometry + LST table + HI table (+ population if needed).
