city,n_total,n_valid,lst_col,hi_col,geoid_col,pop_col,median_lst_c,median_hi_c
Houston,654,549,lst_c,hi_c,GEOID,total_population,48.352,34.182
Phoenix,373,332,lst_c,hi_c,GEOID,total_population,57.179,33.308
