city,tract_rows,unique_geoids,missing_lst_mean,missing_lst_median,l8_scene_count_after_filter,l9_scene_count_after_filter,merged_scene_count_after_filter
Houston,654,654,0,0,18,18,36
Phoenix,373,373,0,0,15,16,31
