city,n_valid,exact_match_n,exact_match_pct_valid,diag_n,diag_pct_valid,low_low_n,low_low_pct_valid,mid_mid_n,mid_mid_pct_valid,high_high_n,high_high_pct_valid,extreme_discordant_n,extreme_discordant_pct_valid,hi_gt_lst_n,hi_gt_lst_pct_valid,lst_gt_hi_n,lst_gt_hi_pct_valid
Houston,549,231,42.08,231,42.08,86,15.66,76,13.84,69,12.57,95,17.3,138,25.14,180,32.79
Phoenix,332,124,37.35,124,37.35,50,15.06,22,6.63,52,15.66,55,16.57,99,29.82,109,32.83
