city,lst_col_used,city_median_lst,min_anomaly,max_anomaly,p95_abs_anomaly
Houston,lst_summer_median_c,48.531293320761506,-14.59863464804927,4.949788059238514,4.992060651517165
Phoenix,lst_summer_median_c,57.21703991853516,-5.776072650929272,3.249191220013543,3.173306682720049
