city_label,class,n_tracts,area_km2,area_pct,mean_radial_norm,component_count,largest_patch_pct
Atlanta,Both LST and HI hotspot,15,51.26768941479921,8.64638225560803,0.6482056840243265,2,80.07366376487788
Atlanta,HI-only hotspot,72,276.43840814223967,46.621803600137,0.5305036632600231,1,99.9999999999999
Atlanta,LST-only hotspot,41,36.001361188801184,6.071690261717353,0.2893696567425802,1,100.0000000000002
Atlanta,Neither hotspot,95,229.23058053118896,38.66012388253762,0.6387400380796774,2,95.26701117668725
Boston,Both LST and HI hotspot,26,9.914089965418071,3.6792098835174154,0.4387798550223611,2,97.71885533098721
Boston,HI-only hotspot,91,69.78759381940164,25.898817321899685,0.7265798847561191,4,95.01256863177873
Boston,LST-only hotspot,22,9.391478496094097,3.4852639651443376,0.578221445707203,5,48.442812350086754
Boston,Neither hotspot,52,180.3693114374911,66.93670882943856,0.30126080432345465,2,99.82675128012623
Chicago,Both LST and HI hotspot,161,155.36138217803813,6.102989122655931,0.6780847073801515,6,63.2193948610406
Chicago,HI-only hotspot,153,278.29660254092073,10.932196369320353,0.7817262410489756,6,55.36673800849461
Chicago,LST-only hotspot,57,25.478502253026342,1.0008601875953518,0.520057307796542,4,76.27711658825524
Chicago,Neither hotspot,501,2086.5239927640023,81.96395432042836,0.2871461670984351,1,100.00000000000004
Dallas,Both LST and HI hotspot,56,106.01569998927992,5.703896177004539,0.3205410374094936,3,83.68624809730603
Dallas,HI-only hotspot,84,601.8334770257533,32.3800688874163,0.4501959338917885,7,71.62984736276684
Dallas,LST-only hotspot,57,104.91057676129992,5.644437925483007,0.4191193561264927,6,33.99964186227773
Dallas,Neither hotspot,252,1045.8943433421591,56.27159701009615,0.5096357955365698,5,61.41761630549952
Houston,Both LST and HI hotspot,51,43.97577635385282,2.9870044189223606,0.396159480794319,17,33.49965423027458
Houston,HI-only hotspot,89,230.5890375881026,15.662497205018006,0.5604401542451685,12,35.62505433723128
Houston,LST-only hotspot,87,134.99739381647478,9.169543901354766,0.36063063484756386,40,10.939497974692365
Houston,Neither hotspot,322,1062.6745279916372,72.18095447470488,0.4623560651581417,18,70.81055046666823
Las Vegas,Both LST and HI hotspot,74,408.78296355080715,1.9659418226937508,0.3248444260073353,4,76.91442620291457
Las Vegas,HI-only hotspot,41,2622.036936204488,12.610046242525245,0.28749878466646156,6,96.83349629199918
Las Vegas,LST-only hotspot,41,1022.124825035771,4.915659703860443,0.4056795102801825,9,56.82342497942749
Las Vegas,Neither hotspot,302,16740.29334726384,80.50835223092056,0.4677895556462475,3,99.8569133981747
Los Angeles,Both LST and HI hotspot,78,74.20328800346049,6.112241867414987,0.2415184268158446,1,100.00000000000003
Los Angeles,HI-only hotspot,280,215.72151298373436,17.769321263766592,0.30623847819354777,3,79.17474628328046
Los Angeles,LST-only hotspot,192,163.69577487012134,13.483879159551973,0.38517072647330197,3,77.96519400120843
Los Angeles,Neither hotspot,530,760.3904141044218,62.63455770926647,0.3841838548320009,6,84.74497135655145
Miami,Both LST and HI hotspot,29,22.363788894929286,19.16081824298124,0.28243412643939986,2,73.32610945342945
Miami,HI-only hotspot,65,63.814080175353574,54.67454541480765,0.43961363396819264,1,100.00000000000003
Miami,LST-only hotspot,3,2.003991455071264,1.7169772175686333,0.3478262757682735,1,100.00000000000007
Miami,Neither hotspot,28,28.534391418225173,24.44765912464248,0.6560042475327843,2,89.11745073238501
New York,Both LST and HI hotspot,121,24.777949682017834,2.348527888375678,0.2204006441647752,2,93.26403776326369
New York,HI-only hotspot,408,433.11286926895565,41.0517280625019,0.5358466422013297,2,99.86376364276028
New York,LST-only hotspot,401,139.0131996126659,13.176085202062357,0.40680714717382355,6,80.91708898961778
New York,Neither hotspot,1158,458.1377292759023,43.42365884706007,0.43931219632032187,4,95.5619849353242
Phoenix,Both LST and HI hotspot,36,57.37068048517548,3.975018562835645,0.5369242716857338,10,56.58753523709834
Phoenix,HI-only hotspot,61,297.31643393372246,20.600040542102864,0.7212192298101242,5,49.655634542363494
Phoenix,LST-only hotspot,47,522.2326850406383,36.183719621252266,0.703570671007402,11,56.3243548287784
Phoenix,Neither hotspot,188,566.361019944969,39.241221273809245,0.3230797758402359,5,93.1195657162735
San Francisco,Both LST and HI hotspot,50,19.12900918355,0.9364856421952465,0.23401962602858425,1,100.00000000000003
San Francisco,HI-only hotspot,100,1083.1408525059971,53.02657587300824,0.7674284208103359,3,51.36895112595703
San Francisco,Neither hotspot,38,940.3678811282776,46.03693848479649,0.5233804745442493,3,59.199876190383414
Seattle,Both LST and HI hotspot,6,7.774094525749571,0.8768409069281754,0.5438852443258394,3,61.470971517171634
Seattle,HI-only hotspot,62,325.0951407048389,36.66751376245825,0.4033226175245719,1,100.00000000000004
Seattle,LST-only hotspot,41,72.29452993762789,8.154107335136072,0.6734723044021818,5,71.015717954941
Seattle,Neither hotspot,79,481.43886300802234,54.30153799547749,0.5127689037785889,2,58.2888918064083
