removed_city,n_cities_remaining,coastal_mean_gap_without_city,noncoastal_mean_gap_without_city,difference_without_city,still_positive
San Francisco,11,17.623927188577905,7.028150020447835,10.59577716813007,True
Miami,11,18.22250874886159,7.028150020447835,11.194358728413754,True
Boston,11,20.468233007151294,7.028150020447835,13.440082986703459,True
Las Vegas,11,22.705007499024223,8.785187525559794,13.91981997346443,True
Phoenix,11,22.705007499024223,7.730970658089914,14.974036840934309,True
Dallas,11,22.705007499024223,7.281846768321486,15.423160730702737,True
Chicago,11,22.705007499024223,6.032893947578142,16.67211355144608,True
Atlanta,11,22.705007499024223,5.309851202689838,17.395156296334385,True
Seattle,11,24.627473287868686,7.028150020447835,17.59932326742085,True
Los Angeles,11,25.131150724170237,7.028150020447835,18.1030007037224,True
Houston,11,26.428458961369177,7.028150020447835,19.40030894092134,True
New York,11,26.43330057517066,7.028150020447835,19.405150554722823,True
