broad_context,n_cities,cities,mean_gap,median_gap,mean_hi_only,mean_lst_only,mean_both,mean_total_detected_hotspot,mean_mismatch,mean_corr,mean_ready
Coastal / water-influenced,7,"Houston, Los Angeles, Miami, Boston, New York, Seattle, San Francisco",22.70500749902422,11.170212765957444,35.35594869928658,12.650941200262357,12.70095119331836,60.7078410928673,48.00688989954894,0.16732675924123447,91.67289441981316
Great Lakes,1,Chicago,11.009174311926609,11.009174311926609,17.545871559633028,6.536697247706422,18.46330275229358,42.54587155963303,24.08256880733945,0.631142924321808,100.0
Inland Sun Belt,2,"Atlanta, Dallas",9.957354160216525,9.957354160216525,25.497618025108114,15.540263864891589,9.599308877725289,50.63719076772499,41.0378818899997,-0.0799030751608101,100.0
Inland desert,2,"Phoenix, Las Vegas",2.1084337349397577,2.1084337349397577,13.6627295207029,11.554295785763141,13.500289367075288,38.717314673541324,25.21702530646604,0.5207430355994408,100.0
