GEOID,city,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag,lst_z_city,hi_z_city,hi_minus_lst_z,lst_rank3,hi_rank3,bivar_lst_hi,_ae_rowid,city_slug,city_label,alphaearth_year,alphaearth_collection,source_vector_path,source_vector_layer,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
32003002954,las_vegas,47.63033681765392,30.68612509371,-16.94421172394392,False,False,Neither hotspot,False,0.4737832128827203,-0.3579773999890631,-0.8317606128717834,High LST,Low HI,High LST / Low HI,0,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.1704002077097021,-0.17427467782778663,0.13624720907302038,0.0545320288197408,0.011713617319096307,-0.13989558587985587,-0.04068188298780406,-0.12313438366518535,-0.2856599094214032,-0.03144521260557561,0.11816401139519507,0.0947477773099426,-0.12451636454589839,-0.18283423704892557,-0.06461328926207893,-0.08100671752135417,0.19625077840894867,0.0953066620545974,0.17803613912785465,-0.04309265327920464,-0.02310063990173324,-0.07875145174396826,-0.16188994328524925,-0.10984948583725568,-0.1399674910731184,0.18291358105759956,-0.10047896992855736,0.027942292120852415,0.10832139804242229,0.09682432800110197,0.06217485249444839,-0.1290490906482395,0.0038976212398952183,-0.20489039184321217,0.09706706906630727,0.013326542481757405,-0.172661731194111,-0.022265895051411164,-0.2221165372585166,0.00766598494460005,-0.008648564700374596,-0.14283609304093658,0.03273849532614174,-0.04477888678620623,0.14199116791146107,0.15719091297120974,-0.0781548630869441,0.093159154237012,0.09114726071190614,0.005504133476289674,-0.0200326198469642,0.09005727643759089,-0.12615246993775883,-0.058842418754858544,0.12938694482541713,-0.024643724167423893,0.04553082645974589,-0.01727607457920434,0.012310252584428007,-0.13823196700287027,0.10039831819328342,-0.026715336160557566,-0.24557235465862837,0.07155816097560694
32003004709,las_vegas,48.71075348075352,32.08101575859078,-16.629737722162737,True,True,Both LST and HI hotspot,False,1.289647796824772,0.8586085896011912,-0.4310392072235807,High LST,High HI,High LST / High HI,1,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.16353687147174173,-0.14289033846665916,0.1447992078091351,0.06695596789813389,-0.005632965931699427,-0.11271041984715771,-0.015448392443247133,-0.07665034136357811,-0.28869201101712844,-0.08540472131707334,0.12437984290960759,0.05601102475697648,-0.14822807852928022,-0.12821790071542824,-0.0233076855173782,-0.08275185528377314,0.11819433301408705,0.07531273053752421,0.1966055489553001,-0.018552955399593223,-0.02624715590968759,-0.0935381654379758,-0.1790179543971941,-0.15327934935929863,-0.16751917311597522,0.19453669987144434,-0.06768580453860482,-0.040376509636020186,0.11412885215595453,0.12322771619227958,0.06782645561824666,-0.14123661638602064,-0.008806639619173745,-0.17697116559230255,0.05831769849098615,0.09430508504260286,-0.1383032307887525,-0.019282110882887903,-0.2591636676550715,-0.009158139045995677,0.024249926691210358,-0.13237178233541835,0.06257612508185965,-0.06518538579666201,0.11656010491561364,0.15220360109542233,-0.04174929570829219,0.10702446657710353,0.04957401205556678,-0.022490105245435387,-0.014830876522905774,0.03637652417192765,-0.11003000007655657,-0.07185363561244834,0.11498875472492374,0.03557206588562351,-0.0012680269956897813,-0.002996765529017768,-0.018086034960869638,-0.0972004618455097,0.10446354387548638,-0.02494898618212499,-0.20366450171642375,0.0959910279855435
32003002915,las_vegas,45.333606434717574,30.68612509371,-14.647481341007573,False,False,Neither hotspot,True,-1.2605671005654657,-0.3579773999890631,0.9025897005764026,Low LST,Low HI,Low LST / Low HI,2,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.17252345864653199,-0.14801426678098878,0.16972258924308195,0.0698714427202973,0.02540431473548364,-0.08843278794899542,-0.012098762118542343,-0.06742105852872918,-0.30560023349892945,-0.1334276958519954,0.10432916382585118,0.0710883286457525,-0.1426978137925827,-0.11544058620490767,-0.03453756072325703,-0.06276815494827169,0.11249379656182297,0.10133047479732919,0.2213333067879563,-0.03298841489150137,-0.010186114929715995,-0.12178280400088087,-0.10985481423495458,-0.13898543656237788,-0.13887701668422192,0.23610411362735093,-0.08219886531370359,-0.04414101882604062,0.11061553972012467,0.11896220783786961,0.033758353426173456,-0.13277409667709406,-0.043859127586840706,-0.17139704427652713,0.11172271078100345,0.06621816421019193,-0.11616193804148553,-0.05734479557904526,-0.2685285135711664,-0.004643920425603274,-7.601066215122706e-05,-0.14884376401655988,0.07201293378619521,-0.06457361112751135,0.11623102113164359,0.17438373554640765,-0.06162580889967624,0.11550525087496341,0.0779218437466344,-0.04935868075090523,-0.02936251722203028,0.016336651627474927,-0.1067318097300913,-0.015771890211942818,0.11892231676496202,-0.004455523970322322,0.014383239612872885,-0.015497148999176582,-0.0579802019115133,-0.09239897880115279,0.13002546538363097,-0.006157040447373878,-0.1822023076683163,0.06228198852905936
32003002916,las_vegas,46.128563790560506,30.68612509371,-15.442438696850505,False,False,Neither hotspot,False,-0.6602639263106658,-0.3579773999890631,0.3022865263216027,Low LST,Low HI,Low LST / Low HI,3,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.17375765525349474,-0.15533059600287266,0.1404637621207124,0.07012099099231257,0.01571375865311297,-0.09447870830438992,-0.018285658119224085,-0.06707700834279619,-0.30757145280319514,-0.12508139485464087,0.10699409885035406,0.06612507807913166,-0.15046746665747288,-0.12925581067966477,-0.02323695417568648,-0.0562273975719317,0.12226683129401854,0.09237394217364993,0.22198952271876754,-0.01708587593671825,-0.017468153976996276,-0.11669872611741908,-0.1344365088642308,-0.14314149325635872,-0.13794087362776786,0.23041201813954784,-0.07570972144376881,-0.039575794802583615,0.10260763979814978,0.12481846958206928,0.02999351763643131,-0.1417433615079393,-0.04078646086925736,-0.1615940578469273,0.0950632824458711,0.0765127591863016,-0.11073201008549102,-0.04913096223735209,-0.26799019972798294,-0.0027325736799123906,0.009907131351545032,-0.13770145295900107,0.07592085565095752,-0.04593419654684676,0.11834112787840004,0.16088510302244505,-0.05963317923343413,0.11507702134000755,0.06604513904662879,-0.04520765099361565,-0.029990942747383856,0.011882049324976334,-0.10401350083556185,-0.03943601970829055,0.12022994433072114,0.01525719896368434,0.015430199751340891,-0.00595288655827514,-0.047210081744821185,-0.09335277136328748,0.12903991114131994,-0.00841595745582237,-0.191671574048391,0.0811579304630753
32003002919,las_vegas,46.16793430068524,30.68612509371,-15.481809206975239,False,False,Neither hotspot,False,-0.6305337250285509,-0.3579773999890631,0.2725563250394878,Low LST,Low HI,Low LST / Low HI,4,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.16276946913142093,-0.10322367500016254,0.15158869271920675,0.05884878339291868,0.007883629066813008,-0.09334487744564254,0.012598267871540383,-0.0628901228520946,-0.2985956493868326,-0.11008712535556604,0.1188272777718184,0.058084012735091464,-0.1601299296489387,-0.114320559540575,0.0022442962541380624,-0.07608844909952153,0.1227627730888955,0.09344325915162961,0.22050907956196658,-0.02624379110976155,-0.007719634723700473,-0.12076347817462976,-0.15613602544825214,-0.1380019781962336,-0.14480605194741913,0.1893982712737697,-0.0941522372913781,-0.05434046761381492,0.11329569521601927,0.12621939797864754,0.06216417188540515,-0.11304865599090409,-0.01896075266773703,-0.16624779131324846,0.052063608193201806,0.07347237526319345,-0.12333678060967157,-0.02269610097215806,-0.27723095928061875,0.002986198767850626,0.05405927414969808,-0.13366365408046185,0.06027990293049772,-0.07348844917270671,0.11296320934812978,0.16738061673624585,-0.03502181179147079,0.10618646982495576,0.04221197134833191,-0.0321033948975053,-0.04505161826381991,0.037813829261964714,-0.08702022756068183,-0.06710718083020273,0.11851185133570102,0.03986807898753187,-0.0032040570453768236,-0.02295997887970362,-0.014584573288631471,-0.10199636194278121,0.10050895863641376,-0.02933735062956999,-0.1688945061195149,0.06851171835156257
32003002935,las_vegas,47.2018959731544,30.68612509371,-16.5157708794444,False,False,Neither hotspot,False,0.1502508912517659,-0.3579773999890631,-0.508228291240829,Mid LST,Low HI,Mid LST / Low HI,5,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.17590636716501906,-0.1378557855347377,0.15677752405857018,0.06202281284048267,0.0255830710120206,-0.09952605288093345,-0.027278533106406773,-0.08815775168955961,-0.29769910371688674,-0.10237814198564946,0.10831297532793639,0.07630393167700238,-0.1535167254544656,-0.14426373215378233,-0.04207626929496934,-0.07123433243696783,0.15067040079538738,0.11096708798984943,0.2008206719017472,-0.02829973735850003,-0.027347144351865173,-0.09433108214408197,-0.13517904294091843,-0.12277936475328462,-0.13313520630451653,0.23101055482620464,-0.10529973567049412,-0.0359229051764021,0.13500677012227094,0.12724316816729192,0.04952377908024899,-0.12451933907196464,-0.026119434979278978,-0.2051350607324288,0.1105618602595491,0.05738512809214328,-0.12602472655027336,-0.04847158377008482,-0.2412404732963728,0.005989764431635571,-0.00306456985098464,-0.1687946215500596,0.06852444428070989,-0.05391060865011768,0.13893645212997055,0.1648920297106126,-0.07202438883060765,0.12030439965535822,0.0762029736681132,-0.03607265555696446,-0.02501254723288085,0.03771257847512674,-0.09866149047833923,-0.03453981295730672,0.12201720906497615,-0.00011453544634155432,0.030800855619326904,-0.03064046997665564,-0.032591722457094734,-0.11557789642163915,0.1321102703339002,0.004957228563615578,-0.18780226204780956,0.07077324147127889
32003002206,las_vegas,47.69081680830976,31.392363162761036,-16.298453645548726,False,False,Neither hotspot,False,0.5194540027719535,0.2579843823605234,-0.2614696204114301,High LST,Mid HI,High LST / Mid HI,6,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.16053910242931974,-0.21102337603839066,0.1354594298490106,0.06491163619871852,0.012486151669262681,-0.15332492454770957,-0.030948520097574757,-0.12378100222771811,-0.25276782038478224,-0.048623727509154197,0.11496758649896838,0.07603585000263019,-0.10075305888768256,-0.171436614888808,-0.09520908536562367,-0.10381568761597798,0.16913497575390665,0.07346834895975872,0.13498137085590703,-0.05239444510951397,-0.03853278561149559,-0.05577953016380639,-0.1534335102162253,-0.1283879427411287,-0.15080706891000048,0.17497485751638564,-0.0652442794314693,0.039428040409838834,0.09065398234930971,0.11470340622029554,0.07209910647410193,-0.16480012850777975,0.018248824283740157,-0.20637574827340796,0.09958219208849436,0.03131524700199854,-0.17435321861044586,-0.05078177283815107,-0.2018316172857169,0.009769367549045593,-0.03649030080463743,-0.13957983515195876,0.03887763396439624,-0.06378470007123499,0.12717187531990765,0.14887229908777175,-0.08124274394450297,0.09932799076817239,0.07943401234150751,-0.00872538088554727,-0.01315162222221559,0.10208431022045056,-0.15700665703281638,-0.049732683046052974,0.12205070034843851,-0.039447217198711214,0.03111336017409209,-0.027912967408635483,0.004445552356331362,-0.13453955699968637,0.11531342652767178,-0.02414061863818604,-0.2327707386800146,0.09916585660328661
32003005013,las_vegas,47.55249260355033,32.08101575859078,-15.471476844959547,False,True,HI-only hotspot,True,0.4150000234697403,0.8586085896011912,0.44360856613145094,Mid LST,High HI,Mid LST / High HI,7,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.14862993255479934,-0.09792806310305285,0.14765738522823102,0.05055910294929257,-0.027378588368543507,-0.08490421895099115,-0.014497697274656298,-0.03848254748702492,-0.3126991027425444,-0.06497374250210587,0.14545691605789512,0.04633807763922142,-0.1817205237135331,-0.09528925083533575,0.020981423453588666,-0.0760427801472346,0.08147874763547619,0.05702433231474611,0.21763813140810806,-0.03369021804980376,-0.017689905447419246,-0.13099116287575902,-0.17774679002819643,-0.13838660755803867,-0.17483288590449783,0.16141127649358308,-0.08883300791953323,-0.07014495545175098,0.11023452102936315,0.12475516548067747,0.06738134250723789,-0.13413304565563708,0.031433187719665856,-0.18789049388935328,-0.007267506203857079,0.1078980234756844,-0.10659588556393729,0.030837354504415958,-0.26751437212483187,-0.04382849378276567,0.07495337759402082,-0.13094463395667064,0.0607152440601962,-0.09506802914969885,0.06811430752666299,0.15884544561248373,-0.02018343948671349,0.08961260414193135,0.029441161901960496,-0.020408774299497744,-0.05306800235712079,0.039400080817742426,-0.04503479221212978,-0.10275911350401078,0.1010485514049963,0.043149553679808245,-0.021409106354717482,-0.007881714021793586,-0.01160993905537775,-0.07871063540674436,0.09323392119200075,-0.05466379017925365,-0.15678803337556102,0.0708503457051541
32003002996,las_vegas,47.68831262939961,31.627775852444717,-16.060536776954894,False,False,Neither hotspot,False,0.5175630000186405,0.46330497647705426,-0.054258023541586264,High LST,Mid HI,High LST / Mid HI,8,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.18294072106379647,-0.21525599665929734,0.1380634286057226,0.056126118813887405,0.022486241625844377,-0.13478142800207205,-0.056892989854902536,-0.10804194826100003,-0.26338665211631457,-0.05843344262772375,0.12393334001838614,0.08343695039127062,-0.1279217039771929,-0.17308243976324,-0.06466638102364396,-0.0910618019458066,0.18638550718111277,0.09554625510204898,0.15509822663955147,-0.0378877608284375,-0.020828060717745026,-0.08279278850112283,-0.13411957321716117,-0.11565458533636923,-0.13040853536912014,0.20797234061920772,-0.08572998921363782,0.023846872915258742,0.1150023815224997,0.10786588623613536,0.04313231793795933,-0.1519400552137235,-0.003796459069436988,-0.19802403455534182,0.11425945135485563,0.020337654516116188,-0.17818909523459586,-0.029636890050972926,-0.20904014474482613,-0.00064997108727261,-0.039496910692552185,-0.15090247684948568,0.03977759649443626,-0.03325223896486303,0.1297563121456592,0.14320432883208045,-0.09457315013835196,0.11419894008328961,0.09554231183701563,-0.004152163721054013,-0.011274666718823167,0.07699792925701475,-0.1294329461336421,-0.03410182128976388,0.12957445939785947,-0.05131521079235978,0.04929670765970173,-0.020559730874577974,-0.019546061580044835,-0.11037267080480502,0.1355033901597646,-0.007229403738104171,-0.2415633408317681,0.07047818382757252
32003002207,las_vegas,47.43020325203257,30.68612509371,-16.74407815832257,False,False,Neither hotspot,False,0.32265458461808033,-0.3579773999890631,-0.6806319846071434,Mid LST,Low HI,Mid LST / Low HI,9,las_vegas,Las Vegas,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,0.16973066837056672,-0.23026640310279375,0.13790463076314535,0.05646073210085244,0.01158803670900556,-0.1276020508085895,-0.05810267212481461,-0.11020293265960483,-0.2439081815168007,-0.09315359840372929,0.12897283521183425,0.07541468747676518,-0.11599781850695755,-0.16727927614902655,-0.05253667595106138,-0.06421870678684696,0.14325616443172773,0.08354241710967394,0.15385251406535944,-0.041592869171531786,-0.0415214724292916,-0.07126540825769523,-0.14177217171201437,-0.12539411463501113,-0.14472991601991467,0.19962706059242838,-0.063271532035278,0.0009951526397927314,0.12166033645830739,0.1184478683271573,0.033376248417849384,-0.17154615062507284,-0.024703223520754047,-0.17034199922212256,0.09240793991468141,0.05726654563525192,-0.1460652888689593,-0.059874943431084536,-0.22069755985762907,0.017609279445241405,-0.05327169740763399,-0.14969522787003345,0.05263736186697225,-0.03730819559952837,0.13455929102314135,0.12475322851019165,-0.0845910131970101,0.1153331873664403,0.08479234114079784,-0.015784415964785754,0.006926413415029063,0.04122960006711025,-0.14106221595562904,-0.02383171941525582,0.10120400204847509,-0.03582259183464715,0.03152384351602216,-0.022836423934910192,-0.04019834156990028,-0.10110690454712765,0.13049485613930822,0.0069137695727375026,-0.23137264834695156,0.09916013297000227
