city,city_name,state_fips,state_name,n_tracts,missing_acs_rows,acs_year_used,mean_population,mean_poverty_rate,processed_path,intake_path,csv_path
los_angeles,Los Angeles,06,California,1108,1108,missing,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/los_angeles/los_angeles_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_tracts_boundary_acs.csv
miami,Miami,12,Florida,129,129,missing,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_tracts_boundary_acs.csv
new_york,New York,36,New York,2327,2327,missing,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/new_york/new_york_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/new_york/working/new_york_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/new_york/working/new_york_tracts_boundary_acs.csv
boston,Boston,25,Massachusetts,207,207,missing,,,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.gpkg,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/boston/working/boston_tracts_boundary_acs.csv
