STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
12,086,006605,12086006605,1400000US12086006605,66.05,Census Tract 66.05,G5020,S,151691,6665,+25.7667448,-080.1982913,miami,Miami,,,,,,,,,,0.15825506893857239
12,086,003605,12086003605,1400000US12086003605,36.05,Census Tract 36.05,G5020,S,297472,22726,+25.7705118,-080.2017709,miami,Miami,,,,,,,,,,0.31999424962217815
12,086,007004,12086007004,1400000US12086007004,70.04,Census Tract 70.04,G5020,S,628570,0,+25.7465453,-080.2503744,miami,Miami,,,,,,,,,,0.6281543354449117
12,086,007003,12086007003,1400000US12086007003,70.03,Census Tract 70.03,G5020,S,626457,0,+25.7467740,-080.2421761,miami,Miami,,,,,,,,,,0.6260455994594917
12,086,005803,12086005803,1400000US12086005803,58.03,Census Tract 58.03,G5020,S,1124744,0,+25.7667428,-080.2970519,miami,Miami,,,,,,,,,,1.123985982389524
12,086,005806,12086005806,1400000US12086005806,58.06,Census Tract 58.06,G5020,S,841905,0,+25.7675801,-080.2851665,miami,Miami,,,,,,,,,,0.841337480010283
12,086,003005,12086003005,1400000US12086003005,30.05,Census Tract 30.05,G5020,S,347842,29264,+25.7927088,-080.2341783,miami,Miami,,,,,,,,,,0.37685883309306495
12,086,002502,12086002502,1400000US12086002502,25.02,Census Tract 25.02,G5020,S,1038666,4860,+25.8085148,-080.2123821,miami,Miami,,,,,,,,,,1.0428580944134365
12,086,002404,12086002404,1400000US12086002404,24.04,Census Tract 24.04,G5020,S,920681,0,+25.8070824,-080.2278805,miami,Miami,,,,,,,,,,0.9200799581421227
12,086,002403,12086002403,1400000US12086002403,24.03,Census Tract 24.03,G5020,S,942364,0,+25.8069448,-080.2361103,miami,Miami,,,,,,,,,,0.9417462115597718
12,086,005102,12086005102,1400000US12086005102,51.02,Census Tract 51.02,G5020,S,984656,102468,+25.7828973,-080.2233473,miami,Miami,,,,,,,,,,1.0864201791291648
12,086,005104,12086005104,1400000US12086005104,51.04,Census Tract 51.04,G5020,S,626661,51535,+25.7861359,-080.2372417,miami,Miami,,,,,,,,,,0.6777518722966599
12,086,005409,12086005409,1400000US12086005409,54.09,Census Tract 54.09,G5020,S,329227,0,+25.7708935,-080.2267827,miami,Miami,,,,,,,,,,0.3290131768579798
12,086,002705,12086002705,1400000US12086002705,27.05,Census Tract 27.05,G5020,S,363002,1562484,+25.8103483,-080.1669930,miami,Miami,,,,,,,,,,1.9242714163000174
12,086,005303,12086005303,1400000US12086005303,53.03,Census Tract 53.03,G5020,S,350634,0,+25.7714427,-080.2186539,miami,Miami,,,,,,,,,,0.35040913431760473
12,086,003706,12086003706,1400000US12086003706,37.06,Census Tract 37.06,G5020,S,245610,0,+25.7776268,-080.1943527,miami,Miami,,,,,,,,,,0.24545583300130305
12,086,003707,12086003707,1400000US12086003707,37.07,Census Tract 37.07,G5020,S,169150,0,+25.7780193,-080.1900766,miami,Miami,,,,,,,,,,0.1690409850015109
12,086,006705,12086006705,1400000US12086006705,67.05,Census Tract 67.05,G5020,S,190011,19098,+25.7557278,-080.1947055,miami,Miami,,,,,,,,,,0.20897338531844908
12,086,005403,12086005403,1400000US12086005403,54.03,Census Tract 54.03,G5020,S,264708,0,+25.7760853,-080.2375553,miami,Miami,,,,,,,,,,0.26453281299629977
12,086,005407,12086005407,1400000US12086005407,54.07,Census Tract 54.07,G5020,S,649958,0,+25.7688777,-080.2348968,miami,Miami,,,,,,,,,,0.6495333142899926
12,086,006503,12086006503,1400000US12086006503,65.03,Census Tract 65.03,G5020,S,672431,0,+25.7544491,-080.2262173,miami,Miami,,,,,,,,,,0.6719906139795893
12,086,006501,12086006501,1400000US12086006501,65.01,Census Tract 65.01,G5020,S,677389,0,+25.7542119,-080.2343319,miami,Miami,,,,,,,,,,0.6769446710345243
12,086,981000,12086981000,1400000US12086981000,9810,Census Tract 9810,G5020,S,2462945,3851012,+25.7750790,-080.1670917,miami,Miami,,,,,,,,,,6.3099838221576015
12,086,005410,12086005410,1400000US12086005410,54.10,Census Tract 54.10,G5020,S,323419,0,+25.7672995,-080.2266694,miami,Miami,,,,,,,,,,0.32320555997497924
12,086,005805,12086005805,1400000US12086005805,58.05,Census Tract 58.05,G5020,S,663859,0,+25.7676529,-080.2756890,miami,Miami,,,,,,,,,,0.6634134980926789
12,086,003603,12086003603,1400000US12086003603,36.03,Census Tract 36.03,G5020,S,185405,29452,+25.7752645,-080.2052874,miami,Miami,,,,,,,,,,0.21471887387151897
12,086,007300,12086007300,1400000US12086007300,73,Census Tract 73,G5020,S,2895795,1346978,+25.7167841,-080.2496502,miami,Miami,,,,,,,,,,4.239968865016918
12,086,006801,12086006801,1400000US12086006801,68.01,Census Tract 68.01,G5020,S,1181578,0,+25.7347305,-080.2340739,miami,Miami,,,,,,,,,,1.1808079082314868
12,086,006713,12086006713,1400000US12086006713,67.13,Census Tract 67.13,G5020,S,96462,0,+25.7613362,-080.1903114,miami,Miami,,,,,,,,,,0.0963995325400979
12,086,006706,12086006706,1400000US12086006706,67.06,Census Tract 67.06,G5020,S,268386,1694539,+25.7459487,-080.1945364,miami,Miami,,,,,,,,,,1.9616741322111568
12,086,006802,12086006802,1400000US12086006802,68.02,Census Tract 68.02,G5020,S,2315577,4899824,+25.7448743,-080.2103392,miami,Miami,,,,,,,,,,7.210740247069579
12,086,004904,12086004904,1400000US12086004904,49.04,Census Tract 49.04,G5020,S,649557,0,+25.7752957,-080.2597052,miami,Miami,,,,,,,,,,0.6491251307913236
12,086,004903,12086004903,1400000US12086004903,49.03,Census Tract 49.03,G5020,S,632759,0,+25.7751326,-080.2678514,miami,Miami,,,,,,,,,,0.6323360693268567
12,086,005505,12086005505,1400000US12086005505,55.05,Census Tract 55.05,G5020,S,516354,0,+25.7754830,-080.2523209,miami,Miami,,,,,,,,,,0.5160122929055243
12,086,005705,12086005705,1400000US12086005705,57.05,Census Tract 57.05,G5020,S,217687,94827,+25.7807415,-080.2733215,miami,Miami,,,,,,,,,,0.3123054830883944
