GEOID,city,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,poverty_rate,median_household_income_clean,low_income_flag,high_poverty_flag,inequity_group,lst_c,hi_c,compare_group,lst_hotspot,hi_hotspot,hi_minus_lst,hi_minus_lst_z,hi_minus_lst_z_pooled
13067030355,atlanta,-0.0335556925422663,-0.2930947297361547,0.0009209213876182,0.1175442277494803,0.0633547824475533,-0.1518424232492181,-0.0952999851898859,-0.1032147562431521,-0.044500019869118,-0.1039690847367501,0.047657104577997,-0.0459660899024586,-0.2402556197435865,-0.1397065242913172,-0.0901659401807814,-0.0165303221757509,0.0078156799460356,0.1343124011217698,-0.0983263579428878,0.0191305241234475,0.0027533021050145,-0.0273219006171878,-0.1320891288935468,0.0048770650292787,-0.0976566667842838,0.1824092044653679,-0.0372458251223559,0.0005433893200074,-0.0059424459058166,0.0205495795727305,-0.0159281560638665,-0.0349537954419135,-0.0403744488477498,-0.0317663729377068,-0.0119086213892443,-0.1108925065609426,-0.174197091175762,-0.1317138473909855,0.0385747285198861,0.1145445461736851,-0.1183278065563571,-0.0103635128787963,0.1316480592257556,0.0180017523993357,0.1000196020987566,0.1229300446399271,-0.0256220799324757,0.0204082721379853,0.170273515229971,-0.1315253982582728,-0.0422238206224693,0.1127559855324748,-0.1851119191894374,0.1417180104842894,0.1943125165346504,-0.0841599306958409,0.0300558902942316,0.138654380193382,0.0620693628088843,-0.0551262331008374,0.0308809360312581,-0.1528045592054001,-0.1296600965709201,0.0069453421821799,,,,,unknown,34.04827248140637,25.537765305343058,Neither hotspot,False,False,-8.510507176063314,-0.5248107320480563,0.760354248563963
13067031316,atlanta,-0.0808950673018672,-0.1954212088390871,-0.0445832616727504,0.1375917235796748,0.026737949453435,-0.1251472357747136,-0.0636253086730498,-0.0434745542007636,-0.0048344243098396,-0.1175591175612915,0.0179927156039298,-0.0629092241206228,-0.2580124698626593,-0.1073735459073486,-0.0681958003566069,0.0277344581915431,-0.0705806236329372,0.0878490950347594,-0.0959245007260624,0.0134657513824755,-0.0202137386589816,0.0347346377285332,-0.1109733260752378,0.0431064100637183,-0.039062442866277,0.1955207592919633,-0.115848021153357,-0.0305766213991377,0.0196222033587014,0.0616918466385878,-0.0293734174536201,-0.0025174074626656,-0.0611529162357129,-0.002893223532528,-0.0261307508219683,-0.133093300027755,-0.2054500308040566,-0.1651313223971574,0.0443535496404822,-0.0221231561943012,-0.1452631795713832,0.0292672375599555,0.1876099849658536,0.0510396345193148,0.0996844914127894,0.1407726747642667,0.013094999752788,-0.0456839530400398,0.2278683355475606,-0.1714271794987843,-0.1194682849813601,0.0579444620171337,-0.1188722739842515,0.160054187779832,0.1609783943271454,-0.0104051880715994,-0.0160810221948533,0.135208102599307,0.0841784743097641,-0.0538221917128806,0.0211184591732111,-0.1849457214364266,-0.0640346733883627,-0.017210861644038,,,,,unknown,31.121907343519,25.682377566159506,HI only hotspot,False,True,-5.439529777359493,1.1285734301021455,1.3912330955840226
13067030356,atlanta,-0.0875481385677337,-0.1362968717779413,-0.0500236416143785,0.1105349698895835,0.0309642948610879,-0.1693935051548754,-0.0701475458130466,0.0072386800804296,0.082914759734509,-0.121126098249765,0.0724758305827284,-0.052406399248937,-0.2173798912715807,-0.1315944909238966,-0.08713562969206,0.0558544996465955,-0.0692539490045057,0.0710091860653004,-0.185853165172154,-0.0136381671555186,0.010486784018695,0.0408086031109075,-0.124371194274552,0.0911694415075615,-0.0284607036034151,0.1107326964659917,-0.0979439806173818,-0.0346842522174079,-0.0277948352455084,0.03885365105761,-0.0569727306614804,0.0291902650580419,-0.0518503235459191,-0.0283100396208873,0.0254921624733862,-0.137186874423283,-0.1757384436608692,-0.1790239936496616,0.0615803187216935,-0.0314289570037907,-0.1293208552775133,0.0007711143138621,0.21042451586253,-0.0174757114917941,0.0821284650788314,0.1333015824242961,0.0408694546334312,-0.0572078374958913,0.1937679901418399,-0.1324259521424309,-0.0853003629273108,0.082488643758834,-0.113849332237199,0.1318131855511085,0.1383495558268909,0.0407151542419735,0.0268600456679889,0.1254620315469659,0.0327505658860524,-0.0261202853745273,0.0243089405474934,-0.1755088913164123,-0.0910911601719332,0.0013238868077906,,,,,unknown,33.42424352750811,25.53166412279985,Neither hotspot,False,False,-7.892579404708261,-0.19212447035741803,0.8872967523084357
13067031213,atlanta,-0.0878280982188885,-0.1893939507912272,-0.0514966779622237,0.1461585465942531,0.0381519949882234,-0.137411874816647,-0.0455376336619033,-0.0451719015100804,0.0315345490895014,-0.1338588591529244,0.0385326193333606,-0.0759612133877535,-0.259062594878688,-0.1107738345646679,-0.0619401043981616,0.0580770712299401,-0.0756886990513647,0.1036664377672876,-0.1231017709603015,0.0204015214322247,0.0002000311194006,0.0304253055858638,-0.1102374606067748,0.0816229330800479,-0.0400526102030161,0.171356534367986,-0.0971569458541943,-0.0553735242506246,0.0313706012897008,0.0441813475456005,-0.0539870781717868,0.0132901283884083,-0.0769067326993079,-0.000156075084989,0.0214741949954184,-0.132691297847372,-0.1935056991534357,-0.1636663563039059,0.0303704435662428,-0.0376894884960448,-0.1481141958075328,0.0018542707537229,0.1891003580453102,0.0352270320725249,0.0936062029159881,0.1399561986926759,0.0087439556862687,-0.045791615996355,0.2146058074862318,-0.1510559876695481,-0.1139550207828356,0.0687638563349855,-0.1303768038126122,0.1646891213211956,0.1747007546190115,-0.0195264697151839,0.006756029214115,0.1317283157519986,0.0674662490266239,-0.0548198042366139,0.0082615659181405,-0.1894813814893466,-0.0551026310793533,-0.0245643543871528,,,,,unknown,33.8703912175649,25.681552565429875,HI only hotspot,False,True,-8.188838652135026,-0.351627548365317,0.8264354472026036
13067031314,atlanta,-0.1042481932096481,-0.1868147439721088,-0.0294260431028867,0.132949255080319,0.02441746454135,-0.1206179929778024,-0.0585880198025429,-0.0528188025331542,0.0136598590104584,-0.1344861742928315,0.02143782313713,-0.0806071355083717,-0.2530882709201831,-0.1347713459762874,-0.0793146751515781,0.050335212828384,-0.0751386650167687,0.1021968592426596,-0.1203863102052311,0.0193049440980778,-0.020344121022359,0.0460392856844621,-0.1117452977368252,0.0557352671333686,-0.0442863714900567,0.1782717331567049,-0.1013764487677659,-0.0503640381960983,0.0121418626384569,0.0664307689062509,-0.0443332621237098,-0.0042568901103735,-0.0547074388649555,-0.0090279827766014,-0.0103034586576473,-0.1311627778455903,-0.20352998875722,-0.186130468785178,0.0277896710679221,-0.0358020933127415,-0.1221901304669454,0.0256549262662365,0.1839083070096029,0.0394413252645532,0.1073766326283276,0.1477508047565777,0.0190359377736074,-0.0532478076226654,0.2215974990377446,-0.1596237504936525,-0.1178496544484999,0.0841066203673861,-0.1263479907477664,0.1593460121208155,0.1536840056928614,-0.0081022025907655,-0.0137897648142881,0.131836078732082,0.0885773009931243,-0.035527360049089,0.0141126082561447,-0.1806406021550441,-0.0790086945056612,-0.0222955230435291,,,,,unknown,30.94900025900029,25.682069853077746,HI only hotspot,False,True,-5.266930405922544,1.2214992416862291,1.4266906318376233
13067031214,atlanta,-0.0643055526147067,-0.2689605959746833,0.0054104677646291,0.1149344810576832,0.0399837857035686,-0.1297513884674966,-0.067203564957514,-0.1228800727643017,-0.0630040480791644,-0.1117040008237119,0.0094722109072932,-0.0713020526395306,-0.2563959577151712,-0.1433897330135946,-0.1034976696629265,-0.0226600704082109,-0.0365077475314721,0.1459027229254176,-0.091843816040325,0.0053926072936673,-0.007789286044376,0.0269361748508238,-0.1309659431689831,0.0135096713222573,-0.0967267790934932,0.1806238359166128,-0.0471476266969321,-0.0188590096046933,0.0314535496718455,0.0474636293163074,0.0043853689391976,-0.0297170612919131,-0.0291012226641597,-0.0193939928929919,-0.0235684942361956,-0.1212911586492211,-0.1614803759252586,-0.1340387066734418,0.0251982414710298,0.0548176567293097,-0.1187465780106475,-0.011727697832103,0.1289989894230091,0.0434460815796897,0.1301576598608545,0.1457256888324515,-0.0217160852424862,-0.0098531321822834,0.1993186045180559,-0.1392811700828833,-0.0700377695503734,0.1227880903584719,-0.1814941390149024,0.1345729900034387,0.1727625402276674,-0.0785600471471991,-0.0008236015831864,0.1189384524008462,0.0984536177754653,-0.0499636732372721,0.0144296469958682,-0.16573089864026,-0.1013900702291859,-0.0071050774717413,,,,,unknown,33.86429324169535,25.682069853077746,HI only hotspot,False,True,-8.182223388617604,-0.34806595526053846,0.8277944379338171
13063040308,atlanta,-0.0443014093665453,-0.2435961638048428,0.0188817024755325,0.1210714029300824,0.0100055350630991,-0.0931597920069298,-0.0348220052507611,-0.1315158182604137,-0.0521580617162489,-0.0960704603901483,0.0518274564602448,-0.0637822804865921,-0.2494241474473346,-0.1378453346082175,-0.1057892250901423,-0.0081847630075228,-0.0383354343317486,0.1079172765610487,-0.0563667500709401,-0.0005840295831023,0.0006565845423334,0.054657183708377,-0.127499653793141,-0.0315697088522917,-0.0947919805689131,0.2133806838702814,-0.0532993762696454,-0.0197506762691541,0.0091728369577072,0.0771703024686169,0.0268688552335165,-0.0661517192162181,-0.0443153852967491,-0.016684566132111,-0.0641268833827272,-0.1327110709108618,-0.1768378108013132,-0.1302652946964247,0.0037712916175469,0.0280065265910323,-0.1170592509560629,0.0252024088097209,0.1378282256480906,0.015815484150158,0.1330021653746057,0.147674427255261,-0.0036957679351809,0.0075417663265685,0.2181689924370791,-0.1121222027984579,-0.0869663927948352,0.0829890443541435,-0.1917049951771949,0.1388692285666273,0.1773539031301106,-0.0765033637084048,0.0004144227566869,0.1122098993244271,0.1364002979686076,-0.0643835365668657,0.030654279944275,-0.1512246325826975,-0.1264932977455543,-0.0007025310187739,,,,,unknown,36.180745978301566,25.638466868193408,Both hotspot,True,True,-10.542279110108158,-1.6186968473509245,0.3429620737798234
13063980000,atlanta,-0.0462897576148411,-0.3126413153221679,0.0494809907661074,0.0889289667868867,0.0163253527702086,-0.0541077013088669,-0.0487334313451135,-0.1424922713679849,-0.0834000181395016,-0.0716037620866203,0.0079485220396265,-0.094743203636556,-0.195718844035942,-0.1963661997073751,-0.1218850387394386,-0.0845289736494527,-0.0476962249910396,0.1076656241725111,-0.0715265799344493,-0.0492539641652648,-0.0486998603574046,0.0281962433744502,-0.1686497401623625,-0.0528159136096935,-0.1611664844245207,0.1678894723043333,0.0365786563510723,-0.0220446350264683,-0.0223803954710836,0.0936016833605028,0.0651094308563349,-0.0717263449775235,0.0256181703110616,-0.0734881459749359,-0.0704640538478543,-0.0462925838136363,-0.0854776698307524,-0.1516838359179276,0.0345169571648807,0.1498082716621779,-0.0631522179295389,-0.0134956873794573,0.0991690335878313,-0.0258589486400659,0.1471213662281301,0.0879949186497399,-0.0346833396872128,-0.0023504652760517,0.1429403881221897,-0.1268664792376476,-0.0387961233859566,0.1605459452349506,-0.2529895674967651,0.0982333252310415,0.1439404809446525,-0.0992826363103628,-0.0428360115048914,0.1024628587250175,0.1283917715580336,-0.0187434808134338,-0.0105757371402692,-0.0925483706091273,-0.1263943334277019,0.0788555723797492,,,,,unknown,36.31884381975917,25.650015920535747,Both hotspot,True,True,-10.66882789922342,-1.6868294763148404,0.31696482801613984
13121011100,atlanta,-0.0459548272213035,-0.2377254353108097,-0.0007658205824248,0.1208238809335584,0.028192951614367,-0.1105790430280828,-0.0522891617432269,-0.1167663643142381,-0.0273427747079041,-0.1287810445629336,0.038684000951932,-0.0481913448677836,-0.2646457494139012,-0.1394578389091007,-0.0821482955980897,0.0358776434742297,-0.0289428707390667,0.136457343550655,-0.0394616621117542,0.0049358846266168,0.007229188382291,0.0432229194945629,-0.1145960654470214,0.0170819178487605,-0.08174282301888,0.2056185817952193,-0.0769385841257637,-0.0020947503500429,0.0208177574199504,0.0341524819345826,0.0017858479332132,-0.023788183006365,-0.0737179668611726,0.0012853016618342,-0.0095883771559309,-0.1392356082447203,-0.2122343273502877,-0.1433554629261212,0.009849547933059,0.0280284068777341,-0.1380866871779296,0.0093186093990636,0.163638521066451,0.0305057311719246,0.1303773193612009,0.1308681962892934,-0.0113081551481267,0.0036044547394423,0.223921909619905,-0.1361428880040097,-0.0733319324742437,0.0705039842792832,-0.1867474623290943,0.1363981317816152,0.1902714488421267,-0.089937065927632,0.0094437579478306,0.1221337005710647,0.1140933947926401,-0.0481115397519323,0.024399256463486,-0.1529785377598678,-0.1233895396469267,-0.0255044903808368,,,,,unknown,33.617060177244184,25.57905931610986,HI only hotspot,False,True,-8.038000861134325,-0.27041795861075135,0.8574224455809504
13121001802,atlanta,0.0078771511488318,-0.3258287161049691,0.0242038557032728,0.0761879117945634,0.0498412619396206,-0.1079625548824165,-0.0540268917698367,-0.1332347893647888,-0.0656028805939473,-0.098909772376253,0.0664386439134831,-0.0515858385727796,-0.2339056852440976,-0.1865697601289552,-0.1083601849000937,-0.0256633065630584,-0.0037764861253101,0.1428722081157695,-0.0632901646318671,0.0195543512161804,-0.0081826810023927,0.0101725286680204,-0.1386168258527055,-0.024506460783839,-0.0665606012985916,0.2636771257747777,-0.0269701778261438,0.0165853517966409,0.0314393544279043,0.0285353828682238,0.0015813125930679,-0.0856059374762257,-0.0901333568931023,-0.0286992398600334,0.043041233684997,-0.158327072184879,-0.1913949655589627,-0.1480586014123923,0.0315871515079649,0.0328045736409777,-0.156715760461144,-0.0357765621614184,0.1386555260514277,0.0066660104510839,0.1418062839895255,0.1199660837739753,-0.0431689405960933,0.0315941210240872,0.1887497956956619,-0.0776209066360772,-0.0681737048700036,0.0457764283814004,-0.2182868809265139,0.1520694441442483,0.1911906703949115,-0.13766754341627,0.0477062403388611,0.1122926095617994,0.0916327548228188,-0.0220196641356556,0.05485037290207,-0.1124860952481257,-0.1782614242495501,0.0146422003669186,,,,,unknown,36.5513523809524,25.556279934316485,LST only hotspot,True,False,-10.995072446635916,-1.8624763462355869,0.24994356501203938
