city,GEOID,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag,lst_z_city,hi_z_city,hi_minus_lst_z
houston,48201421101,49.259127693586464,34.19809785111112,-15.061029842475342,False,True,HI-only hotspot,True,0.4986443595168053,0.5597063004759271,0.06106194095912176
houston,48201423301,48.10952150605492,34.19907681151132,-13.9104446945436,False,True,HI-only hotspot,True,0.06291751208511173,0.5723268752718477,0.5094093631867359
houston,48201453401,50.612498815591906,34.19907681151132,-16.413422004080587,True,True,Both LST and HI hotspot,False,1.011602743694207,0.5723268752718477,-0.43927586842235933
houston,48201331100,50.16344878290868,34.18305435169938,-15.980394431209298,True,False,LST-only hotspot,False,0.8414025854119245,0.3657683133212823,-0.4756342720906422
houston,48201331200,46.40748652148384,34.18305435169938,-12.224432169784455,False,False,Neither hotspot,True,-0.582192392584096,0.3657683133212823,0.9479607059053783
houston,48201331300,47.959561874256835,34.18305435169938,-13.776507522557452,False,False,Neither hotspot,False,0.006079406728616951,0.3657683133212823,0.35968890659266534
houston,48201331400,47.43046779374259,34.18305435169938,-13.247413442043204,False,False,Neither hotspot,False,-0.19445926311993747,0.3657683133212823,0.5602275764412198
houston,48201321700,47.70882008330541,34.175943089573586,-13.532876993731826,False,False,Neither hotspot,False,-0.08895742525402432,0.2740912490253327,0.36304867427935705
houston,48201250901,39.94664750207402,33.932678593872126,-6.013968908201896,False,False,Neither hotspot,True,-3.0309970773743506,-2.8620292340662576,0.168967843308093
houston,48201520501,50.270563886610915,34.06943130034954,-16.201132586261373,True,False,LST-only hotspot,False,0.8820016418146309,-1.0990388615280442,-1.9810405033426752
houston,48201521701,50.17975198162473,34.075192871938214,-16.10455910968652,True,False,LST-only hotspot,False,0.8475818678972172,-1.0247617557714979,-1.8723436236687152
houston,48201521702,49.0669083808442,34.07404055762048,-14.99286782322372,False,False,Neither hotspot,False,0.42578887555623673,-1.0396171769228255,-1.4654060524790622
houston,48201520603,49.47000409921341,34.06943130034954,-15.40057279886387,False,False,Neither hotspot,False,0.5785713052988675,-1.0990388615280442,-1.6776101668269117
houston,48201521201,50.65464116224323,34.075192871938214,-16.579448290305017,True,False,LST-only hotspot,False,1.0275756499371558,-1.0247617557714979,-2.052337405708654
houston,48201532004,48.25770502974559,34.06943130034954,-14.188273729396045,False,False,Neither hotspot,False,0.11908243214151416,-1.0990388615280442,-1.2181212936695585
houston,48201532003,49.9907234795815,34.06943130034954,-15.921292179231957,True,False,LST-only hotspot,False,0.7759357736404616,-1.0990388615280442,-1.8749746351685057
houston,48201232701,43.17220404043492,34.179591570025146,-8.992612470409775,False,False,Neither hotspot,True,-1.808437911534689,0.3211267781653394,2.1295646897000284
houston,48201420600,47.44570070298579,34.189995108284705,-13.25570559470109,False,False,Neither hotspot,False,-0.18868564464628806,0.45524725200741073,0.6439328966536988
