broad_context_final,n_cities,cities,mean_gap,median_gap,mean_HI_only,mean_LST_only,mean_total_detected_hotspot,mean_ready
Coastal / water-influenced,7,"Houston, Los Angeles, Miami, Boston, New York, Seattle, San Francisco",22.70500749902422,11.170212765957444,35.35594869928658,12.650941200262357,60.70784109286729,91.67289441981316
Great Lakes,1,Chicago,11.009174311926609,11.009174311926609,17.545871559633028,6.536697247706422,42.54587155963303,100.0
Inland Sun Belt,2,"Atlanta, Dallas",9.957354160216525,9.957354160216525,25.497618025108114,15.540263864891589,50.63719076772499,100.0
Inland desert,2,"Phoenix, Las Vegas",2.1084337349397577,2.1084337349397577,13.6627295207029,11.554295785763141,38.717314673541324,100.0
