GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
04013114302,Phoenix,1.310907715086724,2593,31484.0,0.24874662553027382,Low income + High poverty
04013618300,Phoenix,1.4130726997004255,2871,89356.0,0.13618948101706724,High income + High poverty
04013116605,Phoenix,2.579830757704469,7143,91645.0,0.06873862522749545,High income + Low poverty
04013116606,Phoenix,2.576351138452719,6228,80288.0,0.17563648082500805,High income + High poverty
04013613000,Phoenix,10.019422931056551,6096,171755.0,0.04347112860892388,High income + Low poverty
04013619100,Phoenix,0.32634785680480555,3538,44509.0,0.13497453310696095,Low income + High poverty
04013611300,Phoenix,56.245608221170784,7143,131135.0,0.030872859949480774,High income + Low poverty
04013117100,Phoenix,1.603872726936798,3029,77875.0,0.11991434689507495,High income + Low poverty
04013117300,Phoenix,8.164128476749225,2283,40833.0,0.3140604467805519,Low income + High poverty
04013116607,Phoenix,2.5826440753871975,4119,103516.0,0.07259043457149794,High income + Low poverty
04013116610,Phoenix,5.153198560234445,7271,115415.0,0.0908590308370044,High income + Low poverty
04013116732,Phoenix,6.776412784663228,4214,82109.0,0.23730422401518747,High income + High poverty
04013112301,Phoenix,1.308720589384661,5674,49849.0,0.15816876122082585,Low income + High poverty
04013112402,Phoenix,1.2988115487228742,5801,76779.0,0.27857265988622654,High income + High poverty
04013082028,Phoenix,1.2801164710183086,4316,66151.0,0.21411653244907627,Low income + High poverty
04013616200,Phoenix,1.2342886125853394,3662,105687.0,0.07715458276333789,High income + Low poverty
04013614500,Phoenix,3.534057226413589,4426,78531.0,0.12463243610042976,High income + Low poverty
04013614900,Phoenix,5.785972411206707,3863,98750.0,0.0703166935050993,High income + Low poverty
04013116703,Phoenix,3.4681882510553903,5272,115712.0,0.06585994842293195,High income + Low poverty
04013111800,Phoenix,2.6532986406464962,4478,96622.0,0.12929879410451095,High income + Low poverty
04013112201,Phoenix,1.452300830189419,4427,57052.0,0.10796621775850263,Low income + Low poverty
04013112202,Phoenix,1.136140888996785,4405,46174.0,0.20102492429536456,Low income + High poverty
04013116203,Phoenix,7.954194429847355,6851,88385.0,0.20318201722376295,High income + High poverty
04013116204,Phoenix,2.564399458145085,4239,61203.0,0.2256335282651072,Low income + High poverty
04013116205,Phoenix,1.1547634154657138,3765,60951.0,0.09216467463479415,Low income + Low poverty
04013116300,Phoenix,2.6862469491128045,6013,64867.0,0.17785291631445477,Low income + High poverty
04013116400,Phoenix,2.623751260858788,5870,90840.0,0.3010221465076661,High income + High poverty
04013104302,Phoenix,1.080192809492269,3846,41923.0,0.21450858034321374,Low income + High poverty
04013104301,Phoenix,1.4861553560470893,3941,68826.0,0.09331973482916879,Low income + Low poverty
04013106501,Phoenix,1.3129373802388693,3319,81310.0,0.08526664658029527,High income + Low poverty
04013110801,Phoenix,1.295906292042534,4942,74982.0,0.1668029435813573,Low income + High poverty
04013110902,Phoenix,1.3209598555246387,4635,78497.0,0.14110032362459546,High income + High poverty
04013111501,Phoenix,0.7075655435916615,2013,42813.0,0.16294088425235967,Low income + High poverty
04013111502,Phoenix,1.9032209930737487,5797,53714.0,0.16908897554058844,Low income + High poverty
04013111601,Phoenix,1.2119451590308934,3241,69215.0,0.13183081197900587,Low income + High poverty
04013111602,Phoenix,1.3949001479348195,4305,63098.0,0.20615671641791045,Low income + High poverty
04013111700,Phoenix,2.602016428128544,4760,93333.0,0.08320950965824665,High income + Low poverty
04013114401,Phoenix,1.3870346315322546,1640,44250.0,0.3829268292682927,Low income + High poverty
04013114402,Phoenix,1.199840578655998,1904,64625.0,0.2972689075630252,Low income + High poverty
04013114500,Phoenix,2.540105640912693,3840,41461.0,0.19036458333333334,Low income + High poverty
04013114600,Phoenix,2.5800621466201585,1754,40521.0,0.21116225546605294,Low income + High poverty
04013114800,Phoenix,5.403237034934326,3031,60481.0,0.256021115143517,Low income + High poverty
04013114900,Phoenix,2.8248956019214146,3008,25306.0,0.4524207011686144,Low income + High poverty
04013108502,Phoenix,1.2928355813762495,3735,106149.0,0.04551539491298527,High income + Low poverty
04013109001,Phoenix,0.6501799554692819,5330,49375.0,0.3435276014618196,Low income + High poverty
04013109002,Phoenix,0.942429183719763,3906,52800.0,0.25038520801232667,Low income + High poverty
04013109003,Phoenix,0.9668097291610637,6331,43345.0,0.26785422454649455,Low income + High poverty
04013109102,Phoenix,1.2806377895594208,7010,65959.0,0.3012701584130156,Low income + High poverty
04013110501,Phoenix,1.4138538147630775,3780,54820.0,0.2064864864864865,Low income + High poverty
04013110502,Phoenix,1.3093834510597986,3911,68333.0,0.20992073638455638,Low income + High poverty
04013110802,Phoenix,1.3059087736868704,2465,85220.0,0.1797160243407708,High income + High poverty
04013110901,Phoenix,1.3274312382577351,3743,60462.0,0.13718120805369127,Low income + High poverty
04013116731,Phoenix,3.2972062775616564,3497,161167.0,0.031455533314269375,High income + Low poverty
04013117000,Phoenix,1.9327745738367628,6417,50968.0,0.1729721064443732,Low income + High poverty
04013619700,Phoenix,1.4074675371853345,3193,94716.0,0.1098448876226654,High income + Low poverty
04013619800,Phoenix,1.4156254792018368,4809,82069.0,0.049074651694739034,High income + Low poverty
04013619900,Phoenix,3.4362738117417257,6600,150083.0,0.02362444749276025,High income + Low poverty
04013082012,Phoenix,2.919489651226898,6824,84773.0,0.1271074622489371,High income + Low poverty
04013105601,Phoenix,1.2830615789718745,4095,92292.0,0.1374847374847375,High income + High poverty
04013105702,Phoenix,1.2894983814949141,4244,72320.0,0.10532516493873705,Low income + Low poverty
04013105800,Phoenix,2.603261398034085,6751,86890.0,0.09446833753522171,High income + Low poverty
04013105400,Phoenix,2.567215103307962,3734,137955.0,0.011783610069630423,High income + Low poverty
04013105900,Phoenix,2.601185170620502,5286,70638.0,0.12289339140314334,Low income + Low poverty
04013106100,Phoenix,2.55333830449687,5803,76716.0,0.09845830413454801,High income + Low poverty
04013106200,Phoenix,2.592574342180492,3369,221833.0,0.04125853368952211,High income + Low poverty
04013106300,Phoenix,2.663128996524274,5501,105491.0,0.08002217704675661,High income + Low poverty
04013110002,Phoenix,1.1778151624475568,5037,65107.0,0.2023029581099861,Low income + High poverty
04013110100,Phoenix,2.589167367091904,6855,57056.0,0.27036928487690504,Low income + High poverty
04013110400,Phoenix,2.4956870594467815,5329,62672.0,0.155668358714044,Low income + High poverty
04013110600,Phoenix,2.605148983756767,4964,71450.0,0.09038854805725971,Low income + Low poverty
04013110701,Phoenix,0.8981542795058265,2311,64962.0,0.17933810375670842,Low income + High poverty
04013110702,Phoenix,1.7111624657090985,4367,66078.0,0.12485522353486217,Low income + Low poverty
04013105602,Phoenix,1.2895973388209712,6553,49003.0,0.332363747703613,Low income + High poverty
04013112100,Phoenix,2.5891454345095912,3920,64375.0,0.12959183673469388,Low income + High poverty
04013082002,Phoenix,2.645981947368619,6737,80189.0,0.17314593301435408,High income + High poverty
04013115802,Phoenix,1.287357060169896,3583,52546.0,0.17069741282339707,Low income + High poverty
04013116712,Phoenix,3.8002969643656788,6922,84087.0,0.05799648506151142,High income + Low poverty
04013113502,Phoenix,0.6437983215393192,2775,41313.0,0.3158465991316932,Low income + High poverty
04013116713,Phoenix,2.583886610724496,5758,150739.0,0.061653351858284126,High income + Low poverty
04013116714,Phoenix,2.7070485366412176,3580,117019.0,0.01005586592178771,High income + Low poverty
04013116715,Phoenix,0.9210312950832827,1764,106875.0,0.07854297097324986,High income + Low poverty
04013116717,Phoenix,1.0732402976405628,3438,61893.0,0.0987326849395815,Low income + Low poverty
04013116718,Phoenix,0.9930754342149364,2634,75750.0,0.12832194381169323,High income + Low poverty
04013116719,Phoenix,3.3748975963089065,6749,109236.0,0.052912405513561585,High income + Low poverty
04013116720,Phoenix,1.7691163981304543,4122,92863.0,0.14070839398350315,High income + High poverty
04013619200,Phoenix,0.9686126946247069,6347,52708.0,0.2498818339372932,Low income + High poverty
04013619300,Phoenix,1.3092056907603415,4492,58487.0,0.18744434550311664,Low income + High poverty
04013619400,Phoenix,1.2945511625065094,4653,83400.0,0.027938964109176876,High income + Low poverty
04013619500,Phoenix,2.5870739113106502,5882,79708.0,0.09571574294457667,High income + Low poverty
04013111203,Phoenix,0.4167317870009184,2180,50833.0,0.12477064220183487,Low income + Low poverty
04013111204,Phoenix,6.618585930266597,3619,87733.0,0.1038961038961039,High income + Low poverty
04013111300,Phoenix,2.61945836519515,6026,75101.0,0.04563557915698639,Low income + Low poverty
04013111402,Phoenix,1.3157320094698133,3545,62734.0,0.2377997179125529,Low income + High poverty
04013611400,Phoenix,5.395467090425074,6818,144810.0,0.023613963039014373,High income + Low poverty
04013614300,Phoenix,12.819296312042894,2960,152670.0,0.024662162162162164,High income + Low poverty
04013614400,Phoenix,2.4000222855764823,3889,59104.0,0.12085368989457444,Low income + Low poverty
04013082007,Phoenix,1.2857656737911725,4042,83189.0,0.1190004948045522,High income + Low poverty
04013082008,Phoenix,1.2997097738076118,5249,80250.0,0.07201371689845684,High income + Low poverty
04013082009,Phoenix,1.3030694489222063,4927,67154.0,0.1189245087900724,Low income + Low poverty
04013105701,Phoenix,1.3045435929416462,3500,66688.0,0.14412353445810694,Low income + High poverty
04013104000,Phoenix,2.5625788926714046,7438,42662.0,0.2771278741427995,Low income + High poverty
04013109604,Phoenix,1.093220726355584,4332,65571.0,0.22705089472461074,Low income + High poverty
04013116500,Phoenix,2.585148222596234,4807,54946.0,0.23569794050343248,Low income + High poverty
04013112401,Phoenix,1.303655865831157,6162,56846.0,0.08568646543330087,Low income + Low poverty
04013108902,Phoenix,1.5140468952765098,5212,49615.0,0.248166730991895,Low income + High poverty
04013109300,Phoenix,2.568221768551466,4473,80733.0,0.22626906442066924,High income + High poverty
04013109500,Phoenix,2.503695656517412,5950,81058.0,0.08248987854251012,High income + Low poverty
04013109601,Phoenix,1.2305625160129834,4480,47483.0,0.2328338179378215,Low income + High poverty
04013109602,Phoenix,1.4735640996870545,8004,63937.0,0.14880059970014992,Low income + High poverty
04013109603,Phoenix,1.3309157104372231,3892,75924.0,0.06217882836587873,High income + Low poverty
04013113100,Phoenix,1.3033225277662668,6609,38623.0,0.37617242067451606,Low income + High poverty
