city,pc,explained_variance_ratio,cumulative_explained_variance
Houston,PC1,0.3316581107188599,0.3316581107188599
Houston,PC2,0.17926325703850957,0.5109213677573695
Houston,PC3,0.09077491132503017,0.6016962790823996
Houston,PC4,0.07179264673015207,0.6734889258125517
