feature,mean_abs_shap
PC1,0.37764183553404934
PC2,0.21902204805259678
poverty_rate,0.11610713981668631
PC3,0.09553540181393061
PC4,0.07653671133230665
AWATER,0.07281639619490439
median_household_income_clean,0.061000870167858504
total_population_clean,0.04259541536211325
ALAND,0.03251291214687319
PC5,0.02732653656814586
