city,PC1_theme,PC2_theme,PC3_theme,PC4_theme,top_city_message
Houston,land/water structure + thermal pattern,thermal pattern + land/water structure,thermal pattern + land/water structure,thermal pattern + land/water structure,PC1 explains 33.2% (cum 33.2%). Theme: land/water structure + thermal pattern. Top factors: land area (0.597); LST (0.535); HI-LST gap (0.500). | PC2 explains 17.9% (cum 51.1%). Theme: thermal pattern + land/water structure. Top factors: LST (0.380); HI-LST gap (0.370); land area (0.181). | PC3 explains 9.1% (cum 60.2%). Theme: thermal pattern + land/water structure. Top factors: LST (0.319); HI-LST gap (0.309); land area (0.249). | PC4 explains 7.2% (cum 67.3%). Theme: thermal pattern + land/water structure. Top factors: LST (0.365); HI-LST gap (0.332); land area (0.293).
Phoenix,socioeconomic gradient + land/water structure,thermal pattern + socioeconomic gradient,thermal pattern + socioeconomic gradient,thermal pattern + socioeconomic gradient,PC1 explains 32.8% (cum 32.8%). Theme: socioeconomic gradient + land/water structure. Top factors: land area (0.459); median income (0.288); poverty rate (0.228). | PC2 explains 16.3% (cum 49.1%). Theme: thermal pattern + socioeconomic gradient. Top factors: median income (0.206); HI-LST gap (0.196); HI (0.191). | PC3 explains 13.7% (cum 62.8%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.405); LST (0.397); median income (0.354). | PC4 explains 7.6% (cum 70.4%). Theme: thermal pattern + socioeconomic gradient. Top factors: HI-LST gap (0.267); LST (0.242); HI (0.206).
