band,PC1,PC2,PC3,PC4,PC5,PC6,PC7
ALAND,-0.14061497129181144,0.05127465469484524,-0.08053425156827662,-0.09963280457433232,-0.041076874677095185,-0.0332720962038493,-0.07924320671562732
AWATER,-0.04538061848247196,0.018087996830642945,-0.1356511254795438,-0.09589990075039734,0.06274558519705477,0.08772984794716367,-0.23298241755638682
A00,0.1732867116827078,-0.0718197249222541,-0.15428299230061274,-0.0134554004507501,0.08873937980649026,-0.0844191624959478,0.12300500105714018
A01,-0.17669450868877234,0.08781265169396221,-0.05308151336715627,0.00042680567092893317,-0.12716693964407394,-0.11328113213353888,0.015305867802041878
A02,0.07207045032188161,0.06133133693262487,0.27108856441457835,0.05198533128371819,-0.19611139317210016,-0.03096876697534695,0.18347817537731276
A03,-0.14008607851173008,-0.11867711609207811,0.16715132241601455,0.02206552871040619,0.08591223521964064,0.1454005406171874,0.01060578233349554
A04,0.056589112529462145,-0.12444517783015151,-0.09590908508333357,0.3211996910590414,-0.06523573049441564,0.10698808991722565,-0.002036000294848232
A05,-0.15807994708071707,-0.1015994150646378,0.07012008719748371,0.17518883535244018,-0.06616771159079242,0.06143915646412621,-0.06993218241746714
A06,-0.14617872833030437,0.07924111082640815,-0.09732237299967526,0.16950555232139475,0.09539256917772541,-0.08468569274232778,0.07754572615525177
A07,-0.19386074356548472,-0.008070630822125781,-0.051060176077931285,-0.06250607174882246,0.037961072288731516,0.05144565239282062,-0.030571499977155876
A08,-0.10115810618696593,-0.21958715650639815,0.04389116560372582,-0.04708046345512554,-0.015894189581185658,-0.03647382475057747,0.05959585685302501
A09,-0.1382393905997184,0.12505920808097806,-0.18878741138987798,0.06617063364077867,-0.08470349339823056,0.02458296809825988,-0.01782032397370863
A10,0.14268132000803313,-0.07376820897656376,0.006796927901411712,-0.04306078091442807,-0.1753080820707345,0.02925761842996512,-0.07444891576501587
A11,0.16916149064960193,0.052493911678024245,-0.015070857122972786,-0.20521942533122747,-0.0923354781686689,-0.07297009432214317,-0.033684847500244065
A12,0.01206085736899624,0.19723069493312606,-0.016726138312156278,0.03262464252131677,-0.13933810420964907,0.04824841433718622,-0.3387849868531102
A13,-0.18274118642041037,0.02687403236390655,0.06566498242457124,-0.143458451145435,-4.876206998065313e-05,0.0019185169508178926,-0.023196222775668646
A14,-0.14797142638824082,-0.039049048012761406,0.02520194985846785,-0.12040726924570068,0.06717881065859138,0.04448968755814753,0.04572883249394748
A15,-0.0854952711693573,-0.18713377547690652,0.08866756781239792,-0.22242198371233826,-0.06517328194875373,0.11617059045882687,-0.023692732631063113
A16,0.1918291636989821,0.06491581161401835,-0.05690219079841684,0.11410815225163216,-0.020540168692533504,-0.01711099926965672,-0.051187400255861305
A17,0.12040992672533303,-0.05563950530392851,0.2858974395133179,0.06224221211000262,-0.03180998765869474,-0.01741067755611617,-0.0634356503788238
A18,0.07724992684165,-0.19161555554112664,0.07973557125179619,-0.08794008421344945,0.08437605530896447,0.1303180530895858,0.025283448259504675
A19,0.015377636395054444,-0.15210430866419877,-0.2097078265092766,0.18414463095181496,0.018412264200534847,-0.025477757289237502,0.011801537167697522
A20,0.17291386784048532,0.09691659077024863,-0.03231509947453931,-0.09846922237104869,0.12295402433735539,0.10552975331000705,0.10847241717184188
A21,0.019459109686282977,-0.11045615046657527,0.22728740453816534,0.020073347879519553,-0.12264641674914749,-0.24453884548692775,-0.019165099170382196
A22,0.03945056798604722,-0.1894314020772364,0.013631411210460045,-0.3006395146701459,-0.09131674751639647,0.027543387101327525,-0.0390672391644582
A23,-0.024179482802857852,-0.135595178727997,-0.06788929103204798,-0.05052114544704926,-0.24871029134339845,-0.10413310350696524,-0.2280585675375265
A24,-0.024557601223365866,-0.1360892240405277,-0.2478585581252043,-0.001041407706546244,0.061965786854121664,-0.08373266497950722,0.0206629299641573
A25,-0.018769206834600306,-0.23056120423459492,0.08180145012597313,0.2152425706165668,-0.013629086607209568,-0.06438558700474026,-0.03673541452846749
A26,0.14309785772216724,-0.04042041067390557,0.11221580596619306,0.11235340095098473,0.17998721220261985,0.17052567810194957,-0.1666649184072627
A27,0.1718162689546225,0.05021820002702839,-0.1225045592368008,-0.06901029853874692,-0.06218355136755229,0.06477228176924152,0.05923390501816602
A28,-0.025509188744585312,-0.12495504419666666,-0.25960453555037644,-0.0242454513749384,-0.12407773181815748,-0.14855018550973684,0.16168010258967816
A29,-0.14082520779962213,0.09076790525498596,0.1279837071253926,0.10390003109035982,-0.07380259438991962,-0.11955969379013576,0.1331878119312425
A30,0.09347212790803217,0.16131458543656646,0.03468137911474141,-0.11246786335578388,0.08636365008566424,-0.008838759284520971,0.3669904670976729
