city,score,path,rows,crs,n_cols,heat_related_cols,all_columns_preview
las_vegas,113,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_missing_climate_tracts.csv,,,25,"heat_source_file, lst_c, hi_c, hi_minus_lst, has_heat_data, heat_merge_status","GEOID, city, STATEFP, COUNTYFP, TRACTCE, NAME, NAMELSAD, ALAND, AWATER, area_km2, total_population_clean, median_household_income_clean, below_poverty_count, poverty_universe, poverty_rate, heat_source_file, notes, lst_c, air_temp_c, rh_pct, hi_c, hi_minus_lst, has_heat_data, heat_merge_status, analysis_ready"
las_vegas,113,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_extraction_input.geojson,535.0,EPSG:4326,32,"lst_c, hi_c, hi_minus_lst, has_heat_data","GEOID, STATEFP, COUNTYFP, TRACTCE, NAME, NAMELSAD, area_km2, GEOIDFQ, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, acs_name, total_population, median_household_income, below_poverty_count, poverty_universe, poverty_rate, city, centroid_lon, centroid_lat, lst_c, air_temp_c, rh_pct, hi_c, hi_minus_lst, has_heat_data, has_alphaearth_embedding, has_pc_scores, geometry"
los_angeles,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/los_angeles/los_angeles_master_lst_hi_hotcompare.gpkg,1108.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
los_angeles,178,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_heat_master_template.gpkg,1108.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
los_angeles,128,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_heat_master_template.csv,,,37,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c"
los_angeles,3,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_tracts_boundary_acs.gpkg,1108.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
los_angeles,3,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/los_angeles/los_angeles_tracts_boundary_acs.gpkg,1108.0,EPSG:4326,26,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, geometry"
los_angeles,-47,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/los_angeles/working/los_angeles_tracts_boundary_acs.csv,,,25,,"STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2"
miami,354,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_master_lst_hi_hotcompare.gpkg,129.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
miami,178,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/miami/working/miami_heat_master_template.gpkg,129.0,EPSG:4326,38,"lst_c, hi_c, hi_minus_lst, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c","STATEFP, COUNTYFP, TRACTCE, GEOID, GEOIDFQ, NAME, NAMELSAD, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON, city, city_name, NAME_acs, population, poverty_universe, poverty_below, poverty_rate, acs_year, state, county, tract, tract_area_km2, lst_c, hi_c, hi_minus_lst, air_temp_c, rh_pct, analysis_ready, lst_hot_q75, hi_hot_q75, mismatch_class, priority_flag, lst_summer_mean_c, hi_summer_mean_c, geometry"
