fold,baseline_r2,baseline_rmse,baseline_mae,extended7_r2,extended7_rmse,extended7_mae
1,0.007666346114939326,1.1815346384379346,0.9585582045906942,0.623874932220499,0.7274174875422849,0.5275288058201985
2,0.300288249241654,0.9939704185640068,0.8096752367277688,0.7110455001451859,0.6387466081067895,0.5075203278850756
3,0.023766455695835575,1.0733685897038538,0.8319794569770829,0.564609183476903,0.7168225372584811,0.5492634296504008
4,0.15923143061315037,1.148611010158525,0.9537776176544139,0.588182609785838,0.8038723334263864,0.6599763003129872
5,0.17427091882383294,1.1270527624405142,0.8861236315867091,0.6010585418456746,0.7833936430233326,0.5806793835806179
