band,PC1,PC2,PC3,PC4,PC5
ALAND,-0.14061497135673018,0.051274657677345487,-0.08053423883451606,-0.09963271625354915,-0.0410776841485551
AWATER,-0.04538061828249378,0.018087991795828155,-0.13565118253205669,-0.0959004942490978,0.06274636772412837
A00,0.1732867116992137,-0.07181972576396124,-0.15428299970662487,-0.013455486087242187,0.08873950649100351
A01,-0.17669450860448876,0.08781264877468047,-0.05308154597160794,0.0004264658297467673,-0.12716641458127173
A02,0.07207045033374178,0.061331335742349974,0.2710885627575678,0.051985532234460105,-0.1961107404371896
A03,-0.1400860785135247,-0.118677116695493,0.16715133655137282,0.022065463611542827,0.08591206275555703
A04,0.05658911247021799,-0.1244451765043702,-0.0959090643880209,0.32119986980728915,-0.06523585035991357
A05,-0.15807994705648085,-0.10159941599662642,0.07012007239362031,0.17518882833017466,-0.0661672682845726
A06,-0.14617872825083028,0.07924110636036232,-0.09732238416247381,0.16950546360768204,0.09539360405334453
A07,-0.19386074352093718,-0.008070633110551732,-0.05106018820012434,-0.06250621098919405,0.037961515621281416
A08,-0.10115810623819055,-0.21958715476339968,0.04389118608650782,-0.04708027735658945,-0.015894437632938824
A09,-0.13823939053842357,0.12505920598891693,-0.18878743813468185,0.0661704170541192,-0.08470307500073332
A10,0.1426813199814641,-0.07376820856808745,0.00679693478979203,-0.04306073167361743,-0.17530810062791613
A11,0.16916149068621122,0.05249391064027918,-0.015070867395370025,-0.20521949398430167,-0.09233514331420462
A12,0.012060857342290371,0.19723069516223957,-0.01672613150551307,0.032624759509834074,-0.1393380212740895
A13,-0.1827411863310429,0.02687402911227401,0.06566495790230498,-0.14345873517558488,-4.819545876398141e-05
A14,-0.14797142652821146,-0.03904904219090256,0.02520196438603545,-0.12040683554314913,0.0671779683783622
A15,-0.08549527106570441,-0.18713377930518435,0.0886675428245319,-0.22242226391964376,-0.06517253049622365
A16,0.1918291637003703,0.06491581233758419,-0.05690220269991393,0.11410797113861847,-0.020540526729197928
A17,0.12040992660419712,-0.05563950011013931,0.28589747852457637,0.06224261347758201,-0.03181089849572307
A18,0.07724992692626914,-0.191615559737855,0.07973554365555251,-0.08794034230642117,0.08437684466726511
A19,0.015377636379702377,-0.15210430545704856,-0.2097078325225778,0.184144559935707,0.018411318118345198
A20,0.17291386779290108,0.09691659259046971,-0.0323150837750992,-0.09846908522051863,0.1229536038881599
A21,0.019459109611432848,-0.11045614859954188,0.22728742386092057,0.020073523628355072,-0.12264674401270527
A22,0.039450568104128905,-0.18943140619000964,0.013631379210773259,-0.3006398775218095,-0.0913160676689891
A23,-0.02417948284645455,-0.1355951765303551,-0.06788928670796185,-0.05052120848026139,-0.24871096457164343
A24,-0.024557601175556092,-0.1360892257166576,-0.24785857641251943,-0.0010414413207127536,0.06196635643913058
A25,-0.018769206757825046,-0.23056120595918567,0.08180141279994008,0.21524234855410582,-0.013628704880426038
A26,0.1430978577188193,-0.04042041201244507,0.1122158146404413,0.11235347252582545,0.17998755856847073
A27,0.171816269021193,0.05021819785683423,-0.12250457920769926,-0.0690105746940438,-0.062183293470729206
A28,-0.025509188843718444,-0.1249550406596726,-0.25960451054502726,-0.02424500868312753,-0.12407815280153532
A29,-0.14082520792342,0.09076791036672226,0.12798373080199996,0.10390007567041583,-0.07380415294233265
A30,0.09347212791104512,0.1613145853840644,0.03468137367533174,-0.11246789506236246,0.08636363970132929
A31,-0.027441195694042103,0.10054376619443828,-0.27977799500160516,-0.07969033562000734,0.05722391125380503
A32,-0.03461834316272619,0.25824800266864517,0.028462424132066295,-0.14078563011635847,-0.047494363918496
A33,-0.07079812504738581,-0.1913631075291269,-0.06262157317472455,-0.03815714117591955,0.21178677705294
A34,0.1907066550941156,-0.05741130352916999,-0.08664906997497963,0.10474404049003663,0.03203262002008403
A35,-0.13883959905149124,0.11204892422230994,0.15897208198574148,-0.07330667006251941,0.1901586490486272
A36,-0.15715318763438346,0.014912203140128134,-0.0022513948444261344,-0.019403187181739244,0.09051906051507941
A37,0.143678247279859,0.10242545189225057,-0.0690311783219352,-0.19283567739997257,-0.08030808157581402
A38,0.02458262299369244,-0.01856139148813957,-0.23944549000622986,-0.036397795133031596,0.12178200246765453
A39,0.1278740652364109,0.10861875210796587,0.09670136995562614,0.07110992883258654,0.0570301835341212
A40,-0.03624173210187151,0.14532577100677738,0.13428710236068053,0.18455671116405606,0.08388340759626488
A41,-0.16944711353373948,0.06584151437579197,-0.07099052950643801,0.04174755972038898,0.02131182372835879
A42,-0.07357757587140805,-0.22867447868229615,-0.08666018124636138,0.036904663692016115,-0.027922192056722608
A43,-0.05675606815270596,-0.2088771280128793,0.023231313468314148,-0.15621798142554894,0.11663585476505804
A44,0.06906268039067785,-0.19461363305953963,-0.10865105395755598,0.12287178272051308,-0.15643033860614267
A45,-0.043544506342126824,0.016335782605880107,-0.055437670169285566,0.08927617296689191,-0.2388546283543838
A46,-0.12900494014131442,0.03608487181828015,0.22539502837625827,0.08084363055137941,-0.10691147173702953
A47,0.16615601596075508,0.030920839068658654,-0.015049939007189572,-0.12797466975667598,-0.06854598607394372
A48,0.08171425024619762,-0.09198247898042095,0.05803235933025162,-0.18564410367922246,-0.2936519828640705
A49,0.02234330673107377,0.12951414866408162,-0.11024304127005813,0.16060047886079964,-0.21421906159922585
A50,0.1774715202069023,0.048084415207253484,0.15191625418824575,-0.037847018369971515,0.11544324082002803
A51,0.11074178518822551,0.23668453567913286,-0.003058744319442109,0.012244998319319921,0.008847914555053524
A52,-0.16818696963581062,-0.014399645897557111,-0.14771170829754288,-0.09607962357402533,-0.037889879840711696
A53,-0.13789090809791546,-0.16626594121303526,0.08115183810195246,0.013750608601593462,0.006142597494435065
