city,n_selected_dims,n_shared_dims,n_city_unique_dims,shared_dims,city_unique_dims
Houston,15,3,12,"A04, A22, A59","A02, A07, A16, A17, A25, A28, A31, A32, A34, A42, A51, A56"
Phoenix,16,3,13,"A04, A22, A59","A01, A03, A09, A19, A26, A40, A44, A47, A52, A58, A61, A62, A63"
