city,n_ready,mean_lst_c,mean_hi_c,mean_hi_minus_lst,q75_lst_c,q75_hi_c,q75_hi_minus_lst,priority_n,priority_pct
houston,549,47.943522184178214,34.1546822133318,-13.788839970846409,49.66202367059505,34.19809785111112,-12.750445508576867,199,36.247723132969035
phoenix,332,57.05731291430733,33.287953710745924,-23.769359203561407,58.368203839935525,33.68585166804336,-22.71437189925132,129,38.855421686746986
las_vegas,458,47.00292475936593,31.09656820069598,-15.906356558669954,48.00162733296009,31.98997567412149,-15.24775252094602,128,27.947598253275107
