city,model,n_rows,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_mae_mean,pc_only_r2,delta_vs_pc_only,note
Houston,baseline_plus_pc1_to_pc7,541,12,0.7848992912733053,0.06543698683247032,1.2831614664864976,0.9217328112034657,0.7848992912733053,0.0,
Houston,baseline_plus_pc1_to_pc7_plus_shared_dims,541,15,0.7831352351093605,0.06209968436264851,1.290507327605082,0.9275381775101519,0.7848992912733053,-0.001764056163944816,
Houston,baseline_plus_pc1_to_pc7_plus_other_city_unique_dims,541,12,0.7848992912733053,0.0654369868324703,1.2831614664864976,0.921732811203466,0.7848992912733053,0.0,
Houston,baseline_plus_pc1_to_pc7_plus_own_city_stable_dims,541,27,0.7783129888383751,0.047895699061805824,1.3056948818997889,0.921154952923368,0.7848992912733053,-0.006586302434930191,
Phoenix,baseline_plus_pc1_to_pc7,329,12,0.6676631925706256,0.05788287194472504,0.9546435842487092,0.747565165362042,0.6676631925706256,0.0,
Phoenix,baseline_plus_pc1_to_pc7_plus_shared_dims,329,15,0.722657694025211,0.059628596711161705,0.8706944488761191,0.6763652813074945,0.6676631925706256,0.0549945014545854,
Phoenix,baseline_plus_pc1_to_pc7_plus_other_city_unique_dims,329,12,0.6676631925706257,0.05788287194472502,0.9546435842487091,0.747565165362042,0.6676631925706256,1.1102230246251565e-16,
Phoenix,baseline_plus_pc1_to_pc7_plus_own_city_stable_dims,329,28,0.7310887552221701,0.05983756916757422,0.8572979463836635,0.669401426105504,0.6676631925706256,0.06342556265154453,
