city,n_ready,priority_n,mean_lst_c,mean_hi_c,mean_hi_minus_lst,priority_pct
houston,549,199,47.943522184178214,34.1546822133318,-13.788839970846409,36.247723132969035
las_vegas,458,128,47.00292475936593,31.09656820069598,-15.906356558669954,27.947598253275107
phoenix,332,129,57.05731291430733,33.287953710745924,-23.769359203561407,38.855421686746986
