raw_dim,Houston_best_var,Houston_r,Houston_abs_r,Houston_n,Phoenix_best_var,Phoenix_r,Phoenix_abs_r,Phoenix_n
A04,median_household_income_clean,0.1933319069093735,0.1933319069093735,645,median_household_income_clean,0.2577935908184307,0.2577935908184307,368
A22,median_household_income_clean,0.3276647775157894,0.3276647775157894,645,lst_c,-0.4712703853014478,0.4712703853014478,373
A59,lst_c,-0.1643172750610857,0.1643172750610857,654,hi_minus_lst,0.6268421444412418,0.6268421444412418,332
