city,pc,pc_num,variable,n_dims,mean_abs_spearman_r,max_abs_spearman_r,top_dims
Phoenix,PC3,3,median_household_income_clean,12,0.35435286992581544,0.612618542372701,"A15(0.613), A07(0.607), A58(-0.593)"
Phoenix,PC3,3,poverty_rate,12,0.3391125594070831,0.5810085280863007,"A15(-0.581), A07(-0.557), A58(0.545)"
Phoenix,PC3,3,ALAND,12,0.20472267865894087,0.5517300942846929,"A07(0.552), A16(-0.397), A15(0.357)"
Phoenix,PC3,3,hi_c,12,0.12826327434115703,0.4329288208767235,"A15(-0.433), A24(0.225), A38(0.176)"
Phoenix,PC3,3,AWATER,12,0.11633916518872195,0.26263511951221424,"A16(-0.263), A07(0.229), A15(0.225)"
Phoenix,PC3,3,total_population_clean,12,0.07724495441580642,0.17904111334421474,"A58(-0.179), A09(-0.156), A22(0.146)"
Phoenix,PC4,4,hi_minus_lst,12,0.26676849746772946,0.5357541868297884,"A28(-0.536), A53(0.445), A26(0.401)"
Phoenix,PC4,4,lst_c,12,0.2423125355430985,0.5345080033538656,"A28(0.535), A53(-0.499), A26(-0.370)"
Phoenix,PC4,4,hi_c,12,0.20619026525551717,0.43535493010714554,"A08(-0.435), A49(0.407), A03(-0.326)"
Phoenix,PC4,4,median_household_income_clean,12,0.18588506330838106,0.5290286407558645,"A49(-0.529), A09(-0.318), A31(0.285)"
Phoenix,PC4,4,poverty_rate,12,0.1718785974193245,0.4700227016839994,"A49(0.470), A03(-0.308), A09(0.284)"
Phoenix,PC4,4,ALAND,12,0.15255706820713866,0.3480100412481079,"A49(-0.348), A31(0.292), A53(-0.225)"
Phoenix,PC4,4,total_population_clean,12,0.11145023062485293,0.20739372842133874,"A61(0.207), A28(0.205), A26(-0.162)"
Phoenix,PC4,4,AWATER,12,0.06376954405424966,0.2037162150557045,"A26(0.204), A49(-0.148), A08(0.108)"
