feature,mean_abs_shap
PC3,0.35315925196175313
PC5,0.24160934199347564
PC2,0.1773922623976454
PC1,0.1712612720591852
PC4,0.09665815390014962
PC6,0.08430202701480595
PC7,0.06988830907243354
ALAND,0.05404213793357514
poverty_rate,0.049925274668365154
median_household_income_clean,0.021040099176576954
total_population_clean,0.013130463547194183
AWATER,0.008457555771320666
