city,model,n_rows,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,note,features,pc_only_r2,delta_vs_pc_only,model_order
Houston,baseline_plus_pc1_to_pc7,541,12,0.7848992912733053,0.06543698683247032,1.2831614664864976,0.19790728685341732,0.9217328112034657,0.07964791731693964,,"median_household_income_clean, total_population_clean, poverty_rate, ALAND, AWATER, PC1, PC2, PC3, PC4, PC5, PC6, PC7",0.7848992912733053,0.0,0
Phoenix,baseline_plus_pc1_to_pc7_plus_own_city_stable_dims,329,28,0.7310887552221701,0.05983756916757422,0.8572979463836635,0.10043567888623631,0.669401426105504,0.09254376424122926,,"median_household_income_clean, total_population_clean, poverty_rate, ALAND, AWATER, PC1, PC2, PC3, PC4, PC5, PC6, PC7, A01, A03, A04, A09, A19, A22, A26, A40, A44, A47, A52, A58, A59, A61, A62, A63",0.6676631925706256,0.06342556265154453,3
