band,PC1,PC2,PC3,PC4,PC5
A00,-0.15865852825065258,0.09126691609819991,-0.034334813911692796,-0.000977366949950678,-0.014227284427752809
A01,0.19960933191750785,0.04186196427593078,0.025520259578296442,0.11194677262575459,-0.10012183186469766
A02,-0.17557866698245375,-0.017382837778369353,-0.10280356601117702,-0.00568057142368801,-0.1607226380862895
A03,-0.05297186193176119,0.06280646823449532,-0.12007573261906224,-0.2576995462770711,-0.0854129420603037
A04,-0.011032098631975996,0.2852675891559986,-0.004376958505567519,-0.057144858953473,-0.037844346728123895
A05,0.13922730562621036,0.18804631948461573,-0.09601067028869104,-0.017217924409261533,-0.005423641809898332
A06,0.04840615814151007,-0.1604767866166793,-0.04459051887088783,0.19454368772846076,-0.24209870952501128
A07,0.14569796407123864,-0.014181400679026934,-0.18025431073640125,0.10230616088577879,0.1538494025536794
A08,0.0818126629599798,0.15794330858844333,0.11111857803121793,-0.17041996397754353,0.21997221699874558
A09,0.046749277043903206,-0.013071902753889489,0.2675347121594929,-0.14885183994586093,0.013261435813078572
A10,0.028359727218115978,-0.0962236692614121,0.11684723611782227,0.009717591820007643,0.27907746260488486
A11,-0.15390544426005773,-0.02819367007466251,0.1404113496415939,0.19029950326210732,0.04990147357898205
A12,-0.14171138934752303,-0.09694481009176505,-0.001131223686681706,-0.05482125043854047,0.1004948951925702
A13,0.10422617731214048,-0.1502286916819621,-0.1665342413092652,0.11474939044026808,-0.1511067831831825
A14,0.13192162052152262,0.031145977938125586,-0.17021145127416434,0.0916569065211171,0.21414122142241876
A15,0.07814235877488572,0.16658137994700592,-0.1831986757192275,-0.06764811820015017,0.1970449488370079
A16,-0.1015349313829936,0.06695165584018761,0.21806878525764858,0.18177430594103125,-0.021526305409884747
A17,-0.02022423395997955,0.20202688941070895,0.04039066282840779,0.23086514192063046,0.1647355343628251
A18,-0.04863055631583307,0.1222525517770682,-0.13202479826309485,0.07413607369939629,-0.268560769978247
A19,0.02000490259334206,-0.04264048032614308,-0.09969550030156565,0.3361024335051725,0.08280094597577828
A20,-0.10892265479077706,-0.13766797870837602,0.0043059147216912745,0.033565433228440564,-0.07465121495595664
A21,0.02066595201960207,0.16491512520766308,0.19662930033400042,-0.0188197264901885,0.023638071392665966
A22,-0.07586550720674294,0.10358122655027147,-0.2486884898666442,-0.036210193238924895,-0.022662344444903608
A23,0.08692927039805437,0.23298053663593946,0.05445098420607849,-0.011233083154963018,0.11557332301402648
A24,-0.05260865136070049,0.08956718554495582,-0.1871598990874402,0.1478599690174464,0.1355347825069882
A25,-0.13383888781969475,0.1820301653415459,-0.07881361717628403,0.017397923859568284,-0.17340425162029552
A26,-0.055050929693853036,-0.1482120828773648,-0.0876834970901793,-0.2642069891838385,0.1329521383888708
A27,-0.13481295057405662,0.04507874681278173,0.144207504705702,-0.13696156880720883,0.15540972961149774
A28,0.06743273412649553,0.1567332001137348,0.05814823315558667,0.210951794123496,-0.0402744869247883
A29,0.13800007902497238,0.004456516949773796,0.04071175847858713,0.003128939852381206,-0.21316972231574538
A30,0.15380297272216198,5.098259604591427e-05,0.18025426521771362,0.015280390475913373,-0.05062596341140216
A31,0.12811317324163563,0.09778023835245155,-0.05844480568015963,0.24991314692653585,-0.03053404385382097
A32,0.1550230273269248,-0.03456669671453693,0.1946264435215958,-0.05624889072941915,0.0009134401498238141
A33,-0.019600645371544302,-0.03133742208570991,-0.18692176994777251,0.07964992428152777,0.3055491344128326
A34,-0.18777339309824242,0.12488492566251048,0.007532923062000445,0.045272113259918034,-0.08627541670438947
A35,0.06108591687363918,-0.23377251354251305,-0.13102075480049344,0.09558402836536567,0.027728165612441773
