city,GEOID,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag
houston,48201421101,49.259127693586464,34.19809785111112,-15.061029842475342,False,True,HI-only hotspot,True
houston,48201423301,48.10952150605492,34.19907681151132,-13.9104446945436,False,True,HI-only hotspot,True
houston,48201453401,50.612498815591906,34.19907681151132,-16.413422004080587,True,True,Both LST and HI hotspot,False
houston,48201331100,50.16344878290868,34.18305435169938,-15.980394431209298,True,False,LST-only hotspot,False
houston,48201331200,46.40748652148384,34.18305435169938,-12.224432169784457,False,False,Neither hotspot,True
houston,48201331300,47.959561874256835,34.18305435169938,-13.776507522557452,False,False,Neither hotspot,False
houston,48201331400,47.43046779374259,34.18305435169938,-13.247413442043204,False,False,Neither hotspot,False
houston,48201321700,47.70882008330541,34.175943089573586,-13.532876993731826,False,False,Neither hotspot,False
houston,48201250901,39.94664750207402,33.932678593872126,-6.013968908201896,False,False,Neither hotspot,True
houston,48201520501,50.270563886610915,34.06943130034954,-16.201132586261373,True,False,LST-only hotspot,False
houston,48201521701,50.17975198162473,34.075192871938214,-16.10455910968652,True,False,LST-only hotspot,False
houston,48201521702,49.0669083808442,34.07404055762048,-14.992867823223719,False,False,Neither hotspot,False
houston,48201520603,49.47000409921341,34.06943130034954,-15.40057279886387,False,False,Neither hotspot,False
houston,48201521201,50.65464116224323,34.075192871938214,-16.579448290305017,True,False,LST-only hotspot,False
houston,48201532004,48.25770502974559,34.06943130034954,-14.188273729396045,False,False,Neither hotspot,False
houston,48201532003,49.9907234795815,34.06943130034954,-15.921292179231955,True,False,LST-only hotspot,False
houston,48201232701,43.17220404043492,34.179591570025146,-8.992612470409775,False,False,Neither hotspot,True
houston,48201420600,47.445700702985796,34.189995108284705,-13.25570559470109,False,False,Neither hotspot,False
houston,48201420700,47.87992934138807,34.189995108284705,-13.689934233103365,False,False,Neither hotspot,False
