model,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,delta_vs_baseline_r2,delta_vs_baseline_rmse,delta_vs_baseline_mae
baseline_factors_only,5,0.13304468009788245,0.10771928057946542,1.1049074838609667,0.0656869343083161,0.8880228295073337,0.060961862100950406,0.0,0.0,0.0
extended_factors_plus_PC1_to_PC7,12,0.6177541534948201,0.050434803015227604,0.7340505218714549,0.05785061028359309,0.564993649449856,0.0533328852304672,0.48470947339693765,-0.3708569619895118,-0.3230291800574777
