band,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,-0.15865852825065258,0.09126691609819991,-0.034334813911692796,-0.000977366949950678,-0.014227284427752809,0.09882933836009658,0.08834044217716418
A01,0.19960933191750785,0.04186196427593078,0.025520259578296442,0.11194677262575459,-0.10012183186469766,0.02303082742343375,-0.05676244720450378
A02,-0.17557866698245375,-0.017382837778369353,-0.10280356601117702,-0.00568057142368801,-0.1607226380862895,0.02750168241566242,0.08837880828753497
A03,-0.05297186193176119,0.06280646823449532,-0.12007573261906224,-0.2576995462770711,-0.0854129420603037,-0.22461685574976206,0.28370468981993785
A04,-0.011032098631975996,0.2852675891559986,-0.004376958505567519,-0.057144858953473,-0.037844346728123895,-0.03997847559960033,-0.0445294384300698
A05,0.13922730562621036,0.18804631948461573,-0.09601067028869104,-0.017217924409261533,-0.005423641809898332,0.12000872650055472,0.055565381859486604
A06,0.04840615814151007,-0.1604767866166793,-0.04459051887088783,0.19454368772846076,-0.24209870952501128,0.030332485676017373,-0.2029899806081094
A07,0.14569796407123864,-0.014181400679026934,-0.18025431073640125,0.10230616088577879,0.1538494025536794,-0.08672212870220725,-0.09090856710011144
A08,0.0818126629599798,0.15794330858844333,0.11111857803121793,-0.17041996397754353,0.21997221699874558,-0.0017767695207401846,-0.006339784143584604
A09,0.046749277043903206,-0.013071902753889489,0.2675347121594929,-0.14885183994586093,0.013261435813078572,-0.04397404970843477,0.010435291034177896
A10,0.028359727218115978,-0.0962236692614121,0.11684723611782227,0.009717591820007643,0.27907746260488486,0.09565709234170172,0.34460603771386095
A11,-0.15390544426005773,-0.02819367007466251,0.1404113496415939,0.19029950326210732,0.04990147357898205,0.06788952616877802,0.019710132208278774
A12,-0.14171138934752303,-0.09694481009176505,-0.001131223686681706,-0.05482125043854047,0.1004948951925702,0.08740333056784473,-0.32955898139414264
A13,0.10422617731214048,-0.1502286916819621,-0.1665342413092652,0.11474939044026808,-0.1511067831831825,0.146094294499215,0.012726072573232706
A14,0.13192162052152262,0.031145977938125586,-0.17021145127416434,0.0916569065211171,0.21414122142241876,-0.06760667194890183,0.12199925625655103
A15,0.07814235877488572,0.16658137994700592,-0.1831986757192275,-0.06764811820015017,0.1970449488370079,-0.07479190954779694,0.030549142985904075
A16,-0.1015349313829936,0.06695165584018761,0.21806878525764858,0.18177430594103125,-0.021526305409884747,-0.16873131539322703,0.047220936657409895
A17,-0.02022423395997955,0.20202688941070895,0.04039066282840779,0.23086514192063046,0.1647355343628251,-0.0847804268705128,0.038943069014977696
A18,-0.04863055631583307,0.1222525517770682,-0.13202479826309485,0.07413607369939629,-0.268560769978247,0.019704728126334264,0.17278142455756484
A19,0.02000490259334206,-0.04264048032614308,-0.09969550030156565,0.3361024335051725,0.08280094597577828,-0.07004416118602416,0.043777210217659776
A20,-0.10892265479077706,-0.13766797870837602,0.0043059147216912745,0.033565433228440564,-0.07465121495595664,-0.305982915066423,0.06035703667798172
A21,0.02066595201960207,0.16491512520766308,0.19662930033400042,-0.0188197264901885,0.023638071392665966,0.14806939105874845,0.11385717275913347
