city,pc_set,baseline_r2,extended_r2,delta_r2,baseline_rmse,extended_rmse,delta_rmse,baseline_mae,extended_mae,delta_mae
Houston,PC5,0.1116430032582831,0.4271859541956278,0.31554295093734475,1.1000798430579142,0.8841459472019088,-0.21593389585600542,0.7882991505592496,0.6344787882346834,-0.1538203623245662
Houston,PC7,0.1116430032582832,0.4452352523105555,0.3335922490522723,1.1000798430579142,0.8703576245760679,-0.22972221848184626,0.7882991505592495,0.6181765752418462,-0.17012257531740327
Phoenix,PC5,0.1330446800978824,0.5981390404139695,0.4650943603160871,1.1049074838609667,0.7521729832202164,-0.3527345006407503,0.8880228295073337,0.5854252617209668,-0.30259756778636693
Phoenix,PC7,0.1330446800978824,0.6177541534948201,0.4847094733969377,1.1049074838609667,0.7340505218714549,-0.3708569619895118,0.8880228295073337,0.564993649449856,-0.3230291800574777
