band,PC1,PC2,PC3,PC4,PC5,PC6,PC7
A00,0.17532891459170497,-0.07576656056279851,-0.1509373993385841,-0.024595916956490837,0.09425796949330602,-0.07605598526459027,0.13568790105054424
A01,-0.17702210889150827,0.09026982059809854,-0.05800448316350956,-0.00868672523601253,-0.12499217005866763,-0.11961800512349988,0.032793894911848094
A02,0.0710465161768346,0.06250545023562076,0.2658458487465599,0.07107159665670876,-0.19762770415184822,-0.03873040415950027,0.2265629234027878
A03,-0.14428444741282737,-0.11491476223237873,0.16353704445241735,0.03243980457178064,0.08193505121144062,0.15156661612570427,-0.02471914043295187
A04,0.05511649657442832,-0.12478742778467959,-0.11713469363704627,0.316699343709518,-0.06740486611176921,0.10597770180959402,-0.010135434315553821
A05,-0.16143408772183696,-0.09824067652452344,0.06036162543054818,0.18563266129249748,-0.0732845209520048,0.04870411943329146,-0.03145458713248165
A06,-0.14722901211641937,0.08195627902159235,-0.1136778488389953,0.15701873714582001,0.09715748631346419,-0.08208429633497229,0.09932772084211057
A07,-0.19557193606131865,-0.005256631993977219,-0.051670783647950885,-0.07275462089460026,0.03716937270278157,0.055144030811021205,-0.06230251133865698
A08,-0.10407204188094835,-0.2182420730412987,0.04971376929745944,-0.04143510672828461,-0.017172710468225934,-0.04093643498116906,0.10096935714170399
A09,-0.13775028879659623,0.12665674615525832,-0.20091029661541046,0.04336833207234252,-0.08309997596801026,0.026424477740189255,-0.05269061319623773
A10,0.14424539709557682,-0.07687275737486488,0.01810142359516031,-0.032335404286637115,-0.18012629823217138,0.013949112086478635,-0.03103415666246134
A11,0.17253233299650741,0.04868810797372673,-0.000779520323360021,-0.20710618732298947,-0.08588351506283523,-0.06939010042953563,-0.0696165738101658
A12,0.014750076673225756,0.19666654986049517,-0.015218026325221037,0.03906108891302465,-0.1458207359923565,0.029578254515201293,-0.34614582784517717
A13,-0.18415389437338597,0.02980092339615991,0.07118650635991247,-0.14366928878750637,0.00031538184881049834,0.003647373935858869,-0.042845317469114276
A14,-0.14953721889153843,-0.03691546135727894,0.03430815199435038,-0.11902335390634362,0.061477377117206425,0.04016741730648591,0.08825313239038501
A15,-0.08765032367019282,-0.1863101189972622,0.10736405322279273,-0.21338502649680988,-0.07131271292426307,0.11030575704110035,-0.01889748055271734
A16,0.19430923996529,0.06183314015489682,-0.06054974376165893,0.115364421769839,-0.021331098995954683,-0.022085201810596956,-0.03572953226096166
A17,0.11918628525489416,-0.05568573618958066,0.28553730600141564,0.09088276546724637,-0.03222943650784598,-0.021373768379846208,-0.06081145521745737
A18,0.07652540201102637,-0.19324189227175076,0.09257843847489369,-0.07455462865543437,0.08175430250974763,0.13576887920210565,0.022054668477424773
