pc,explained_variance_ratio,cumulative_explained_variance
1,0.3285291867780863,0.3285291867780863
2,0.17433403706726325,0.5028632238453495
3,0.08985553834262854,0.592718762187978
4,0.07088657772515118,0.6636053399131292
5,0.05646195342514378,0.720067293338273
6,0.049195250619920326,0.7692625439581934
7,0.04014086440944508,0.8094034083676385
8,0.03343723865158505,0.8428406470192236
9,0.02320374080762054,0.8660443878268441
10,0.016066188467721138,0.8821105762945652
11,0.01544740184191156,0.8975579781364768
12,0.014039958372004922,0.9115979365084816
13,0.013105940912585328,0.924703877421067
14,0.009127128993664387,0.9338310064147314
15,0.006919798215101991,0.9407508046298334
16,0.006125817114667213,0.9468766217445006
17,0.004888132839275722,0.9517647545837763
18,0.004716054770729858,0.9564808093545062
19,0.004242905241231044,0.9607237145957372
20,0.0038666876664814696,0.9645904022622187
21,0.003232009064492622,0.9678224113267113
22,0.0031463341947904006,0.9709687455215017
23,0.0028700522459500087,0.9738387977674517
24,0.0027858281745600766,0.9766246259420118
25,0.0024306431748360503,0.9790552691168479
26,0.002232431339033584,0.9812877004558815
27,0.0019119460442663717,0.9831996465001479
28,0.0014595099058379811,0.9846591564059859
29,0.0013561853601911312,0.986015341766177
30,0.001205527867936258,0.9872208696341133
31,0.0011199738266000256,0.9883408434607133
32,0.001065023541380659,0.9894058670020939
33,0.0009439146742508659,0.9903497816763447
34,0.0008312679093824264,0.9911810495857271
35,0.0007803095227276733,0.9919613591084547
36,0.000774562808386083,0.9927359219168408
37,0.0006528172063251244,0.9933887391231659
38,0.0006057789236416959,0.9939945180468076
39,0.0005593249463749798,0.9945538429931826
40,0.0005342121846392662,0.9950880551778218
41,0.00045839619510006015,0.9955464513729219
42,0.0004357613214303922,0.9959822126943523
43,0.00040817519583487445,0.9963903878901872
44,0.00039288553289309027,0.9967832734230803
45,0.00032765247312643104,0.9971109258962066
46,0.0002973534958238892,0.9974082793920306
47,0.00028916209237807826,0.9976974414844086
48,0.00024331599773588653,0.9979407574821445
49,0.00022946430858758135,0.9981702217907321
50,0.00020460901303549452,0.9983748308037677
51,0.00019852721871513635,0.9985733580224828
52,0.0001852196393207124,0.9987585776618035
53,0.00017748275466340538,0.998936060416467
54,0.0001405088826928586,0.9990765692991599
55,0.00012832103572866545,0.9992048903348886
56,0.00011404552545290278,0.9993189358603415
57,0.00010626765428061343,0.999425203514622
58,9.622594281807267e-05,0.9995214294574402
59,8.573355544303381e-05,0.9996071630128832
60,8.111280468728454e-05,0.9996882758175705
61,7.123024444327718e-05,0.9997595060620138
62,6.550384031871268e-05,0.9998250099023325
63,5.3614453355257854e-05,0.9998786243556878
64,4.687052255245159e-05,0.9999254948782402
65,4.428156588999787e-05,0.9999697764441302
66,3.0223555870049733e-05,1.0000000000000002
